B_cell	CAF	interaction.type	LRscore
HLA-B	CANX	autocrine|paracrine	0.919375384637763
HLA-A	APLP2	autocrine|paracrine	0.905443909739949
B2M	HLA-F	autocrine|paracrine	0.898195949937932
B2M	KLRD1	autocrine|paracrine	0.889906227103793
HLA-B	KLRD1	autocrine|paracrine	0.880555400339755
LTB	TNFRSF1A	autocrine|paracrine	0.880076093453931
B2M	TFRC	autocrine|paracrine	0.880071440200363
LTB	LTBR	autocrine|paracrine	0.879049471767325
CALR	LRP1	autocrine|paracrine	0.876482161598539
VIM	CD44	autocrine|paracrine	0.874024380956699
HLA-E	KLRD1	autocrine|paracrine	0.871726529374612
RPS27A	TGFBR2	autocrine|paracrine	0.866435237433566
PSAP	LRP1	autocrine|paracrine	0.864707272183236
RPS27A	LDLR	autocrine|paracrine	0.861168841656543
PKM	CD44	autocrine|paracrine	0.857190671780911
HLA-E	SLC16A4	autocrine|paracrine	0.856322320903734
ITGB2	THY1	autocrine|paracrine	0.855313740456521
HSP90B1	LRP1	autocrine|paracrine	0.848963662905959
UBB	TGFBR2	autocrine|paracrine	0.846621903159077
UBC	TGFBR2	autocrine|paracrine	0.846415041921706
UBB	LDLR	autocrine|paracrine	0.84071789531562
UBC	LDLR	autocrine|paracrine	0.840504571439485
CALR	HLA-F	autocrine|paracrine	0.839753853261054
UBA52	EGFR	autocrine|paracrine	0.83939164726596
CCL5	SDC4	autocrine|paracrine	0.838968783054469
RPS27A	TGFBR1	autocrine|paracrine	0.835855679737579
UBA52	TGFBR2	autocrine|paracrine	0.835014139085875
RPS27A	SMAD3	autocrine|paracrine	0.834745277189754
CALM2	ABCA1	autocrine|paracrine	0.83355665058975
UBA52	LDLR	autocrine|paracrine	0.828753689945165
CALM2	EGFR	autocrine|paracrine	0.827956760252874
HSPA8	LDLR	autocrine|paracrine	0.827192192723411
CALM2	MYLK	autocrine|paracrine	0.827078136902765
RPS27A	ERBB2	autocrine|paracrine	0.826836630366883
CALM1	FAS	autocrine|paracrine	0.822467886438659
CCL5	SDC1	autocrine|paracrine	0.821701306979921
LTB	CD40	autocrine|paracrine	0.821517869179162
ADAM17	ITGB1	autocrine|paracrine	0.821029445983318
CD52	SIGLEC10	autocrine|paracrine	0.820683180323779
UBA52	ACVR1	autocrine|paracrine	0.820250084118186
CALM1	ABCA1	autocrine|paracrine	0.81903061479067
HSP90AA1	EGFR	autocrine|paracrine	0.817038890488283
HLA-A	ERBB2	autocrine|paracrine	0.816511867345893
CALM1	EGFR	autocrine|paracrine	0.813051613514969
HMGB1	SDC1	autocrine|paracrine	0.813016487475003
UBB	TGFBR1	autocrine|paracrine	0.812487822508922
UBC	TGFBR1	autocrine|paracrine	0.812245134121356
CALM1	MYLK	autocrine|paracrine	0.812114143505499
UBB	SMAD3	autocrine|paracrine	0.811255037051351
LRPAP1	LRP1	autocrine|paracrine	0.811126485834822
UBC	SMAD3	autocrine|paracrine	0.811011124256554
B2M	CD3G	autocrine|paracrine	0.810726287528019
ARF1	CHRM3	autocrine|paracrine	0.808943611087339
PRND	RPSA	autocrine|paracrine	0.808298597891595
HMGB1	THBD	autocrine|paracrine	0.806094272575562
CALR	ITGAV	autocrine|paracrine	0.805242008249173
UBB	ERBB2	autocrine|paracrine	0.802488206303412
UBC	ERBB2	autocrine|paracrine	0.802235726041303
UBA52	TGFBR1	autocrine|paracrine	0.79891035027412
RPS27A	RIPK1	autocrine|paracrine	0.798337226367007
UBA52	SMAD3	autocrine|paracrine	0.797610536247959
HLA-B	CD3G	autocrine|paracrine	0.796190523111042
CALM2	INSR	autocrine|paracrine	0.795965456490471
ADAM10	AXL	autocrine|paracrine	0.789115252784388
UBA52	ERBB2	autocrine|paracrine	0.788375268629535
HLA-C	CD3G	autocrine|paracrine	0.787140340345009
PDAP1	PDGFRB	autocrine|paracrine	0.783302429193985
HLA-A	CD3G	autocrine|paracrine	0.780956847638259
RPS27A	TLR4	autocrine|paracrine	0.780353177051465
ACTR2	LDLR	autocrine|paracrine	0.780346339591041
FGF5	FGFR1	autocrine|paracrine	0.780203910902057
CALM1	INSR	autocrine|paracrine	0.779028415922228
B2M	HFE	autocrine|paracrine	0.775712954484861
LGALS1	ITGB1	autocrine|paracrine	0.773062755149086
ICAM4	ITGB1	autocrine|paracrine	0.77303969551238
HLA-C	DDR1	autocrine|paracrine	0.77236035674992
ARPC5	LDLR	autocrine|paracrine	0.771586717999156
UBB	RIPK1	autocrine|paracrine	0.771090928499788
UBC	RIPK1	autocrine|paracrine	0.770809775566817
ARF1	INSR	autocrine|paracrine	0.770460700571664
ADAM17	ITGA5	autocrine|paracrine	0.770071412685581
ADAM28	ITGA4	autocrine|paracrine	0.769530269750272
HSP90AA1	ITGB3	autocrine|paracrine	0.764560755385509
IL10	IL10RB	autocrine|paracrine	0.763937941840145
GNAI2	CAV1	autocrine|paracrine	0.761806125794107
RPS27A	FGFR2	autocrine|paracrine	0.760992721109716
HSP90AA1	ERBB2	autocrine|paracrine	0.760944398752195
COL4A3	ITGB1	autocrine|paracrine	0.760837491418324
GNAS	PTGIR	autocrine|paracrine	0.759126535783584
CALM1	PTPRA	autocrine|paracrine	0.758266708357997
UBA52	NOTCH1	autocrine|paracrine	0.758156654563995
MFNG	NOTCH2	autocrine|paracrine	0.757602025893205
UBA52	RIPK1	autocrine|paracrine	0.755418297721669
ARF1	PLD2	autocrine|paracrine	0.753473869382539
TNFSF14	LTBR	autocrine|paracrine	0.752934767015599
BMP7	ENG	autocrine|paracrine	0.751488655560023
UBB	TLR4	autocrine|paracrine	0.751433614788946
UBC	TLR4	autocrine|paracrine	0.751136110358055
DUSP18	RPSA	autocrine|paracrine	0.748299896415591
IL11	IL6ST	autocrine|paracrine	0.747088956212663
PSEN1	CD44	autocrine|paracrine	0.744602606979329
BTLA	TNFRSF14	autocrine|paracrine	0.744452338454904
CD22	PTPRC	autocrine|paracrine	0.74421763143867
ICAM1	CAV1	autocrine|paracrine	0.744030884065788
RPS27A	ADRB2	autocrine|paracrine	0.742607389739277
FBLN1	ITGB1	autocrine|paracrine	0.738669908412652
GPI	AMFR	autocrine|paracrine	0.735746550541751
CCL5	ADRA2A	autocrine|paracrine	0.735192922247727
HLA-G	KLRD1	autocrine|paracrine	0.735162377581618
CALM2	CACNA1C	autocrine|paracrine	0.735046923500932
UBA52	TLR4	autocrine|paracrine	0.734877860998451
GNAI2	F2R	autocrine|paracrine	0.732248212041248
UBB	FGFR2	autocrine|paracrine	0.730404735454365
UBC	FGFR2	autocrine|paracrine	0.730091102480467
FYN	THY1	autocrine|paracrine	0.725438631358261
PTDSS1	JMJD6	autocrine|paracrine	0.72262782172946
TNF	TNFRSF1A	autocrine|paracrine	0.72102617463607
