B_cell	Endo	interaction.type	LRscore
B2M	HLA-F	autocrine|paracrine	0.930428160337314
HLA-B	CANX	autocrine|paracrine	0.919306186856765
HLA-A	APLP2	autocrine|paracrine	0.919208638488142
RPS27A	TGFBR2	autocrine|paracrine	0.916289455609525
UBB	TGFBR2	autocrine|paracrine	0.90304404970409
UBC	TGFBR2	autocrine|paracrine	0.902904557892822
B2M	KLRD1	autocrine|paracrine	0.897341300394582
UBA52	TGFBR2	autocrine|paracrine	0.89517766639867
HLA-B	KLRD1	autocrine|paracrine	0.888542879760079
CALR	HLA-F	autocrine|paracrine	0.888185998396037
HLA-C	NOTCH4	autocrine|paracrine	0.887752968129136
HMGB1	THBD	autocrine|paracrine	0.885109367186199
LTB	TNFRSF1A	autocrine|paracrine	0.884389766391705
HLA-E	KLRD1	autocrine|paracrine	0.88022410315453
LTB	LTBR	autocrine|paracrine	0.877288161893065
RPS27A	LDLR	autocrine|paracrine	0.875319812626452
IAPP	RAMP2	autocrine|paracrine	0.862802045713443
CALR	SCARF1	autocrine|paracrine	0.859386907043547
UBA52	NOTCH1	autocrine|paracrine	0.859125331684661
RPS27A	TLR4	autocrine|paracrine	0.859077705518319
UBB	LDLR	autocrine|paracrine	0.856606318298736
UBC	LDLR	autocrine|paracrine	0.856410639186089
CD52	SIGLEC10	autocrine|paracrine	0.851708425895884
IAPP	RAMP3	autocrine|paracrine	0.848751742047773
UBA52	LDLR	autocrine|paracrine	0.845616391318965
HSPA8	LDLR	autocrine|paracrine	0.844179745600207
CALM2	INSR	autocrine|paracrine	0.840123406826793
UBB	TLR4	autocrine|paracrine	0.838376530921146
UBC	TLR4	autocrine|paracrine	0.838160674930755
ARF1	CHRM3	autocrine|paracrine	0.833626947981185
RPS27A	RIPK1	autocrine|paracrine	0.830385895181161
CALM2	ABCA1	autocrine|paracrine	0.826391636997066
UBA52	TLR4	autocrine|paracrine	0.826272799479121
CALM1	INSR	autocrine|paracrine	0.826050875986733
BTLA	TNFRSF14	autocrine|paracrine	0.824755925619797
LTB	CD40	autocrine|paracrine	0.82029903144476
ARF1	INSR	autocrine|paracrine	0.818882480875346
HLA-E	SLC16A4	autocrine|paracrine	0.817820965531041
ADAM17	ITGB1	autocrine|paracrine	0.81651613341742
ADAM17	ITGA5	autocrine|paracrine	0.814906790280359
HMGB1	TLR4	autocrine|paracrine	0.812062926504358
CALM1	ABCA1	autocrine|paracrine	0.811381784536146
UBB	RIPK1	autocrine|paracrine	0.806419690809217
ITGB2	THY1	autocrine|paracrine	0.80640384376221
BMP7	ENG	autocrine|paracrine	0.806363620832818
UBC	RIPK1	autocrine|paracrine	0.806171022315641
B2M	CD3G	autocrine|paracrine	0.804453545739758
CALR	ITGAV	autocrine|paracrine	0.801426651405462
RPS27A	SMAD3	autocrine|paracrine	0.801140413570173
CD24	SELP	autocrine|paracrine	0.800951137165384
ACTR2	LDLR	autocrine|paracrine	0.800830181308205
GNAI2	S1PR1	autocrine|paracrine	0.797779646933098
PRND	RPSA	autocrine|paracrine	0.795575644287427
ARF1	PLD2	autocrine|paracrine	0.793060640214756
