B_cell	Macro	interaction.type	LRscore
B2M	HLA-F	autocrine|paracrine	0.925656390529771
B2M	LILRB2	autocrine|paracrine	0.918757457229187
B2M	LILRB1	autocrine|paracrine	0.918326209108946
HLA-B	CANX	autocrine|paracrine	0.917932615080412
HLA-A	APLP2	autocrine|paracrine	0.917799766307778
HLA-B	LILRB2	autocrine|paracrine	0.911613728808721
HLA-B	LILRB1	autocrine|paracrine	0.911148227854807
HLA-C	LILRB2	autocrine|paracrine	0.907090834944127
HLA-C	LILRB1	autocrine|paracrine	0.906603953868986
RPS19	C5AR1	autocrine|paracrine	0.904313153944998
HLA-A	LILRB2	autocrine|paracrine	0.903966738300852
HLA-A	LILRB1	autocrine|paracrine	0.903465228008888
RPS27A	TLR4	autocrine|paracrine	0.891542120543721
CD22	PTPRC	autocrine|paracrine	0.887746225607887
CD52	SIGLEC10	autocrine|paracrine	0.886641609217254
SYK	FCGR2A	autocrine|paracrine	0.885785379701223
B2M	KLRD1	autocrine|paracrine	0.885664095079387
CCL5	CCR1	autocrine|paracrine	0.883299140988892
CALR	HLA-F	autocrine|paracrine	0.880887844764573
ICAM3	ITGB2	autocrine|paracrine	0.878090048659347
HLA-B	KLRD1	autocrine|paracrine	0.876003166301389
UBB	TLR4	autocrine|paracrine	0.874915522378056
UBC	TLR4	autocrine|paracrine	0.874741175012396
B2M	TFRC	autocrine|paracrine	0.873992511497403
IL16	CD4	autocrine|paracrine	0.872857671017434
VIM	CD44	autocrine|paracrine	0.872678541815835
LTB	LTBR	autocrine|paracrine	0.869592020565105
HLA-E	KLRD1	autocrine|paracrine	0.866888677547446
UBA52	TLR4	autocrine|paracrine	0.865107869636309
HLA-F	LILRB2	autocrine|paracrine	0.864884515022209
LTB	TNFRSF1A	autocrine|paracrine	0.86462572589294
HLA-F	LILRB1	autocrine|paracrine	0.864209566078943
CALM2	ABCA1	autocrine|paracrine	0.859547076115568
PKM	CD44	autocrine|paracrine	0.855694684962332
HLA-C	LILRA3	autocrine|paracrine	0.854594376786637
HMGB1	TLR4	autocrine|paracrine	0.853511325315336
CD99	PILRA	autocrine|paracrine	0.852961047832625
CALM1	ABCA1	autocrine|paracrine	0.846872617919974
CALM2	SELL	autocrine|paracrine	0.845515755070011
CALR	LRP1	autocrine|paracrine	0.844498779195315
RPS27A	TGFBR1	autocrine|paracrine	0.84277399962999
HSP90B1	TLR2	autocrine|paracrine	0.842044278116897
RPS27A	LDLR	autocrine|paracrine	0.841127431878105
LTB	CD40	autocrine|paracrine	0.83927886307548
RPS27A	TGFBR2	autocrine|paracrine	0.837797914993714
ALOX5AP	ALOX5	autocrine|paracrine	0.834277533206519
CALM1	SELL	autocrine|paracrine	0.831822850895358
ADAM28	ITGA4	autocrine|paracrine	0.830896018680961
PSAP	LRP1	autocrine|paracrine	0.830265375320113
CCL5	CCR5	autocrine|paracrine	0.829457264790001
HLA-G	CD4	autocrine|paracrine	0.828574468943472
ICAM2	ITGB2	autocrine|paracrine	0.822707425022347
LYZ	ITGAL	autocrine|paracrine	0.821790491978595
BTLA	TNFRSF14	autocrine|paracrine	0.821014661285238
UBB	TGFBR1	autocrine|paracrine	0.820179159812326
