B_cell	NK	interaction.type	LRscore
B2M	CD247	autocrine|paracrine	0.938594473998828
B2M	KLRD1	autocrine|paracrine	0.938216776827992
B2M	HLA-F	autocrine|paracrine	0.93534172557917
HLA-B	KLRD1	autocrine|paracrine	0.932658708491449
HLA-E	KLRD1	autocrine|paracrine	0.927363418013304
B2M	KLRC1	autocrine|paracrine	0.927186831184761
HLA-E	KLRC1	autocrine|paracrine	0.914572285662018
HLA-B	CANX	autocrine|paracrine	0.90677839982072
CD22	PTPRC	autocrine|paracrine	0.902892694177384
CALR	HLA-F	autocrine|paracrine	0.895748670893721
B2M	KLRC2	autocrine|paracrine	0.894966362656741
RPS27A	ADRB2	autocrine|paracrine	0.884776303250339
LYZ	ITGAL	autocrine|paracrine	0.880030967589236
HLA-E	KLRC2	autocrine|paracrine	0.877507226698025
ICAM3	ITGB2	autocrine|paracrine	0.870271401849399
UBB	ADRB2	autocrine|paracrine	0.867266923652088
UBC	ADRB2	autocrine|paracrine	0.867083534982278
CD52	SIGLEC10	autocrine|paracrine	0.866802497464233
VIM	CD44	autocrine|paracrine	0.862136016740883
BTLA	CD247	autocrine|paracrine	0.861974230993341
RPS27A	TGFBR1	autocrine|paracrine	0.861627952563825
UBA52	ADRB2	autocrine|paracrine	0.856957606584747
HSPA8	ADRB2	autocrine|paracrine	0.855608477782129
ICAM3	ITGAL	autocrine|paracrine	0.855036838037448
CD48	CD2	autocrine|paracrine	0.854800481751596
B2M	KIR2DL3	autocrine|paracrine	0.853813790957981
B2M	KIR2DL1	autocrine|paracrine	0.852924457953079
RPS27A	LDLR	autocrine|paracrine	0.852314053407172
B2M	CD3G	autocrine|paracrine	0.850612747089296
PKM	CD44	autocrine|paracrine	0.843997250802418
CD48	CD244	autocrine|paracrine	0.843249089027926
HLA-B	KIR2DL3	autocrine|paracrine	0.841941921586413
ADAM28	ITGA4	autocrine|paracrine	0.84159212068596
UBB	TGFBR1	autocrine|paracrine	0.841232168335693
UBA52	NOTCH1	autocrine|paracrine	0.841193129546979
UBC	TGFBR1	autocrine|paracrine	0.84101940297217
GNAS	PTGDR	autocrine|paracrine	0.839550037693878
B2M	LILRB1	autocrine|paracrine	0.839464537123069
HLA-G	KLRD1	autocrine|paracrine	0.839099085719926
HLA-B	CD3G	autocrine|paracrine	0.838530081400658
CALM2	SELL	autocrine|paracrine	0.838410526488372
B2M	KIR3DL1	autocrine|paracrine	0.83757626841656
CCL5	CXCR3	autocrine|paracrine	0.835994890090371
LTB	TNFRSF1A	autocrine|paracrine	0.834816875197062
HLA-C	KIR2DL3	autocrine|paracrine	0.834501040136983
HLA-C	KIR2DL1	autocrine|paracrine	0.833517125923906
ARF1	CHRM3	autocrine|paracrine	0.832318828297576
HLA-C	CD3G	autocrine|paracrine	0.830960829065704
UBB	LDLR	autocrine|paracrine	0.830814984002966
HLA-E	SLC16A4	autocrine|paracrine	0.830807193378021
