B_cell	T_cell	interaction.type	LRscore
B2M	CD3D	autocrine|paracrine	0.942529160329312
HLA-B	CD3D	autocrine|paracrine	0.937333125198462
HLA-C	CD3D	autocrine|paracrine	0.934031101545341
B2M	HLA-F	autocrine|paracrine	0.931921663880724
HLA-A	CD3D	autocrine|paracrine	0.931744715174387
B2M	CD3G	autocrine|paracrine	0.929388049301964
HLA-B	CD3G	autocrine|paracrine	0.923100839880629
HLA-C	CD3G	autocrine|paracrine	0.919113607042435
B2M	KLRD1	autocrine|paracrine	0.918966336762588
HLA-A	CD3G	autocrine|paracrine	0.916356501529365
B2M	CD247	autocrine|paracrine	0.916335403839489
HLA-B	KLRD1	autocrine|paracrine	0.911839212873581
HLA-E	KLRD1	autocrine|paracrine	0.905073436098794
CD22	PTPRC	autocrine|paracrine	0.901714978535315
CD48	CD2	autocrine|paracrine	0.901194401339613
HLA-B	CANX	autocrine|paracrine	0.893404747310025
CALR	HLA-F	autocrine|paracrine	0.890479576404022
VIM	CD44	autocrine|paracrine	0.871743928942222
CD52	SIGLEC10	autocrine|paracrine	0.865350601590798
B2M	TFRC	autocrine|paracrine	0.864168262514605
CALM2	SELL	autocrine|paracrine	0.862952498456342
LYZ	ITGAL	autocrine|paracrine	0.862874379842338
CD47	SIRPG	autocrine|paracrine	0.855219877651644
PKM	CD44	autocrine|paracrine	0.85465616468585
CCL5	CXCR3	autocrine|paracrine	0.85404286976155
RPS27A	LDLR	autocrine|paracrine	0.85304909310417
ICAM3	ITGB2	autocrine|paracrine	0.851549464522648
CALM1	SELL	autocrine|paracrine	0.850531907459617
ADAM28	ITGA4	autocrine|paracrine	0.850168430284719
RPS27A	TGFBR2	autocrine|paracrine	0.849952094431241
B2M	KLRC2	autocrine|paracrine	0.838144033359329
HLA-E	SLC16A4	autocrine|paracrine	0.835140723264435
ICAM3	ITGAL	autocrine|paracrine	0.834976146163264
CCL5	CCR5	autocrine|paracrine	0.833081325554328
ARF1	CHRM3	autocrine|paracrine	0.832819515326475
UBB	LDLR	autocrine|paracrine	0.831635888656212
UBC	LDLR	autocrine|paracrine	0.831412840493244
UBB	TGFBR2	autocrine|paracrine	0.828178503395781
UBC	TGFBR2	autocrine|paracrine	0.827951822476741
HLA-A	APLP2	autocrine|paracrine	0.820503383733542
UBA52	LDLR	autocrine|paracrine	0.819136261110043
HSPA8	LDLR	autocrine|paracrine	0.817506378892825
BTLA	CD247	autocrine|paracrine	0.817345849866466
UBA52	TGFBR2	autocrine|paracrine	0.815479145715623
HLA-E	KLRC2	autocrine|paracrine	0.813210973265227
PRND	RPSA	autocrine|paracrine	0.812132536292793
RPS27A	FGFR2	autocrine|paracrine	0.809567893448698
CALM2	AQP6	autocrine|paracrine	0.80852337524618
IL10	SIRPG	autocrine|paracrine	0.805518197612555
LGALS9	HAVCR2	autocrine|paracrine	0.804562866143887
BTLA	TNFRSF14	autocrine|paracrine	0.797442454771174
HLA-G	KLRD1	autocrine|paracrine	0.795690732572647
LGALS1	PTPRC	autocrine|paracrine	0.795601237307206
IL10	IL10RA	autocrine|paracrine	0.795417836078357
IL16	CD4	autocrine|paracrine	0.794854422456297
CALM1	AQP6	autocrine|paracrine	0.792356834564923
B2M	KLRC1	autocrine|paracrine	0.791045265656259
ICAM1	IL2RG	autocrine|paracrine	0.788822374983668
CALM1	FAS	autocrine|paracrine	0.787690882476439
ICAM2	ITGB2	autocrine|paracrine	0.787033947123844
B2M	LILRB1	autocrine|paracrine	0.786919250920424
RPS27A	RIPK1	autocrine|paracrine	0.784958504122365
UBA52	NOTCH1	autocrine|paracrine	0.784593902752301
IL16	CCR5	autocrine|paracrine	0.783930845281282
UBB	FGFR2	autocrine|paracrine	0.783427323283467
UBC	FGFR2	autocrine|paracrine	0.783157061316601
APP	CD74	autocrine|paracrine	0.777783714871795
CCL5	CCR4	autocrine|paracrine	0.774811413943108
CD58	CD2	autocrine|paracrine	0.77319122742123
HLA-B	LILRB1	autocrine|paracrine	0.771071435622837
RPS27A	SMAD3	autocrine|paracrine	0.770368800362869
LGALS1	CD69	autocrine|paracrine	0.769071639284284
ACTR2	LDLR	autocrine|paracrine	0.768768812416094
UBA52	FGFR2	autocrine|paracrine	0.76834557605095
ICAM2	ITGAL	autocrine|paracrine	0.765243620736205
PSAP	GPR37L1	autocrine|paracrine	0.761809128166284
ICAM1	ITGB2	autocrine|paracrine	0.761756095530069
HLA-C	LILRB1	autocrine|paracrine	0.761240325154689
HLA-E	KLRC1	autocrine|paracrine	0.760926406945472
ARPC5	LDLR	autocrine|paracrine	0.759689670835491
RPS27A	TGFBR1	autocrine|paracrine	0.759683088482979
ICAM4	ITGB2	autocrine|paracrine	0.756500564713946
UBB	RIPK1	autocrine|paracrine	0.75645605708611
UBC	RIPK1	autocrine|paracrine	0.756162613288453
