B_cell	malignant_cell	interaction.type	LRscore
HLA-B	CANX	autocrine|paracrine	0.924911330268874
B2M	HLA-F	autocrine|paracrine	0.919447293076065
HLA-A	APLP2	autocrine|paracrine	0.900529398367564
VIM	CD44	autocrine|paracrine	0.885756226885542
B2M	TFRC	autocrine|paracrine	0.882895040356373
LTB	LTBR	autocrine|paracrine	0.876980873110554
B2M	KLRD1	autocrine|paracrine	0.876358214683791
HLA-E	SLC16A4	autocrine|paracrine	0.872899566456562
CALR	HLA-F	autocrine|paracrine	0.871458945193724
PKM	CD44	autocrine|paracrine	0.870257494038962
HLA-C	DDR1	autocrine|paracrine	0.868553031111123
HLA-B	KLRD1	autocrine|paracrine	0.866029917310935
CCL5	SDC4	autocrine|paracrine	0.858828066900334
HLA-E	KLRD1	autocrine|paracrine	0.856302591310716
RPS27A	LDLR	autocrine|paracrine	0.846322173816956
LTB	TNFRSF1A	autocrine|paracrine	0.844864037063588
RPS27A	TGFBR1	autocrine|paracrine	0.843851380008062
PSAP	SORT1	autocrine|paracrine	0.835947321439339
RPS27A	TGFBR2	autocrine|paracrine	0.825642981677569
ARF1	CHRM3	autocrine|paracrine	0.824616938341516
CALR	ITGA3	autocrine|paracrine	0.824309089846289
UBB	LDLR	autocrine|paracrine	0.824130833097109
UBC	LDLR	autocrine|paracrine	0.823899947638034
SYK	FCGR2A	autocrine|paracrine	0.822298850697077
BTLA	TNFRSF14	autocrine|paracrine	0.821912476463067
UBB	TGFBR1	autocrine|paracrine	0.821378554475642
HSP90AA1	ITGB3	autocrine|paracrine	0.821354529338411
UBC	TGFBR1	autocrine|paracrine	0.82114483991589
RPS27A	ERBB2	autocrine|paracrine	0.819231773206302
CD52	SIGLEC10	autocrine|paracrine	0.812487279677329
CALM1	KCNN4	autocrine|paracrine	0.812005580043025
UBA52	LDLR	autocrine|paracrine	0.811200511672116
PRND	RPSA	autocrine|paracrine	0.81057795068971
HSPA8	LDLR	autocrine|paracrine	0.809515745320588
HLA-A	ERBB2	autocrine|paracrine	0.808558561090453
UBA52	TGFBR1	autocrine|paracrine	0.80829295000435
UBB	TGFBR2	autocrine|paracrine	0.801167080020849
UBC	TGFBR2	autocrine|paracrine	0.800913329926104
ADAM17	ITGB1	autocrine|paracrine	0.799081815408583
UBA52	BMPR1B	autocrine|paracrine	0.798131227325661
RPS27A	RIPK1	autocrine|paracrine	0.797601235290947
B2M	CD3G	autocrine|paracrine	0.795331852265918
UBB	ERBB2	autocrine|paracrine	0.794080341437953
UBC	ERBB2	autocrine|paracrine	0.793819874755608
UBA52	TGFBR2	autocrine|paracrine	0.786984800726392
HLA-B	CD3G	autocrine|paracrine	0.779934746288426
UBA52	ERBB2	autocrine|paracrine	0.779531681973028
GNAI2	CAV1	autocrine|paracrine	0.777313919997322
HMGB1	THBD	autocrine|paracrine	0.7770051944714
B2M	KLRC2	autocrine|paracrine	0.776691849278
LRPAP1	SORT1	autocrine|paracrine	0.77395405067976
UBA52	ACVR1	autocrine|paracrine	0.770907338897204
