CAF	CAF.1	interaction.type	LRscore
TIMP1	CD63	autocrine	0.941620927885845
COL1A2	ITGB1	autocrine	0.926190193402831
COL1A1	ITGB1	autocrine	0.92524404534301
COL3A1	ITGB1	autocrine	0.923432359090418
VIM	CD44	autocrine	0.923224415064436
COL1A2	CD44	autocrine	0.920305445060156
COL1A1	CD44	autocrine	0.919290435510505
LGALS1	ITGB1	autocrine	0.918624474778668
LUM	ITGB1	autocrine	0.917660032374009
FN1	ITGB1	autocrine	0.912717013152186
LGALS3BP	ITGB1	autocrine	0.911422938204588
CXCL12	ITGB1	autocrine	0.910923583197467
HLA-B	CANX	autocrine	0.908687113736866
C3	IFITM1	autocrine	0.908405024192266
LAMB2	RPSA	autocrine	0.908235963094666
COL6A1	ITGB1	autocrine	0.907739770247328
COL6A3	ITGB1	autocrine	0.905970484763417
FN1	CD44	autocrine	0.905867243116552
PSAP	LRP1	autocrine	0.905021217706889
FBLN1	ITGB1	autocrine	0.904702669720846
THBS1	ITGB1	autocrine	0.903187469798292
COL6A2	ITGB1	autocrine	0.901119333513055
CALR	LRP1	autocrine	0.900771098485363
COL1A1	ITGA5	autocrine	0.900357709706881
VCAN	ITGB1	autocrine	0.899253286516625
HLA-A	APLP2	autocrine	0.899162848537064
THBS2	ITGB1	autocrine	0.898520429705664
HSP90B1	LRP1	autocrine	0.898087597000621
SERPING1	LRP1	autocrine	0.896995412601669
CYR61	CAV1	autocrine	0.89468156749577
CTGF	LRP1	autocrine	0.8945211933727
B2M	HLA-F	autocrine	0.894243716556158
PKM	CD44	autocrine	0.893272712488473
VCAN	CD44	autocrine	0.891472550173488
THBS1	LRP1	autocrine	0.890555610068442
COL5A2	ITGB1	autocrine	0.889745461500802
LAMB2	ITGB1	autocrine	0.889397481301666
C3	LRP1	autocrine	0.888703477859334
COL1A1	DDR2	autocrine	0.888557281107486
COL3A1	DDR2	autocrine	0.885966081301981
B2M	KLRD1	autocrine	0.885673133664911
COL1A2	ITGA11	autocrine	0.885411772844814
FBN1	ITGB1	autocrine	0.884743307550723
FN1	ITGA5	autocrine	0.884182428604482
COL1A1	ITGA11	autocrine	0.884008361089372
FN1	NT5E	autocrine	0.882361031042178
CYR61	ITGA5	autocrine	0.882064626789215
COL5A1	ITGB1	autocrine	0.881898693442942
SERPINE2	LRP1	autocrine	0.881361045879855
FN1	PLAUR	autocrine	0.880514403673824
FN1	SDC2	autocrine	0.880221994175368
APP	LRP1	autocrine	0.876958835732427
CTGF	ITGA5	autocrine	0.876519972953127
B2M	TFRC	autocrine	0.875513098314607
C3	CD81	autocrine	0.875295660309121
LAMB1	ITGB1	autocrine	0.874714568629872
TIMP2	ITGB1	autocrine	0.873079393003278
MMP2	SDC2	autocrine	0.872955910216112
TNC	ITGB1	autocrine	0.871693781147096
APP	CAV1	autocrine	0.871399908644046
CALR	HLA-F	autocrine	0.87019554844259
FGF7	NRP1	autocrine	0.86992867041637
DCN	EGFR	autocrine	0.869574125084682
LAMC1	ITGB1	autocrine	0.869501371906695
NID1	ITGB1	autocrine	0.868514141663188
THBS1	CD47	autocrine	0.868104373188869
MDK	ITGB1	autocrine	0.867937230125391
COL16A1	ITGB1	autocrine	0.867309283851053
SERPINE1	LRP1	autocrine	0.867219417230718
TFPI	LRP1	autocrine	0.866828886361136
LAMA4	ITGB1	autocrine	0.866502702320809
HLA-B	KLRD1	autocrine	0.865473853100024
HSPG2	ITGB1	autocrine	0.865117004408611
ADAM9	ITGB1	autocrine	0.864979984382388
COL1A2	ITGAV	autocrine	0.864445871028932
APP	CD74	autocrine	0.863643398175191
COL1A1	ITGAV	autocrine	0.862825462797039
C3	CD46	autocrine	0.86206794429145
THBS2	CD47	autocrine	0.8620044842725
APP	NCSTN	autocrine	0.860465325082493
UBC	TGFBR2	autocrine	0.859784394409231
MFGE8	PDGFRB	autocrine	0.858767690219092
UBB	TGFBR2	autocrine	0.857958944642168
ADAM12	ITGB1	autocrine	0.857111851294142
RPS27A	TGFBR2	autocrine	0.856920308542373
JAM3	ITGB1	autocrine	0.856015283699831
VCAM1	ITGB1	autocrine	0.855746242016608
UBC	LDLR	autocrine	0.854299857351694
CALM2	ABCA1	autocrine	0.853512086035519
CXCL12	SDC4	autocrine	0.852876555513207
PLAU	ITGB1	autocrine	0.852480913790131
UBB	LDLR	autocrine	0.852415261539399
COL14A1	CD44	autocrine	0.852108521976163
MDK	LRP1	autocrine	0.851462414467153
RPS27A	LDLR	autocrine	0.851343112491628
CYR61	ITGB5	autocrine	0.850720898723109
LRPAP1	LRP1	autocrine	0.849372674450782
HLA-E	KLRD1	autocrine	0.849213760341437
FBN1	ITGA5	autocrine	0.848580728874961
CALM2	EGFR	autocrine	0.848461527971331
COL4A1	ITGB1	autocrine	0.848401109007782
HSPG2	LRP1	autocrine	0.84835183727628
CALM2	MYLK	autocrine	0.847668355810595
BGN	LY96	autocrine	0.845869483780065
ANXA1	EGFR	autocrine	0.844893705568267
ARF1	CHRM3	autocrine	0.844336719013449
HSP90AA1	EGFR	autocrine	0.843995279356197
COL1A2	ITGA1	autocrine	0.84319852910161
GAS6	AXL	autocrine	0.843141294805034
FN1	ITGAV	autocrine	0.841629140080369
HSPA8	LDLR	autocrine	0.841582459896931
COL1A1	ITGA1	autocrine	0.841370739199781
CALR	ITGAV	autocrine	0.840998498952369
THBS1	SDC4	autocrine	0.84097923014586
SERPINE1	PLAUR	autocrine	0.840688376648049
CALM1	FAS	autocrine	0.840055849912402
TFPI	F3	autocrine	0.839663237000799
TGFB3	ITGB1	autocrine	0.839138470313376
CYR61	ITGAV	autocrine	0.838875019230986
PLAT	LRP1	autocrine	0.838236826348915
