CAF	Endo	interaction.type	LRscore
TIMP1	CD63	autocrine|paracrine	0.936174200408932
B2M	HLA-F	autocrine|paracrine	0.927626417794266
COL1A2	ITGB1	autocrine|paracrine	0.924083630640096
COL1A1	ITGB1	autocrine|paracrine	0.923112720799477
COL1A1	ITGA5	autocrine|paracrine	0.922349425115872
COL3A1	ITGB1	autocrine|paracrine	0.921253778615167
LGALS1	ITGB1	autocrine|paracrine	0.916321491758562
LUM	ITGB1	autocrine|paracrine	0.91533227064109
HLA-A	APLP2	autocrine|paracrine	0.913754831332298
UBC	TGFBR2	autocrine|paracrine	0.911868586427365
UBB	TGFBR2	autocrine|paracrine	0.910650748170251
COL1A2	FLT4	autocrine|paracrine	0.910497022848969
CALR	HLA-F	autocrine|paracrine	0.910408706037455
FN1	ITGB1	autocrine|paracrine	0.910263176594831
APP	CD74	autocrine|paracrine	0.910252160817424
COL1A2	CD93	autocrine|paracrine	0.910019476583463
RPS27A	TGFBR2	autocrine|paracrine	0.909956969628249
FN1	ITGA5	autocrine|paracrine	0.909384839481594
COL1A1	FLT4	autocrine|paracrine	0.909369393030801
LGALS3BP	ITGB1	autocrine|paracrine	0.908936350391665
COL1A1	CD93	autocrine|paracrine	0.908886432329807
HLA-B	CANX	autocrine|paracrine	0.908609654404972
CXCL12	ITGB1	autocrine|paracrine	0.908424385678324
CYR61	ITGA5	autocrine|paracrine	0.907679762572429
CYR61	CAV1	autocrine|paracrine	0.906184311851601
COL1A2	CD36	autocrine|paracrine	0.905580189432371
COL6A1	ITGB1	autocrine|paracrine	0.905160545389782
COL1A1	CD36	autocrine|paracrine	0.904397117825989
COL6A3	ITGB1	autocrine|paracrine	0.903347064352403
CTGF	ITGA5	autocrine|paracrine	0.903207236752679
FBLN1	ITGB1	autocrine|paracrine	0.902047701683878
LAMB2	RPSA	autocrine|paracrine	0.901336100349682
THBS1	ITGB1	autocrine|paracrine	0.900494931423278
COL6A2	ITGB1	autocrine|paracrine	0.898375748239381
VCAN	ITGB1	autocrine|paracrine	0.896463874040168
THBS2	ITGB1	autocrine|paracrine	0.895713079490202
FN1	FLT4	autocrine|paracrine	0.894485570492674
B2M	KLRD1	autocrine|paracrine	0.893359827103483
FN1	ROBO4	autocrine|paracrine	0.892586084223197
C3	IFITM1	autocrine|paracrine	0.892007672979627
ADM	RAMP2	autocrine|paracrine	0.88782590118695
C3	CD81	autocrine|paracrine	0.88683030151582
COL5A2	ITGB1	autocrine|paracrine	0.886725962026289
CALR	SCARF1	autocrine|paracrine	0.886602583542667
HMGB1	THBD	autocrine|paracrine	0.886436332898966
LAMB2	ITGB1	autocrine|paracrine	0.886369668911314
UBA52	TGFBR2	autocrine|paracrine	0.885888494459078
APP	CAV1	autocrine|paracrine	0.885118940137215
FBN1	ITGB1	autocrine|paracrine	0.881605044976526
FBN1	ITGA5	autocrine|paracrine	0.88048303421813
COL1A2	ITGA1	autocrine|paracrine	0.879241891502214
EFEMP2	AQP1	autocrine|paracrine	0.879209633060233
COL5A1	ITGB1	autocrine|paracrine	0.878693596115643
BGN	LY96	autocrine|paracrine	0.878499602589359
COL1A1	ITGA1	autocrine|paracrine	0.877773345930789
C3	CD46	autocrine|paracrine	0.877460892079222
HLA-C	NOTCH4	autocrine|paracrine	0.877184189516896
THBS1	CD36	autocrine|paracrine	0.87700733425488
ADM	RAMP3	autocrine|paracrine	0.875969874830205
ANXA1	DYSF	autocrine|paracrine	0.874981971796355
HLA-B	KLRD1	autocrine|paracrine	0.87432592435216
LAMB1	ITGB1	autocrine|paracrine	0.871342947618503
THBS2	CD36	autocrine|paracrine	0.871258125727194
TIMP2	ITGB1	autocrine|paracrine	0.86967032354816
FN1	ITGA6	autocrine|paracrine	0.869048416802146
UBC	LDLR	autocrine|paracrine	0.869044509496572
THBS1	CD47	autocrine|paracrine	0.86852277715734
TNC	ITGB1	autocrine|paracrine	0.868253110417068
INHBA	ENG	autocrine|paracrine	0.867546736807782
UBB	LDLR	autocrine|paracrine	0.867321012195434
TNC	ITGA5	autocrine|paracrine	0.86702365114237
RPS27A	LDLR	autocrine|paracrine	0.866340168763168
ADM	CALCRL	autocrine|paracrine	0.866208565996834
LAMC1	ITGB1	autocrine|paracrine	0.866010946300574
