CAF	Macro	interaction.type	LRscore
TIMP1	CD63	autocrine|paracrine	0.937982964893636
APP	CD74	autocrine|paracrine	0.926708953791058
B2M	HLA-F	autocrine|paracrine	0.922678452538667
VIM	CD44	autocrine|paracrine	0.922357503542037
CYR61	ITGB2	autocrine|paracrine	0.921466839355835
COL1A2	CD44	autocrine|paracrine	0.919408451144322
COL1A1	CD44	autocrine|paracrine	0.918383030421751
CTGF	ITGB2	autocrine|paracrine	0.91760160548804
LGALS1	PTPRC	autocrine|paracrine	0.917483655777098
B2M	LILRB2	autocrine|paracrine	0.915528390995813
B2M	LILRB1	autocrine|paracrine	0.915081586729582
CXCL12	CD4	autocrine|paracrine	0.913103793270812
C3	ITGB2	autocrine|paracrine	0.912932990668132
CXCL12	CXCR4	autocrine|paracrine	0.912471538447488
HLA-A	APLP2	autocrine|paracrine	0.912259931477237
FN1	PLAUR	autocrine|paracrine	0.910099761138444
CD99	PILRA	autocrine|paracrine	0.908870223523797
HLA-B	CANX	autocrine|paracrine	0.907072411147889
FN1	CD44	autocrine|paracrine	0.904824547593793
CALR	HLA-F	autocrine|paracrine	0.904404923945822
LAMB2	RPSA	autocrine|paracrine	0.901386455339862
COL1A2	ITGB1	autocrine|paracrine	0.900600520525561
HLA-B	LILRB2	autocrine|paracrine	0.900008417060774
HLA-B	LILRB1	autocrine|paracrine	0.899488533837083
COL1A1	ITGB1	autocrine|paracrine	0.899361988117168
RPS19	C5AR1	autocrine|paracrine	0.898573351467231
HLA-C	LILRB2	autocrine|paracrine	0.898133912946225
C3	C3AR1	autocrine|paracrine	0.897633843353946
HLA-C	LILRB1	autocrine|paracrine	0.897605392485243
HLA-A	LILRB2	autocrine|paracrine	0.897598650615152
HLA-A	LILRB1	autocrine|paracrine	0.897067671287368
COL3A1	ITGB1	autocrine|paracrine	0.896992889404354
BGN	TLR2	autocrine|paracrine	0.895825837201151
HSP90B1	TLR2	autocrine|paracrine	0.893135427882285
COL1A2	CD36	autocrine|paracrine	0.892852948372794
FN1	C5AR1	autocrine|paracrine	0.892202792200516
PKM	CD44	autocrine|paracrine	0.892107125109644
COL1A1	CD36	autocrine|paracrine	0.891529507071663
LGALS1	ITGB1	autocrine|paracrine	0.890721269086593
VCAN	CD44	autocrine|paracrine	0.890289717502074
LUM	ITGB1	autocrine|paracrine	0.889465916766597
C3	ITGAX	autocrine|paracrine	0.888932470708744
BGN	LY96	autocrine|paracrine	0.888158107499541
SPON2	ITGB2	autocrine|paracrine	0.886522683823735
UBC	TLR4	autocrine|paracrine	0.885976946212935
UBB	TLR4	autocrine|paracrine	0.884446664653664
RPS27A	TLR4	autocrine|paracrine	0.883575429875152
FN1	ITGB1	autocrine|paracrine	0.883046064497462
LGALS3BP	ITGB1	autocrine|paracrine	0.881369259286205
B2M	KLRD1	autocrine|paracrine	0.881289650364299
CXCL12	ITGB1	autocrine|paracrine	0.880722649013313
VCAN	TLR2	autocrine|paracrine	0.880718556515699
PSAP	LRP1	autocrine|paracrine	0.879410948293608
ANXA1	FPR3	autocrine|paracrine	0.879405583880476
SERPINE1	PLAUR	autocrine|paracrine	0.878777287299921
CALM2	ABCA1	autocrine|paracrine	0.876846817123172
COL1A2	CD93	autocrine|paracrine	0.876828322298909
COL6A1	ITGB1	autocrine|paracrine	0.876605603475839
COL1A1	CD93	autocrine|paracrine	0.875334586866358
BGN	TLR4	autocrine|paracrine	0.874767307604875
COL6A3	ITGB1	autocrine|paracrine	0.874321918799376
CALR	LRP1	autocrine|paracrine	0.874174149213011
FBLN1	ITGB1	autocrine|paracrine	0.872687346811904
JAM3	ITGB2	autocrine|paracrine	0.871945968373903
PLAT	ITGB2	autocrine|paracrine	0.871869011689793
VCAM1	ITGB2	autocrine|paracrine	0.87170223242403
HSP90B1	TLR4	autocrine|paracrine	0.87161098463849
HSP90B1	LRP1	autocrine|paracrine	0.870874480054489
THBS1	ITGB1	autocrine|paracrine	0.870735843499831
CYR61	ITGAM	autocrine|paracrine	0.870363723874643
SERPING1	LRP1	autocrine|paracrine	0.869533022708455
B2M	TFRC	autocrine|paracrine	0.86923744699949
PLAU	ITGB2	autocrine|paracrine	0.868742685006133
COL6A2	ITGB1	autocrine|paracrine	0.868075724871943
C3	CD46	autocrine|paracrine	0.868068065309414
C3	IFITM1	autocrine|paracrine	0.867427969518042
CTGF	LRP1	autocrine|paracrine	0.866497323045476
VCAN	ITGB1	autocrine|paracrine	0.865679040864477
COL1A1	ITGA5	autocrine|paracrine	0.865460854058451
THBS2	ITGB1	autocrine|paracrine	0.86473869209523
CTGF	ITGAM	autocrine|paracrine	0.864353557339732
CALM2	SELL	autocrine|paracrine	0.864270844711861
BGN	TLR1	autocrine|paracrine	0.864042132174337
CALM1	ABCA1	autocrine|paracrine	0.862447179675594
THBS1	LRP1	autocrine|paracrine	0.861641115777709
THBS1	CD47	autocrine|paracrine	0.86142594747103
FN1	ITGA4	autocrine|paracrine	0.86132842569267
THBS1	CD36	autocrine|paracrine	0.861019725072572
HSP90B1	TLR1	autocrine|paracrine	0.860658553669495
HLA-B	KLRD1	autocrine|paracrine	0.860437935220815
C3	LRP1	autocrine|paracrine	0.85937692852513
C3	ITGAM	autocrine|paracrine	0.857137675931167
C3	CD81	autocrine|paracrine	0.857050442972452
