CAF	Macro	interaction.type	LRscore
ANXA1	FPR1	paracrine	0.890396014239464
ANXA1	FPR2	paracrine	0.842074329324174
HLA-C	LILRA3	paracrine	0.841461061642873
RARRES2	CCRL2	specific	0.837077571551394
APP	FPR2	specific	0.814124912496138
HSP90B1	ASGR1	paracrine	0.812322369332146
GNAI2	FPR1	paracrine	0.795250830554838
ADM	GPR84	specific	0.785815175590014
CCL19	CCRL2	specific	0.785611107001031
CCL5	CCR5	paracrine	0.781260530492508
CCL2	CCR5	specific	0.778275327693718
CCL2	CCR2	specific	0.774210399874599
IL10	IL10RA	paracrine	0.764732081719835
GAS6	MERTK	specific	0.750298733350958
GNAI2	CCR5	paracrine	0.715660889179178
PTHLH	GPR84	specific	0.66690607237405
PLAU	ST14	specific	0.65389421156467
IAPP	GPR84	paracrine	0.647219641071613
CCL16	CCR5	paracrine	0.643007145397067
SEMA6D	TYROBP	paracrine	0.63822707172542
CCL16	CCR2	paracrine	0.637617015426101
B2M	CD1A	paracrine	0.634192529686587
EFEMP2	CATSPER1	specific	0.589908554021417
IL16	CCR5	paracrine	0.581014681304092
GNAI2	P2RY12	paracrine	0.575952107983448
HGF	ST14	specific	0.566182102944712
CCL26	CCR2	specific	0.559020903432473
ADM2	GPR84	paracrine	0.558573140694648
GNAI2	S1PR4	paracrine	0.544188210421804
CD47	SIRPG	paracrine	0.521040788399556
