CAF	NK	interaction.type	LRscore
B2M	KLRD1	autocrine|paracrine	0.935707017501516
B2M	HLA-F	autocrine|paracrine	0.932723550519368
LGALS1	PTPRC	autocrine|paracrine	0.928938821816295
LGALS1	CD69	autocrine|paracrine	0.925113030480497
HLA-B	KLRD1	autocrine|paracrine	0.923585022403233
C3	IFITM1	autocrine|paracrine	0.922934326411557
TIMP1	CD63	autocrine|paracrine	0.922230047290759
CXCL12	CXCR4	autocrine|paracrine	0.921946976226235
CALR	HLA-F	autocrine|paracrine	0.916609439525484
CYR61	ITGB2	autocrine|paracrine	0.916164539556456
VIM	CD44	autocrine|paracrine	0.91553035286042
HLA-E	KLRD1	autocrine|paracrine	0.913647990452109
COL1A2	CD44	autocrine|paracrine	0.912346631439244
CTGF	ITGB2	autocrine|paracrine	0.912063242349236
COL1A1	CD44	autocrine|paracrine	0.91124003278194
LAMB2	RPSA	autocrine|paracrine	0.910367080704531
COL1A2	ITGB1	autocrine|paracrine	0.907372486712411
C3	ITGB2	autocrine|paracrine	0.907112594462334
COL1A1	ITGB1	autocrine|paracrine	0.906209546534626
COL3A1	ITGB1	autocrine|paracrine	0.903984435454231
LGALS1	ITGB1	autocrine|paracrine	0.898090134641668
APP	CD74	autocrine|paracrine	0.897816493154975
LUM	ITGB1	autocrine|paracrine	0.896909635724035
FN1	CD44	autocrine|paracrine	0.896628494997703
HLA-B	CANX	autocrine|paracrine	0.89461159603023
B2M	KLRC2	autocrine|paracrine	0.890903979030825
FN1	ITGB1	autocrine|paracrine	0.890869072726052
LGALS3BP	ITGB1	autocrine|paracrine	0.889290366547094
CXCL12	ITGB1	autocrine|paracrine	0.888681478099058
COL6A1	ITGB1	autocrine|paracrine	0.884803212351375
PKM	CD44	autocrine|paracrine	0.882957572658449
COL6A3	ITGB1	autocrine|paracrine	0.882650932765429
FBLN1	ITGB1	autocrine|paracrine	0.881109957802196
VCAN	CD44	autocrine|paracrine	0.881006602161996
THBS1	ITGB1	autocrine|paracrine	0.879269699059796
THBS1	CD47	autocrine|paracrine	0.879173926286524
SPON2	ITGB2	autocrine|paracrine	0.879170440717926
UBC	ADRB2	autocrine|paracrine	0.878911114349163
UBB	ADRB2	autocrine|paracrine	0.877299136711807
COL6A2	ITGB1	autocrine|paracrine	0.876760342030615
RPS27A	ADRB2	autocrine|paracrine	0.876381544056427
VCAN	ITGB1	autocrine|paracrine	0.874498622374004
THBS2	ITGB1	autocrine|paracrine	0.873611002795859
THBS2	CD47	autocrine|paracrine	0.873511386860022
FN1	ITGA4	autocrine|paracrine	0.870399867203212
HSPA8	ADRB2	autocrine|paracrine	0.86801000724281
C3	ITGAX	autocrine|paracrine	0.864673622148296
ARF1	CHRM3	autocrine|paracrine	0.864109107438535
JAM3	ITGB2	autocrine|paracrine	0.863794396471132
PLAT	ITGB2	autocrine|paracrine	0.863713306632949
VCAM1	ITGB2	autocrine|paracrine	0.863537573190385
COL5A2	ITGB1	autocrine|paracrine	0.863010499194513
LAMB2	ITGB1	autocrine|paracrine	0.862591170624701
PLAU	ITGB2	autocrine|paracrine	0.86041984284442
GNAS	PTGDR	autocrine|paracrine	0.859241986645504
CALM2	SELL	autocrine|paracrine	0.857883233659925
VCAM1	MSN	autocrine|paracrine	0.857128975635891
FBN1	ITGB1	autocrine|paracrine	0.85699036029249
THBS1	ITGA4	autocrine|paracrine	0.856974142078624
HLA-E	KLRC2	autocrine|paracrine	0.855841227702184
UBC	TGFBR1	autocrine|paracrine	0.854777853197174
MICA	KLRK1	autocrine|paracrine	0.854501576451507
COL5A1	ITGB1	autocrine|paracrine	0.853574146255128
CD59	CD2	autocrine|paracrine	0.853552796737914
UBB	TGFBR1	autocrine|paracrine	0.852898375537118
RPS27A	TGFBR1	autocrine|paracrine	0.851829126072134
COL1A1	ITGA5	autocrine|paracrine	0.851618790542091
VCAN	ITGA4	autocrine|paracrine	0.851470815158061
THBS2	ITGA4	autocrine|paracrine	0.850448181837735
CYR61	ITGAM	autocrine|paracrine	0.850295245175587
CXCL12	CXCR3	autocrine|paracrine	0.850113621615163
ICAM1	ITGB2	autocrine|paracrine	0.847403608505687
ICAM1	IL2RG	autocrine|paracrine	0.845483655879533
B2M	CD3G	autocrine|paracrine	0.845131749796768
UBC	LDLR	autocrine|paracrine	0.845085769492814
LAMB1	ITGB1	autocrine|paracrine	0.844969920029459
UBA52	ADRB2	autocrine|paracrine	0.844868395817868
LYZ	ITGAL	autocrine|paracrine	0.843820481095287
CTGF	ITGAM	autocrine|paracrine	0.843521942026585
UBB	LDLR	autocrine|paracrine	0.843103880022895
TIMP2	ITGB1	autocrine|paracrine	0.843016201538778
RPS27A	LDLR	autocrine|paracrine	0.841976627212051
CALM1	SELL	autocrine|paracrine	0.841666669045223
TNC	ITGB1	autocrine|paracrine	0.841362019734116
VCAN	SELL	autocrine|paracrine	0.840495360407937
LAMA2	RPSA	autocrine|paracrine	0.840248766385516
LAMC1	ITGB1	autocrine|paracrine	0.838747199117819
COL14A1	CD44	autocrine|paracrine	0.838534027898349
NID1	ITGB1	autocrine|paracrine	0.837570773718336
MDK	ITGB1	autocrine|paracrine	0.836883592802102
COL16A1	ITGB1	autocrine|paracrine	0.836135866614356
C3	ITGAM	autocrine|paracrine	0.835408914568244
LAMA4	ITGB1	autocrine|paracrine	0.835175803857433
B2M	LILRB1	autocrine|paracrine	0.833654502590399
HSPG2	ITGB1	autocrine|paracrine	0.833527405816656
ADAM9	ITGB1	autocrine|paracrine	0.833364476769681
ARPC5	ADRB2	autocrine|paracrine	0.831799297800515
HSPA8	LDLR	autocrine|paracrine	0.831722541497447
VCAM1	EZR	autocrine|paracrine	0.831192808337591
ICAM1	ITGAL	autocrine|paracrine	0.830008141628265
FN1	ITGA5	autocrine|paracrine	0.829033927243974
UBA52	NOTCH1	autocrine|paracrine	0.828038937946259
CFH	SELL	autocrine|paracrine	0.827703770351056
CYR61	ITGA5	autocrine|paracrine	0.826106027626243
ADAM12	ITGB1	autocrine|paracrine	0.824028795391888
PSAP	GPR37L1	autocrine|paracrine	0.823128629816685
JAM3	ITGB1	autocrine|paracrine	0.822730848067296
VCAM1	ITGB1	autocrine|paracrine	0.822412515513322
MMP1	CD44	autocrine|paracrine	0.822120780350632
MFAP5	NOTCH1	autocrine|paracrine	0.820624138155944
HAS2	CD44	autocrine|paracrine	0.820206925815519
FN1	ITGB7	autocrine|paracrine	0.819246137468676
HLA-B	CD3G	autocrine|paracrine	0.819231573333504
CFH	ITGAM	autocrine|paracrine	0.818563262309881
PLAU	ITGB1	autocrine|paracrine	0.818552633691933
CTGF	ITGA5	autocrine|paracrine	0.81847194491386
F10	ITGB2	autocrine|paracrine	0.817939268508931
LRPAP1	SORL1	autocrine|paracrine	0.817718439279968
ACTR2	ADRB2	autocrine|paracrine	0.817514693192271
HLA-C	CD3G	autocrine|paracrine	0.816152106415041
ADM	ADRB2	autocrine|paracrine	0.815923199428573
UBA52	TGFBR1	autocrine|paracrine	0.815375565978421
HLA-A	CD3G	autocrine|paracrine	0.815274666328257
C3	CD46	autocrine|paracrine	0.81474938085895
GNAS	ADCY7	autocrine|paracrine	0.814220574616622
COL4A1	ITGB1	autocrine|paracrine	0.813739521118389
COL4A1	CD47	autocrine|paracrine	0.813602784724536
HLA-A	APLP2	autocrine|paracrine	0.813139828696764
HLA-G	KLRD1	autocrine|paracrine	0.810855923429556
PVR	CD96	autocrine|paracrine	0.808761088271342
PVR	CD96	autocrine|paracrine	0.808761088271342
MDK	ITGA4	autocrine|paracrine	0.808465592551611
HSPG2	CHRM3	autocrine|paracrine	0.808063294321654
HLA-B	LILRB1	autocrine|paracrine	0.806274857332881
ICAM1	SPN	autocrine|paracrine	0.804588936644551
UBA52	LDLR	autocrine|paracrine	0.803657825639423
CALM2	AQP6	autocrine|paracrine	0.803277301862794
HLA-C	LILRB1	autocrine|paracrine	0.80302773691382
TGFB3	ITGB1	autocrine|paracrine	0.802851201895949
NUCB2	ERAP1	autocrine|paracrine	0.802794997327467
HLA-E	SLC16A4	autocrine|paracrine	0.802737948044854
HLA-A	LILRB1	autocrine|paracrine	0.802102847095333
MFAP2	NOTCH1	autocrine|paracrine	0.801969753004714
MICB	KLRK1	autocrine|paracrine	0.800390194357022
