CAF	malignant_cell	interaction.type	LRscore
TIMP1	CD63	autocrine|paracrine	0.943270962296891
VIM	CD44	autocrine|paracrine	0.930737459594635
COL1A2	CD44	autocrine|paracrine	0.928081880647428
COL1A1	CD44	autocrine|paracrine	0.927158074508216
B2M	HLA-F	autocrine|paracrine	0.91624314552744
COL1A2	ITGB1	autocrine|paracrine	0.915816407073702
FN1	CD44	autocrine|paracrine	0.914922288290104
HLA-B	CANX	autocrine|paracrine	0.914889010636664
COL1A1	ITGB1	autocrine|paracrine	0.914749520168451
COL3A1	ITGB1	autocrine|paracrine	0.912707497504232
LAMB2	RPSA	autocrine|paracrine	0.909460149804313
LGALS1	ITGB1	autocrine|paracrine	0.907293779774895
LUM	ITGB1	autocrine|paracrine	0.90620875961865
PKM	CD44	autocrine|paracrine	0.903410100023171
CYR61	CAV1	autocrine|paracrine	0.902643965192006
VCAN	CD44	autocrine|paracrine	0.90176212007433
FN1	ITGB1	autocrine|paracrine	0.900652722900084
LGALS3BP	ITGB1	autocrine|paracrine	0.89919953451647
CXCL12	ITGB1	autocrine|paracrine	0.898638933396481
CALR	HLA-F	autocrine|paracrine	0.896619154653635
COL6A1	ITGB1	autocrine|paracrine	0.895066616529179
HLA-A	APLP2	autocrine|paracrine	0.893960114160105
COL6A3	ITGB1	autocrine|paracrine	0.893082922005038
FBLN1	ITGB1	autocrine|paracrine	0.891662121083495
THBS1	ITGB1	autocrine|paracrine	0.889964798229998
COL6A2	ITGB1	autocrine|paracrine	0.887649332534393
VCAN	ITGB1	autocrine|paracrine	0.885561366271932
THBS2	ITGB1	autocrine|paracrine	0.884741676654009
PSAP	SORT1	autocrine|paracrine	0.883678214974019
C3	CD46	autocrine|paracrine	0.882732421073691
APP	CAV1	autocrine|paracrine	0.880888134919048
B2M	TFRC	autocrine|paracrine	0.878429195012257
COL1A2	ITGB3	autocrine|paracrine	0.876148901035016
THBS1	CD47	autocrine|paracrine	0.875209122108282
COL5A2	ITGB1	autocrine|paracrine	0.87494108580185
LAMB2	ITGB1	autocrine|paracrine	0.874552968562777
COL1A1	DDR1	autocrine|paracrine	0.873671695629932
B2M	KLRD1	autocrine|paracrine	0.871679316043222
CXCL12	SDC4	autocrine|paracrine	0.871283800945668
COL3A1	DDR1	autocrine|paracrine	0.870784716975169
THBS2	CD47	autocrine|paracrine	0.869388375763695
FBN1	ITGB1	autocrine|paracrine	0.869365884674946
C3	IFITM1	autocrine|paracrine	0.869151650802553
COL5A1	ITGB1	autocrine|paracrine	0.866199141338153
APP	NCSTN	autocrine|paracrine	0.866089683877426
COL14A1	CD44	autocrine|paracrine	0.865567425778148
DCN	MET	autocrine|paracrine	0.864926086068542
THBS1	SDC4	autocrine|paracrine	0.860631761623024
BGN	LY96	autocrine|paracrine	0.860029529212133
LAMB1	ITGB1	autocrine|paracrine	0.858213550127528
FN1	ITGA3	autocrine|paracrine	0.857763119275549
ARF1	CHRM3	autocrine|paracrine	0.857617611349764
CALR	ITGA3	autocrine|paracrine	0.857185822683267
HLA-C	DDR1	autocrine|paracrine	0.856468738547113
TIMP2	ITGB1	autocrine|paracrine	0.856398366134288
FN1	ITGB3	autocrine|paracrine	0.854971559555193
TNC	ITGB1	autocrine|paracrine	0.854860918449249
LAMC1	ITGB1	autocrine|paracrine	0.852429573804963
CYR61	ITGB3	autocrine|paracrine	0.852408778253582
MMP1	CD44	autocrine|paracrine	0.851415230517833
NID1	ITGB1	autocrine|paracrine	0.851335275889886
COL1A1	DDR2	autocrine|paracrine	0.851126141410679
MDK	ITGB1	autocrine|paracrine	0.850695947258544
HLA-E	SLC16A4	autocrine|paracrine	0.850557378750061
COL16A1	ITGB1	autocrine|paracrine	0.850000188456239
HAS2	CD44	autocrine|paracrine	0.849758963600908
HLA-B	KLRD1	autocrine|paracrine	0.849427940781747
LAMA4	ITGB1	autocrine|paracrine	0.849106696200423
COL3A1	DDR2	autocrine|paracrine	0.847813678899
HSP90AA1	ITGB3	autocrine|paracrine	0.847793528860604
HSPG2	ITGB1	autocrine|paracrine	0.847572192617059
ADAM9	ITGB1	autocrine|paracrine	0.84742049318649
THBS1	SCARB1	autocrine|paracrine	0.846912150237418
C3	CD81	autocrine|paracrine	0.844255098501465
THBS1	ITGA3	autocrine|paracrine	0.843264041223344
THBS1	ITGB3	autocrine|paracrine	0.840240920374017
COL5A1	SDC3	autocrine|paracrine	0.839929849073886
FN1	ITGB8	autocrine|paracrine	0.83927643645006
UBC	LDLR	autocrine|paracrine	0.838856072069348
LAMA2	RPSA	autocrine|paracrine	0.838758019572243
ADAM12	ITGB1	autocrine|paracrine	0.838719893362625
FN1	IL17RC	autocrine|paracrine	0.837656470516059
JAM3	ITGB1	autocrine|paracrine	0.837508938565424
VCAM1	ITGB1	autocrine|paracrine	0.837211893022386
UBB	LDLR	autocrine|paracrine	0.836809873534266
COL1A2	ITGAV	autocrine|paracrine	0.836545876888309
UBC	TGFBR1	autocrine|paracrine	0.83628846016618
RPS27A	LDLR	autocrine|paracrine	0.835646215380587
COL1A1	ITGAV	autocrine|paracrine	0.83465574545598
VCAM1	MSN	autocrine|paracrine	0.834550561072054
FBLN2	ITGB3	autocrine|paracrine	0.834542707000726
FN1	ITGA6	autocrine|paracrine	0.834306363336383
UBB	TGFBR1	autocrine|paracrine	0.83421610165228
PLAU	ITGB1	autocrine|paracrine	0.833608597348881
THBS2	ITGB3	autocrine|paracrine	0.833100154892238
RPS27A	TGFBR1	autocrine|paracrine	0.833037638360301
TFPI	SDC4	autocrine|paracrine	0.831644162487746
HLA-E	KLRD1	autocrine|paracrine	0.831605746875128
CALM1	KCNN4	autocrine|paracrine	0.830416322672931
PRSS23	TMEM222	autocrine|paracrine	0.829601793987998
COL4A1	ITGB1	autocrine|paracrine	0.829111484813752
APP	CD74	autocrine|paracrine	0.829028485944398
COL6A1	ITGA6	autocrine|paracrine	0.825711635909577
HSPA8	LDLR	autocrine|paracrine	0.825066696668168
ICAM1	CAV1	autocrine|paracrine	0.824912893627095
LAMB2	ITGA3	autocrine|paracrine	0.822614915766832
MDK	SDC3	autocrine|paracrine	0.822008343175991
VCAM1	EZR	autocrine|paracrine	0.821634557136631
FN1	PLAUR	autocrine|paracrine	0.818949889045644
TGFB3	ITGB1	autocrine|paracrine	0.818921808669624
COL5A2	DDR1	autocrine|paracrine	0.818487802823935
CYR61	ITGB5	autocrine|paracrine	0.818090326265278
TNC	SDC4	autocrine|paracrine	0.818082789014802
