Endo	B_cell	interaction.type	LRscore
APP	CD74	autocrine|paracrine	0.943738082328375
B2M	HLA-F	autocrine|paracrine	0.920531201742629
LAMB2	RPSA	autocrine|paracrine	0.916877265341341
FN1	CD79A	autocrine|paracrine	0.91255917350663
VIM	CD44	autocrine|paracrine	0.911858282465435
CALM2	SELL	autocrine|paracrine	0.910421473499139
B2M	KLRD1	autocrine|paracrine	0.908475426039325
CALM1	SELL	autocrine|paracrine	0.90597789907688
HLA-B	KLRD1	autocrine|paracrine	0.902261501418046
LGALS1	PTPRC	autocrine|paracrine	0.897850617796279
HLA-E	KLRD1	autocrine|paracrine	0.897249825562695
CALR	HLA-F	autocrine|paracrine	0.8960638197483
CD34	SELL	autocrine|paracrine	0.893058545051676
B2M	LILRB1	autocrine|paracrine	0.886988958229304
HLA-B	CANX	autocrine|paracrine	0.886060104366707
COL4A1	CD47	autocrine|paracrine	0.884014691913167
PODXL	SELL	autocrine|paracrine	0.882961783493055
HLA-B	LILRB1	autocrine|paracrine	0.879509720117322
HLA-A	LILRB1	autocrine|paracrine	0.877377532515269
CCL21	CCR7	autocrine|paracrine	0.876539125204038
HLA-C	LILRB1	autocrine|paracrine	0.873817281108621
FN1	CD44	autocrine|paracrine	0.87322818941342
HLA-A	APLP2	autocrine|paracrine	0.872804684121043
THBS1	CD47	autocrine|paracrine	0.871007313479367
ARF1	CHRM3	autocrine|paracrine	0.865369097778059
PKM	CD44	autocrine|paracrine	0.86431036634176
DUSP18	RPSA	autocrine|paracrine	0.8624656315862
MRC1	PTPRC	autocrine|paracrine	0.858869399787584
CXCL12	CXCR4	autocrine|paracrine	0.856650118086203
B2M	CD3G	autocrine|paracrine	0.852285825031748
HSPG2	CHRM3	autocrine|paracrine	0.849210642721789
CFH	SELL	autocrine|paracrine	0.845916175122031
B2M	TFRC	autocrine|paracrine	0.844717445466084
HLA-E	SLC16A4	autocrine|paracrine	0.84350273382581
HLA-B	CD3G	autocrine|paracrine	0.842916622452322
FN1	ITGA4	autocrine|paracrine	0.840296434666586
HLA-A	CD3G	autocrine|paracrine	0.840254500360265
UBC	TGFBR2	autocrine|paracrine	0.840232701737103
TGM2	TBXA2R	autocrine|paracrine	0.839324423076427
APP	NCSTN	autocrine|paracrine	0.838305758491521
ICAM2	ITGB2	autocrine|paracrine	0.83780275527161
THBS1	ITGA4	autocrine|paracrine	0.837482978714055
HLA-F	LILRB1	autocrine|paracrine	0.83684368447267
TGM2	ITGA4	autocrine|paracrine	0.836475776103906
HLA-C	CD3G	autocrine|paracrine	0.835818103472593
UBC	LDLR	autocrine|paracrine	0.835369313767575
RPS27A	TGFBR2	autocrine|paracrine	0.834823301532408
UBB	TGFBR2	autocrine|paracrine	0.831449662785567
RPS27A	LDLR	autocrine|paracrine	0.82982859833443
CYR61	ITGB2	autocrine|paracrine	0.828538944606582
COL4A1	ITGB1	autocrine|paracrine	0.827706469721203
TIMP3	ADAM17	autocrine|paracrine	0.826613196912682
UBB	LDLR	autocrine|paracrine	0.826374162427267
GNAI2	TBXA2R	autocrine|paracrine	0.824177396952582
CALM1	KCNN4	autocrine|paracrine	0.822349012628578
CALM2	AQP6	autocrine|paracrine	0.821873644486427
PSAP	GPR37L1	autocrine|paracrine	0.819649981052781
HSPA8	LDLR	autocrine|paracrine	0.819373263876079
ICAM1	IL2RG	autocrine|paracrine	0.817309494628356
CALM1	AQP6	autocrine|paracrine	0.813935316915762
FN1	ITGB1	autocrine|paracrine	0.812929776100512
ICAM2	ITGAL	autocrine|paracrine	0.81242787263783
LGALS1	ITGB1	autocrine|paracrine	0.812146809656355
HSPG2	ITGB1	autocrine|paracrine	0.811697814786687
HSP90B1	TLR7	autocrine|paracrine	0.809974190996566
THBS1	ITGB1	autocrine|paracrine	0.809743366628064
VCAN	SELL	autocrine|paracrine	0.80900518699268
TGM2	ITGB1	autocrine|paracrine	0.808603536677661
LAMB2	ITGB1	autocrine|paracrine	0.807706521023374
HBEGF	CD82	autocrine|paracrine	0.805213177506311
LAMB1	ITGB1	autocrine|paracrine	0.804360320202638
GNAI2	S1PR1	autocrine|paracrine	0.804344698331884
IL7	IL2RG	autocrine|paracrine	0.803536485530738
VCAM1	EZR	autocrine|paracrine	0.802697656880193
EFNA1	EPHA10	autocrine|paracrine	0.802264313809144
CALM3	SELL	autocrine|paracrine	0.802178154761812
MDK	ITGA4	autocrine|paracrine	0.801526323192869
LAMA4	ITGB1	autocrine|paracrine	0.800699062397328
TNFSF10	TNFRSF10B	autocrine|paracrine	0.800544621505465
UBC	FGFR2	autocrine|paracrine	0.800052352246538
TIMP1	CD63	autocrine|paracrine	0.796532655147049
TNFSF10	TNFRSF10A	autocrine|paracrine	0.796520268277144
CTGF	ITGB2	autocrine|paracrine	0.796348720985204
CALR	SCARF1	autocrine|paracrine	0.794588579391819
RPS27A	FGFR2	autocrine|paracrine	0.793616682536338
TFPI	F3	autocrine|paracrine	0.793393520364874
PRND	RPSA	autocrine|paracrine	0.790371184545076
HBEGF	CD44	autocrine|paracrine	0.790220016905481
HLA-G	KLRD1	autocrine|paracrine	0.789766777833919
UBB	FGFR2	autocrine|paracrine	0.789613522067633
UBA52	TGFBR2	autocrine|paracrine	0.789108904315367
ADAM15	ITGB1	autocrine|paracrine	0.787739410615443
UBC	SMAD3	autocrine|paracrine	0.785493341617429
UBA52	LDLR	autocrine|paracrine	0.783091031562129
GNAS	ADCY7	autocrine|paracrine	0.782189237596667
ICAM1	SPN	autocrine|paracrine	0.782058325080185
PECAM1	CD38	autocrine|paracrine	0.779126292158421
MFNG	NOTCH2	autocrine|paracrine	0.778962937268426
LGALS9	HAVCR2	autocrine|paracrine	0.778817637637833
RPS27A	SMAD3	autocrine|paracrine	0.778718673477857
UBC	ADRB2	autocrine|paracrine	0.77816444153214
NID1	ITGB1	autocrine|paracrine	0.775909464538549
GPI	AMFR	autocrine|paracrine	0.775583592101299
UBB	SMAD3	autocrine|paracrine	0.774508646584769
B2M	LILRB2	autocrine|paracrine	0.77407076292107
CD55	CR1	autocrine|paracrine	0.772647411047265
ICAM1	ITGB2	autocrine|paracrine	0.771693888775089
HSP90B1	TLR1	autocrine|paracrine	0.771596378032654
VCAN	CD44	autocrine|paracrine	0.771298128108976
RPS27A	ADRB2	autocrine|paracrine	0.771225722108291
MDK	ITGB1	autocrine|paracrine	0.769339716067969
LYZ	ITGAL	autocrine|paracrine	0.767548804843052
UBB	ADRB2	autocrine|paracrine	0.766915807004029
PTGS2	ALOX5	autocrine|paracrine	0.763365115534651
EFNA5	EPHA10	autocrine|paracrine	0.762017131944882
GAS6	AXL	autocrine|paracrine	0.76200958218775
