Endo	B_cell	interaction.type	LRscore
LGALS1	CD69	paracrine	0.895919386410811
ST6GAL1	CD22	paracrine	0.849216811912771
HSP90B1	TLR9	paracrine	0.778670671181261
B2M	CD1A	paracrine	0.741199510358824
IL10	IL10RA	paracrine	0.664645756291176
B2M	CD3D	paracrine	0.638418489495132
GNAI2	CNR1	specific	0.633861757443594
HLA-B	CD3D	paracrine	0.621508280626132
HLA-A	CD3D	paracrine	0.616799727797885
EFNA1	EPHB6	paracrine	0.610764567088793
HLA-C	CD3D	paracrine	0.609045024342164
B2M	CD247	paracrine	0.597783963172028
EFNA5	EPHB6	paracrine	0.553245006905845
CCL14	CCR1	paracrine	0.549221326029831
TCN2	CNR1	paracrine	0.547289908178393
B2M	KLRC1	paracrine	0.526208006116911
GNAI2	P2RY12	paracrine	0.511502294516288
