Endo	CAF	interaction.type	LRscore
TIMP1	CD63	autocrine|paracrine	0.930671538707612
VIM	CD44	autocrine|paracrine	0.923257801164998
HLA-B	CANX	autocrine|paracrine	0.922107630652896
HLA-A	APLP2	autocrine|paracrine	0.914362897727009
LAMB2	RPSA	autocrine|paracrine	0.911936139111379
COL4A1	ITGB1	autocrine|paracrine	0.905860561215632
APP	LRP1	autocrine|paracrine	0.904571141922822
PSAP	LRP1	autocrine|paracrine	0.902548887865508
CALR	LRP1	autocrine|paracrine	0.900521366930744
APP	CAV1	autocrine|paracrine	0.90011763600545
B2M	HLA-F	autocrine|paracrine	0.899822135280553
TFPI	LRP1	autocrine|paracrine	0.89698550380751
FN1	ITGB1	autocrine|paracrine	0.896952233437974
LGALS1	ITGB1	autocrine|paracrine	0.896476151981961
HSPG2	ITGB1	autocrine|paracrine	0.896202955435521
HSP90B1	LRP1	autocrine|paracrine	0.896114106168633
THBS1	ITGB1	autocrine|paracrine	0.895012165041352
TGM2	ITGB1	autocrine|paracrine	0.894316508540667
APP	CD74	autocrine|paracrine	0.893882300894017
LAMB2	ITGB1	autocrine|paracrine	0.893768427617179
A2M	LRP1	autocrine|paracrine	0.891975101330626
LAMB1	ITGB1	autocrine|paracrine	0.891719066609633
B2M	KLRD1	autocrine|paracrine	0.891648856059031
APP	NCSTN	autocrine|paracrine	0.891320319508048
LAMA4	ITGB1	autocrine|paracrine	0.889468010235805
FN1	CD44	autocrine|paracrine	0.889015718111729
HLA-B	KLRD1	autocrine|paracrine	0.884437836850317
HSPG2	LRP1	autocrine|paracrine	0.882778051256921
B2M	TFRC	autocrine|paracrine	0.881949089365595
THBS1	LRP1	autocrine|paracrine	0.881453618850754
ADAM15	ITGB1	autocrine|paracrine	0.881425804744737
PKM	CD44	autocrine|paracrine	0.88105720347271
HLA-E	KLRD1	autocrine|paracrine	0.878635162873896
TFPI	F3	autocrine|paracrine	0.875085029656256
NID1	ITGB1	autocrine|paracrine	0.873981999131458
SERPING1	LRP1	autocrine|paracrine	0.872442637649956
COL4A1	CD47	autocrine|paracrine	0.871608442704315
CALR	HLA-F	autocrine|paracrine	0.869879982490629
MDK	ITGB1	autocrine|paracrine	0.869805027031941
CYR61	CAV1	autocrine|paracrine	0.86773499938685
FN1	ITGA5	autocrine|paracrine	0.864031592637505
COL18A1	ITGB1	autocrine|paracrine	0.863971795023897
HLA-E	SLC16A4	autocrine|paracrine	0.863931102927865
GAS6	AXL	autocrine|paracrine	0.863617424662228
GNAI2	CAV1	autocrine|paracrine	0.862953313053158
FN1	NT5E	autocrine|paracrine	0.861942775499327
UBC	TGFBR2	autocrine|paracrine	0.861495495454424
FN1	PLAUR	autocrine|paracrine	0.859826551750107
FN1	SDC2	autocrine|paracrine	0.859491593179503
COL6A2	ITGB1	autocrine|paracrine	0.859040015323737
THBS1	CD47	autocrine|paracrine	0.857434123029529
ADAM10	AXL	autocrine|paracrine	0.856844853641509
RPS27A	TGFBR2	autocrine|paracrine	0.856683216259055
LAMC1	ITGB1	autocrine|paracrine	0.85647254789332
UBC	LDLR	autocrine|paracrine	0.856066683695575
DUSP18	RPSA	autocrine|paracrine	0.854802282486301
UBB	TGFBR2	autocrine|paracrine	0.853677798326465
MDK	LRP1	autocrine|paracrine	0.85352389567938
CALM2	ABCA1	autocrine|paracrine	0.853516425265464
CYR61	ITGA5	autocrine|paracrine	0.852422395125724
APP	GPC1	autocrine|paracrine	0.851880634241757
RPS27A	LDLR	autocrine|paracrine	0.851098384319008
TFPI	SDC4	autocrine|paracrine	0.849830612251936
CALM1	FAS	autocrine|paracrine	0.849733047101702
TIMP2	ITGB1	autocrine|paracrine	0.849161479228646
CALM2	EGFR	autocrine|paracrine	0.848465990246316
CTGF	LRP1	autocrine|paracrine	0.848121991425806
UBB	LDLR	autocrine|paracrine	0.847996630184223
CALM2	MYLK	autocrine|paracrine	0.847672837248505
CALM1	ABCA1	autocrine|paracrine	0.846725289674522
ARF1	CHRM3	autocrine|paracrine	0.846570492069836
LAMA5	ITGB1	autocrine|paracrine	0.845349022327953
F8	LRP1	autocrine|paracrine	0.845255373836634
ADAM15	ITGA5	autocrine|paracrine	0.844405391867652
GNAI2	F2R	autocrine|paracrine	0.843366236491691
COL4A2	ITGB5	autocrine|paracrine	0.84324165571396
HSPA8	LDLR	autocrine|paracrine	0.841700575635818
CALM1	EGFR	autocrine|paracrine	0.841484196419884
CALM1	MYLK	autocrine|paracrine	0.840661362395075
CALR	ITGAV	autocrine|paracrine	0.840624952413685
TIMP3	ADAM17	autocrine|paracrine	0.838489474646864
HSPG2	PTPRS	autocrine|paracrine	0.83659267227753
TNC	ITGB1	autocrine|paracrine	0.83405408203375
SEMA3A	NRP1	autocrine|paracrine	0.83347601202381
HSP90AA1	EGFR	autocrine|paracrine	0.83270470058297
LRPAP1	LRP1	autocrine|paracrine	0.832342508697962
HLA-A	ERBB2	autocrine|paracrine	0.832265375616166
SERPINE1	LRP1	autocrine|paracrine	0.832019935659065
PROS1	AXL	autocrine|paracrine	0.830512535000345
COL4A1	ITGAV	autocrine|paracrine	0.830227149172021
UBC	TGFBR1	autocrine|paracrine	0.830006877886936
UBC	SMAD3	autocrine|paracrine	0.82886501021878
HSPG2	CHRM3	autocrine|paracrine	0.828602692982986
THBS1	SDC4	autocrine|paracrine	0.828547975736557
RELN	ITGB1	autocrine|paracrine	0.827545179541273
TGM2	SDC4	autocrine|paracrine	0.827496804272721
DUSP18	ITGB1	autocrine|paracrine	0.827082728704142
PDGFA	PDGFRB	autocrine|paracrine	0.826804419376161
ADAM9	ITGB1	autocrine|paracrine	0.826511626237696
EFEMP1	EGFR	autocrine|paracrine	0.826255170551598
PDGFA	PDGFRA	autocrine|paracrine	0.826229057386058
PDAP1	PDGFRB	autocrine|paracrine	0.825549743014243
HMGB1	SDC1	autocrine|paracrine	0.825340605810325
RPS27A	TGFBR1	autocrine|paracrine	0.824323640916702
ADAM17	ITGB1	autocrine|paracrine	0.824105136499682
CTGF	ITGA5	autocrine|paracrine	0.823762302766407
RPS27A	SMAD3	autocrine|paracrine	0.823151732056912
FBN1	ITGB1	autocrine|paracrine	0.822701345121682
COL18A1	ITGA5	autocrine|paracrine	0.822598786195502
ICAM1	CAV1	autocrine|paracrine	0.821078539491065
PRSS23	TMEM222	autocrine|paracrine	0.820952098698678
UBB	TGFBR1	autocrine|paracrine	0.820781590307274
UBC	ERBB2	autocrine|paracrine	0.820735384266463
CXCL12	ITGB1	autocrine|paracrine	0.820652218664649
UBA52	EGFR	autocrine|paracrine	0.820463170047198
MFNG	NOTCH2	autocrine|paracrine	0.820365309160092
UBB	SMAD3	autocrine|paracrine	0.819591224240878
CALM2	INSR	autocrine|paracrine	0.819456756172821
HMGB1	THBD	autocrine|paracrine	0.81877293530392
TNFSF10	TNFRSF10B	autocrine|paracrine	0.81866087078937
UBA52	TGFBR2	autocrine|paracrine	0.815683036913225
FN1	ITGAV	autocrine|paracrine	0.815618482896963
APP	NGFR	autocrine|paracrine	0.815314558178443
CCL5	SDC4	autocrine|paracrine	0.815142235927617
CYR61	ITGB5	autocrine|paracrine	0.814854241479502
RPS27A	ERBB2	autocrine|paracrine	0.814811339953014
VWF	TNFRSF11B	autocrine|paracrine	0.814631053212682
HBEGF	CD44	autocrine|paracrine	0.814144783583829
ARF1	INSR	autocrine|paracrine	0.813923127002483
VWF	SIRPA	autocrine|paracrine	0.813585549854455
B2M	CD3G	autocrine|paracrine	0.813459507301333
HSPG2	SDC1	autocrine|paracrine	0.812364722051657
MMP2	SDC2	autocrine|paracrine	0.811441644025442
CALM1	INSR	autocrine|paracrine	0.811435430517029
