Endo	Endo.1	interaction.type	LRscore
B2M	HLA-F	autocrine	0.931578699354791
APP	CD74	autocrine	0.930980968594232
HLA-A	APLP2	autocrine	0.926934043139901
TIMP1	CD63	autocrine	0.924285383980676
HLA-B	CANX	autocrine	0.922040579032356
UBC	TGFBR2	autocrine	0.913008394688239
APP	CAV1	autocrine	0.911085664441098
CALR	HLA-F	autocrine	0.910180811088539
RPS27A	TGFBR2	autocrine	0.909798511511424
UBB	TGFBR2	autocrine	0.907787050953808
LAMB2	RPSA	autocrine	0.905285483595722
COL4A1	ITGB1	autocrine	0.903234401509142
B2M	KLRD1	autocrine	0.898979602202148
FN1	ITGB1	autocrine	0.894106613146949
LGALS1	ITGB1	autocrine	0.893618944149708
HSPG2	ITGB1	autocrine	0.893339104616184
HMGB1	THBD	autocrine	0.893305404300837
FN1	ITGA5	autocrine	0.893088710437166
HLA-B	KLRD1	autocrine	0.892197475447723
THBS1	ITGB1	autocrine	0.892119414197925
HLA-C	NOTCH4	autocrine	0.891645371792127
TGM2	ITGB1	autocrine	0.891406915761704
LAMB2	ITGB1	autocrine	0.890845587219446
LAMB1	ITGB1	autocrine	0.888746859093072
HLA-E	KLRD1	autocrine	0.886734534797105
LAMA4	ITGB1	autocrine	0.886441882097875
CALR	SCARF1	autocrine	0.886321693881233
COL4A2	CD93	autocrine	0.88628248280936
GNAI2	S1PR1	autocrine	0.885938145983665
COL4A1	CD93	autocrine	0.885785146959315
CYR61	ITGA5	autocrine	0.883626305213412
UBA52	TGFBR2	autocrine	0.881898799023962
CYR61	CAV1	autocrine	0.881791966147818
TIMP3	KDR	autocrine	0.879477169645956
ADAM15	ITGB1	autocrine	0.878209646217238
GNAI2	CAV1	autocrine	0.877446697988814
ADAM15	ITGA5	autocrine	0.877059944972323
FN1	FLT4	autocrine	0.875875701117626
APP	NCSTN	autocrine	0.875525208634205
FN1	ROBO4	autocrine	0.873688505524661
COL4A1	CD47	autocrine	0.872017369706599
UBC	LDLR	autocrine	0.870659605717549
NID1	ITGB1	autocrine	0.870593580160935
ARF1	CHRM3	autocrine	0.867190749807582
