Endo	Macro	interaction.type	LRscore
APP	CD74	autocrine|paracrine	0.943871161683633
B2M	HLA-F	autocrine|paracrine	0.926879640741542
TIMP1	CD63	autocrine|paracrine	0.926404580464077
HLA-A	APLP2	autocrine|paracrine	0.925648992823537
VIM	CD44	autocrine|paracrine	0.922391234931859
HLA-B	CANX	autocrine|paracrine	0.920709537625498
B2M	LILRB2	autocrine|paracrine	0.920084422325465
B2M	LILRB1	autocrine|paracrine	0.91965960200642
HLA-B	LILRB2	autocrine|paracrine	0.9145845684574
HLA-B	LILRB1	autocrine|paracrine	0.914133240154899
HLA-A	LILRB2	autocrine|paracrine	0.913011674074197
HLA-A	LILRB1	autocrine|paracrine	0.912552829376976
HLA-C	LILRB2	autocrine|paracrine	0.910380353048458
HLA-C	LILRB1	autocrine|paracrine	0.909908998267358
ICAM2	ITGB2	autocrine|paracrine	0.906421786421427
LAMB2	RPSA	autocrine|paracrine	0.905334034643233
CALR	HLA-F	autocrine|paracrine	0.904163364711496
CD99	PILRA	autocrine|paracrine	0.903913105542837
CYR61	ITGB2	autocrine|paracrine	0.900612191620319
RPS19	C5AR1	autocrine|paracrine	0.898675072854889
LGALS1	PTPRC	autocrine|paracrine	0.895060301779799
FN1	PLAUR	autocrine|paracrine	0.89391720459944
HSP90B1	TLR2	autocrine|paracrine	0.891077670967954
FN1	CD44	autocrine|paracrine	0.887809478434096
B2M	KLRD1	autocrine|paracrine	0.887465379809953
UBC	TLR4	autocrine|paracrine	0.887410267037699
RPS27A	TLR4	autocrine|paracrine	0.883376495585097
HLA-F	LILRB2	autocrine|paracrine	0.882681936459479
APP	NCSTN	autocrine|paracrine	0.88257836392941
HLA-F	LILRB1	autocrine|paracrine	0.882083770842782
UBB	TLR4	autocrine|paracrine	0.880852995311836
HLA-B	KLRD1	autocrine|paracrine	0.880013406754133
CTGF	ITGB2	autocrine|paracrine	0.879993189688102
PKM	CD44	autocrine|paracrine	0.87977616346711
APP	LRP1	autocrine|paracrine	0.878855758078492
CALM2	ABCA1	autocrine|paracrine	0.876850564869729
PSAP	LRP1	autocrine|paracrine	0.87636304618458
B2M	TFRC	autocrine|paracrine	0.875951919774856
COL4A1	ITGB1	autocrine|paracrine	0.874180135309297
HLA-E	KLRD1	autocrine|paracrine	0.874020215617913
CALR	LRP1	autocrine|paracrine	0.873866853602062
FN1	C5AR1	autocrine|paracrine	0.873247356009403
VWF	SIRPA	autocrine|paracrine	0.871146253259216
CALM1	ABCA1	autocrine|paracrine	0.870977694731735
TFPI	LRP1	autocrine|paracrine	0.869520856383291
HSP90B1	TLR4	autocrine|paracrine	0.869199457951349
HSP90B1	LRP1	autocrine|paracrine	0.868451207497579
COL4A1	CD47	autocrine|paracrine	0.865079867278751
CALM2	SELL	autocrine|paracrine	0.864274915926898
ICAM1	ITGB2	autocrine|paracrine	0.863731910514002
HMGB1	TLR4	autocrine|paracrine	0.863614157440602
A2M	LRP1	autocrine|paracrine	0.863378094762022
BGN	TLR2	autocrine|paracrine	0.862847694282227
FN1	ITGB1	autocrine|paracrine	0.862728210680991
LGALS1	ITGB1	autocrine|paracrine	0.862118319842464
LGALS9	HAVCR2	autocrine|paracrine	0.861907855344261
HSPG2	ITGB1	autocrine|paracrine	0.861768434639524
THBS1	ITGB1	autocrine|paracrine	0.860244205085131
TGM2	ITGB1	autocrine|paracrine	0.859354375711746
LAMB2	ITGB1	autocrine|paracrine	0.858653635947166
HSP90B1	TLR1	autocrine|paracrine	0.858074805262192
CALM1	SELL	autocrine|paracrine	0.857899515277966
GNAI2	C5AR1	autocrine|paracrine	0.857353728584489
LAMB1	ITGB1	autocrine|paracrine	0.856035974578537
MRC1	PTPRC	autocrine|paracrine	0.855186014656394
APP	FPR2	autocrine|paracrine	0.853482201404032
LAMA4	ITGB1	autocrine|paracrine	0.853165252245085
