Endo	Macro	interaction.type	LRscore
CCL14	CCR1	specific	0.888314876427388
CCL5	CCR1	paracrine	0.864976172454241
GNAI2	FPR1	specific	0.861133101152896
HLA-C	LILRA3	paracrine	0.859454586204236
ANXA1	FPR1	paracrine	0.84310610950466
CCL2	CCR1	specific	0.839779638245181
CCL14	CCR5	specific	0.836358379871669
CSF1	CSF1R	paracrine	0.828516331279589
CCL5	CCR5	paracrine	0.804551231354451
GNAI2	CCR5	specific	0.800735903129782
LGALS1	CD69	paracrine	0.79854938182649
IL34	CSF1R	specific	0.793175935816542
CCL16	CCR1	paracrine	0.787285375532641
CCL2	CCR5	specific	0.771063321948982
IL10	IL10RA	paracrine	0.767943183348556
B2M	CD1B	paracrine	0.75540623336094
ADM	GPR84	paracrine	0.741145398923188
CCL23	CCR1	specific	0.724347394841714
IAPP	GPR84	paracrine	0.719792174418941
SEMA6D	TREM2	specific	0.719203232984491
CCL16	CCR5	paracrine	0.703990846188063
PSAP	CD1B	paracrine	0.70164553486353
GNAI2	P2RY12	specific	0.684394042190476
F8	ASGR2	specific	0.649117197490802
B2M	CD1A	paracrine	0.648090012846783
SAA1	FPR1	paracrine	0.643742380583181
CX3CL1	CX3CR1	specific	0.640922900105668
B2M	CD3D	paracrine	0.615790259903587
EFNA1	EPHB6	paracrine	0.612848141145044
HLA-B	CD3D	paracrine	0.598487348557628
HLA-A	CD3D	paracrine	0.593679638374135
ADM2	GPR84	paracrine	0.593163616126741
HLA-C	CD3D	paracrine	0.585771274504405
PVR	CD226	paracrine	0.578073289974726
P4HB	GPR162	paracrine	0.569905952046765
C4A	C3AR1	paracrine	0.560174995591034
HP	ASGR2	paracrine	0.559797669494421
EFNA5	EPHB6	paracrine	0.555412354914603
ST6GAL1	CD22	paracrine	0.544961734921634
CCL8	CCR1	paracrine	0.544007290589576
CCL4	CCR1	paracrine	0.525816425457686
