Endo	NK	interaction.type	LRscore
B2M	KLRD1	autocrine|paracrine	0.939246922532745
B2M	HLA-F	autocrine|paracrine	0.93641655986004
HLA-B	KLRD1	autocrine|paracrine	0.934972641993977
HLA-E	KLRD1	autocrine|paracrine	0.931510953348688
APP	CD74	autocrine|paracrine	0.921168786466729
CALR	HLA-F	autocrine|paracrine	0.916395869042038
VIM	CD44	autocrine|paracrine	0.915566778759771
LAMB2	RPSA	autocrine|paracrine	0.913989462112967
HLA-B	CANX	autocrine|paracrine	0.909895700512448
LGALS1	PTPRC	autocrine|paracrine	0.90932068437999
TIMP1	CD63	autocrine|paracrine	0.907999109212934
ICAM2	ITGB2	autocrine|paracrine	0.900213695184118
CYR61	ITGB2	autocrine|paracrine	0.894063729558795
ICAM2	ITGAL	autocrine|paracrine	0.888043027001487
COL4A1	ITGB1	autocrine|paracrine	0.882517283046787
COL4A1	CD47	autocrine|paracrine	0.882423742017024
UBC	ADRB2	autocrine|paracrine	0.880421267875531
FN1	CD44	autocrine|paracrine	0.878345175400925
RPS27A	ADRB2	autocrine|paracrine	0.876172040272832
GNAS	PTGDR	autocrine|paracrine	0.876073838404668
MRC1	PTPRC	autocrine|paracrine	0.8741027990147
UBB	ADRB2	autocrine|paracrine	0.873514970841096
CTGF	ITGB2	autocrine|paracrine	0.87227884644907
FN1	ITGB1	autocrine|paracrine	0.871712832433847
LGALS1	ITGB1	autocrine|paracrine	0.871136897308247
HSPG2	ITGB1	autocrine|paracrine	0.870806467927353
PKM	CD44	autocrine|paracrine	0.869733611515735
THBS1	ITGB1	autocrine|paracrine	0.8693667904371
THBS1	CD47	autocrine|paracrine	0.869264329945189
TGM2	ITGB1	autocrine|paracrine	0.868526167713953
HSPA8	ADRB2	autocrine|paracrine	0.868111506625133
LAMB2	ITGB1	autocrine|paracrine	0.867864098231926
ARF1	CHRM3	autocrine|paracrine	0.866104141007839
LAMB1	ITGB1	autocrine|paracrine	0.865390269399977
LAMA4	ITGB1	autocrine|paracrine	0.862676154083665
LGALS9	HAVCR2	autocrine|paracrine	0.858438352363763
LYZ	ITGAL	autocrine|paracrine	0.858095811116687
DUSP18	RPSA	autocrine|paracrine	0.857980293985546
PECAM1	CD38	autocrine|paracrine	0.857923568875607
CALM2	SELL	autocrine|paracrine	0.857887464967802
