Endo	NK	interaction.type	LRscore
B2M	CD247	paracrine	0.93961872744532
B2M	KLRC1	paracrine	0.928386847705723
HLA-E	KLRC1	paracrine	0.919386702996677
LGALS1	CD69	paracrine	0.904547221441418
B2M	KLRC2	paracrine	0.896638199750188
HLA-E	KLRC2	paracrine	0.884145897487275
CD59	CD2	paracrine	0.873875867940976
HLA-G	KLRC1	paracrine	0.830690602802069
CD58	CD2	paracrine	0.795133413788404
HLA-A	KIR3DL2	paracrine	0.775610430535847
PVR	TIGIT	paracrine	0.773944849192342
CCL14	CCR1	paracrine	0.755993827943548
CX3CL1	CX3CR1	specific	0.75050228412904
IL10	IL10RA	paracrine	0.735052080064973
B2M	CD3D	paracrine	0.720812256521191
CCL5	CCR1	paracrine	0.713909423216166
HLA-F	KIR3DL2	paracrine	0.712461298665979
HLA-B	CD3D	paracrine	0.705980757402591
HLA-A	CD3D	paracrine	0.701818895144088
HLA-C	CD3D	paracrine	0.694933743562658
CCL14	CCR5	paracrine	0.687677420213195
CCL2	CCR1	paracrine	0.671237259799942
PVR	CD226	paracrine	0.665209910853136
GNAI2	CXCR1	paracrine	0.644984269533755
CCL5	CCR5	paracrine	0.639430045750652
GNAI2	CCR5	paracrine	0.633858298845459
IL18	IL18RAP	paracrine	0.625740839842794
CXCL16	CXCR6	paracrine	0.621937505207308
CCL2	CCR5	paracrine	0.591997699640543
CCL16	CCR1	paracrine	0.590452488938223
CXCL2	CXCR1	paracrine	0.571645968870654
CD48	CD2	paracrine	0.528350953047943
CCL16	CCR5	paracrine	0.506069667237845
CCL23	CCR1	paracrine	0.505831396770407
YARS	CXCR1	paracrine	0.50162730478958
