Endo	T_cell	interaction.type	LRscore
B2M	HLA-F	autocrine|paracrine	0.933049281438511
B2M	CD3G	autocrine|paracrine	0.930554505242959
APP	CD74	autocrine|paracrine	0.928188339290771
HLA-B	CD3G	autocrine|paracrine	0.925717036514076
HLA-A	CD3G	autocrine|paracrine	0.924332181885726
HLA-C	CD3G	autocrine|paracrine	0.922014046826905
VIM	CD44	autocrine|paracrine	0.921788837043533
B2M	KLRD1	autocrine|paracrine	0.920290186144582
HLA-B	KLRD1	autocrine|paracrine	0.914803181860124
LAMB2	RPSA	autocrine|paracrine	0.91391811304417
CALR	HLA-F	autocrine|paracrine	0.912067888242049
HLA-E	KLRD1	autocrine|paracrine	0.910370714135877
LGALS1	PTPRC	autocrine|paracrine	0.908213002113043
HLA-B	CANX	autocrine|paracrine	0.89691842026895
FN1	CD44	autocrine|paracrine	0.886971549706202
ICAM2	ITGB2	autocrine|paracrine	0.885243113362081
CALM2	SELL	autocrine|paracrine	0.879895069325219
PKM	CD44	autocrine|paracrine	0.87888642050654
CYR61	ITGB2	autocrine|paracrine	0.87829522947109
CALM1	SELL	autocrine|paracrine	0.874146549611053
TIMP1	CD63	autocrine|paracrine	0.873875312878443
MRC1	PTPRC	autocrine|paracrine	0.872625177967204
ICAM2	ITGAL	autocrine|paracrine	0.871865401523253
COL4A1	CD47	autocrine|paracrine	0.87155000014496
ARF1	CHRM3	autocrine|paracrine	0.866520125314334
B2M	TFRC	autocrine|paracrine	0.866257060101952
COL4A1	ITGB1	autocrine|paracrine	0.860222299090762
DUSP18	RPSA	autocrine|paracrine	0.857869708201037
CD34	SELL	autocrine|paracrine	0.857541086902564
THBS1	CD47	autocrine|paracrine	0.857370284265549
FN1	ITGA4	autocrine|paracrine	0.856539291650077
ICAM1	IL2RG	autocrine|paracrine	0.855014865990511
THBS1	ITGA4	autocrine|paracrine	0.853962251624129
CTGF	ITGB2	autocrine|paracrine	0.85379794632654
TGM2	ITGA4	autocrine|paracrine	0.853039257859707
CCL21	CCR7	autocrine|paracrine	0.852875687486651
LGALS9	HAVCR2	autocrine|paracrine	0.851591160148686
HSPG2	CHRM3	autocrine|paracrine	0.850475947153262
FN1	ITGB1	autocrine|paracrine	0.847721256528854
UBC	LDLR	autocrine|paracrine	0.847701301465878
CXCL12	CXCR4	autocrine|paracrine	0.847058531854904
LGALS1	ITGB1	autocrine|paracrine	0.847056510715779
HSPG2	ITGB1	autocrine|paracrine	0.846675202413761
THBS1	ITGB1	autocrine|paracrine	0.845014476564014
PODXL	SELL	autocrine|paracrine	0.844674215258801
UBC	TGFBR2	autocrine|paracrine	0.84451214086778
TGM2	ITGB1	autocrine|paracrine	0.844045258523534
HLA-E	SLC16A4	autocrine|paracrine	0.843666439876338
IL7	IL2RG	autocrine|paracrine	0.843540292228944
LAMB2	ITGB1	autocrine|paracrine	0.843282154018763
RPS27A	LDLR	autocrine|paracrine	0.842497371941971
TGM2	TBXA2R	autocrine|paracrine	0.841183115169489
CD47	SIRPG	autocrine|paracrine	0.840780522839559
LAMB1	ITGB1	autocrine|paracrine	0.840432722567468
UBB	LDLR	autocrine|paracrine	0.839250290822749
RPS27A	TGFBR2	autocrine|paracrine	0.839219908298801
LYZ	ITGAL	autocrine|paracrine	0.838378418192776
PECAM1	CD38	autocrine|paracrine	0.838346971989319
LAMA4	ITGB1	autocrine|paracrine	0.837309994566338
HLA-A	APLP2	autocrine|paracrine	0.835983036266612
UBB	TGFBR2	autocrine|paracrine	0.835918418196463
ICAM1	ITGB2	autocrine|paracrine	0.834654071857431
HSPA8	LDLR	autocrine|paracrine	0.83266344742926
CCL5	CXCR3	autocrine|paracrine	0.832000091654929
CALM2	AQP6	autocrine|paracrine	0.830876039921917
GNAI2	CXCR3	autocrine|paracrine	0.82860644192625
ADAM15	ITGB1	autocrine|paracrine	0.826214287278305
GNAI2	TBXA2R	autocrine|paracrine	0.82617502120777
CALM1	AQP6	autocrine|paracrine	0.823252631157268
PSAP	GPR37L1	autocrine|paracrine	0.822524466775897
PVR	CD96	autocrine|paracrine	0.821917096666446
PVR	CD96	autocrine|paracrine	0.821917096666446
APP	NCSTN	autocrine|paracrine	0.821359925627461
MDK	ITGA4	autocrine|paracrine	0.82087176952756
CALM1	FAS	autocrine|paracrine	0.819122454722789
GNAI2	F2R	autocrine|paracrine	0.817010935923888
ICAM1	ITGAL	autocrine|paracrine	0.816600758554579
NID1	ITGB1	autocrine|paracrine	0.8160278712045
HLA-G	KLRD1	autocrine|paracrine	0.813764071097778
HBEGF	CD44	autocrine|paracrine	0.811014749885102
MDK	ITGB1	autocrine|paracrine	0.8103468026257
FN1	ITGB7	autocrine|paracrine	0.808971897125398
ICAM1	SPN	autocrine|paracrine	0.8083636171058
EFNA1	EPHA10	autocrine|paracrine	0.80487530387966
IL15	IL2RG	autocrine|paracrine	0.804209991747494
UBC	FGFR2	autocrine|paracrine	0.803003164703218
COL18A1	ITGB1	autocrine|paracrine	0.802454638104666
GNAS	ADCY7	autocrine|paracrine	0.801858794978853
TIMP3	ADAM17	autocrine|paracrine	0.801757399670899
UBA52	LDLR	autocrine|paracrine	0.798393947384564
CFH	SELL	autocrine|paracrine	0.798278316109748
HP	ITGB2	autocrine|paracrine	0.797024586232216
RPS27A	FGFR2	autocrine|paracrine	0.796638330320483
COL6A2	ITGB1	autocrine|paracrine	0.795819609782869
CALR	SCARF1	autocrine|paracrine	0.794478156783774
UBA52	TGFBR2	autocrine|paracrine	0.794422676615935
IL7	IL7R	autocrine|paracrine	0.793871869149024
VCAN	CD44	autocrine|paracrine	0.793478321812372
UBB	FGFR2	autocrine|paracrine	0.792678468841586
HBEGF	CD82	autocrine|paracrine	0.792514953401243
LAMC1	ITGB1	autocrine|paracrine	0.792378943058238
VCAM1	EZR	autocrine|paracrine	0.791778150127459
B2M	LILRB1	autocrine|paracrine	0.789907168296365
VCAM1	ITGB2	autocrine|paracrine	0.788996288631361
TFPI	F3	autocrine|paracrine	0.786858961997261
VCAM1	MSN	autocrine|paracrine	0.786479286740091
PLAT	ITGB2	autocrine|paracrine	0.786324245158267
TNFSF10	TNFRSF10B	autocrine|paracrine	0.784228312030125
PRND	RPSA	autocrine|paracrine	0.783969557204058
TIMP2	ITGB1	autocrine|paracrine	0.782631641498364
GAS6	AXL	autocrine|paracrine	0.77878179941217
UBC	RIPK1	autocrine|paracrine	0.777778289169155
HLA-B	LILRB1	autocrine|paracrine	0.777613796127376
LAMA5	ITGB1	autocrine|paracrine	0.777578086900261
JAM3	ITGB2	autocrine|paracrine	0.776268809666736
HLA-A	LILRB1	autocrine|paracrine	0.774141513318326
JAG1	CD46	autocrine|paracrine	0.773855330409211
PSEN1	CD44	autocrine|paracrine	0.772725838228815
