Endo	T_cell	interaction.type	LRscore
B2M	CD3D	paracrine	0.943491733950745
HLA-B	CD3D	paracrine	0.93949685934646
HLA-A	CD3D	paracrine	0.93835179340075
HLA-C	CD3D	paracrine	0.936433621910568
B2M	CD247	paracrine	0.917698385463894
CD59	CD2	specific	0.914782472289391
LGALS1	CD69	paracrine	0.894358892932922
CD58	CD2	paracrine	0.857411899174412
B2M	KLRC2	paracrine	0.840559190141562
CCL14	CCR5	specific	0.83986410319019
HLA-E	KLRC2	paracrine	0.822629925454234
PVR	TIGIT	specific	0.819652530575672
CCL5	CCR5	paracrine	0.808582410286736
GNAI2	CCR5	specific	0.804826684503494
B2M	KLRC1	paracrine	0.793990472634066
CCL2	CCR5	specific	0.775592546481584
HLA-E	KLRC1	paracrine	0.772243439500307
IL10	IL10RA	paracrine	0.748690934483629
CCL5	CCR4	paracrine	0.744384269251386
CCL16	CCR5	paracrine	0.709346822114066
CCL2	CCR4	specific	0.704375353610703
CCL14	CCR1	paracrine	0.695116244367476
PVR	CD226	specific	0.65271523325981
CXCL16	CXCR6	paracrine	0.652100509390014
CCL5	CCR1	paracrine	0.64742884973343
CALR	TSHR	paracrine	0.634995374554638
CD48	CD2	paracrine	0.634444803285859
CXCL12	CCR4	paracrine	0.631406906051316
CCL22	CCR4	paracrine	0.631361781414353
EFNA1	EPHB6	specific	0.623386274489666
CKLF	CCR4	paracrine	0.621772989002015
HLA-A	KIR3DL2	paracrine	0.612320239109148
GNAS	TSHR	paracrine	0.603679770153771
CCL2	CCR1	paracrine	0.600391146842317
FN1	TSHR	paracrine	0.593333192949033
HLA-G	KLRC1	paracrine	0.593272139246229
PTMA	VIPR1	paracrine	0.580936141033718
EFNA5	EPHB6	specific	0.566407771756137
GNAI2	TSHR	paracrine	0.560024925525336
HSP90B1	TLR9	paracrine	0.559425520177926
CALM1	HMMR	paracrine	0.558051412412166
CALM1	VIPR1	paracrine	0.532683517688566
HLA-F	KIR3DL2	paracrine	0.531004474388896
GNAS	VIPR1	paracrine	0.516545628860798
CCL16	CCR1	paracrine	0.51478196055769
EFNB2	EPHB6	specific	0.505834283698062
