Endo	malignant_cell	interaction.type	LRscore
TIMP1	CD63	autocrine|paracrine	0.932608899314735
VIM	CD44	autocrine|paracrine	0.93076782362068
HLA-B	CANX	autocrine|paracrine	0.92747077156006
B2M	HLA-F	autocrine|paracrine	0.920763962548795
LAMB2	RPSA	autocrine|paracrine	0.913115685431874
HLA-A	APLP2	autocrine|paracrine	0.909865800805097
APP	CAV1	autocrine|paracrine	0.907711444126654
FN1	CD44	autocrine|paracrine	0.89951196546586
CALR	HLA-F	autocrine|paracrine	0.896360176072308
APP	NCSTN	autocrine|paracrine	0.895851510733035
COL4A1	ITGB1	autocrine|paracrine	0.89295971252235
PKM	CD44	autocrine|paracrine	0.892214866371485
B2M	TFRC	autocrine|paracrine	0.884734272099201
FN1	ITGB1	autocrine|paracrine	0.882988281837079
LGALS1	ITGB1	autocrine|paracrine	0.882456141197402
HSPG2	ITGB1	autocrine|paracrine	0.882150809981032
THBS1	ITGB1	autocrine|paracrine	0.880820247455706
PSAP	SORT1	autocrine|paracrine	0.880723539817639
TGM2	ITGB1	autocrine|paracrine	0.88004315790273
HLA-E	SLC16A4	autocrine|paracrine	0.879753736603803
LAMB2	ITGB1	autocrine|paracrine	0.879431034003444
COL4A1	CD47	autocrine|paracrine	0.878550846513154
B2M	KLRD1	autocrine|paracrine	0.878285959399982
CYR61	CAV1	autocrine|paracrine	0.877455599644106
LAMB1	ITGB1	autocrine|paracrine	0.877143103671772
LAMA4	ITGB1	autocrine|paracrine	0.874631629214015
HLA-C	DDR1	autocrine|paracrine	0.873015997591217
GNAI2	CAV1	autocrine|paracrine	0.872973891495064
HLA-B	KLRD1	autocrine|paracrine	0.870314956538185
TFPI	SDC4	autocrine|paracrine	0.868560217446812
APP	CD74	autocrine|paracrine	0.865750459053144
ADAM15	ITGB1	autocrine|paracrine	0.865672965105778
THBS1	CD47	autocrine|paracrine	0.865024273528881
HLA-E	KLRD1	autocrine|paracrine	0.863912252115862
GNAI2	EDNRB	autocrine|paracrine	0.860392326143707
ARF1	CHRM3	autocrine|paracrine	0.859692472983805
NID1	ITGB1	autocrine|paracrine	0.857400225180576
CALR	ITGA3	autocrine|paracrine	0.856843832049154
DUSP18	RPSA	autocrine|paracrine	0.856626778467475
VWF	SIRPA	autocrine|paracrine	0.853732362995588
MDK	ITGB1	autocrine|paracrine	0.852766226487879
APP	TNFRSF21	autocrine|paracrine	0.851106501160962
NTS	SORT1	autocrine|paracrine	0.850321553027634
THBS1	SDC4	autocrine|paracrine	0.849461814586645
VWF	ITGB3	autocrine|paracrine	0.849182479117788
TGM2	SDC4	autocrine|paracrine	0.848515422636627
COL18A1	ITGB1	autocrine|paracrine	0.84630448536134
COL4A2	ITGB3	autocrine|paracrine	0.844998694006531
TIMP3	ADAM17	autocrine|paracrine	0.844228469914315
HSPG2	CHRM3	autocrine|paracrine	0.842976332903229
COL6A2	ITGB1	autocrine|paracrine	0.840850159115629
UBC	LDLR	autocrine|paracrine	0.840775271778466
CALM1	KCNN4	autocrine|paracrine	0.840566055673421
UBC	TGFBR1	autocrine|paracrine	0.838232342624723
LAMC1	ITGB1	autocrine|paracrine	0.838013853278635
CCL5	SDC4	autocrine|paracrine	0.837370346700629
HSP90AA1	ITGB3	autocrine|paracrine	0.836724662705793
RPS27A	LDLR	autocrine|paracrine	0.835380642770109
THBS1	SCARB1	autocrine|paracrine	0.834853616626157
FN1	ITGA3	autocrine|paracrine	0.833879266428601
ICAM1	CAV1	autocrine|paracrine	0.833570417194441
RPS27A	TGFBR1	autocrine|paracrine	0.832768694189647
UBB	LDLR	autocrine|paracrine	0.832016096823733
THBS1	ITGA3	autocrine|paracrine	0.830975500671304
FN1	ITGB3	autocrine|paracrine	0.830711471324077
HBEGF	CD44	autocrine|paracrine	0.830370820896378
TIMP2	ITGB1	autocrine|paracrine	0.82994921310893
UBB	TGFBR1	autocrine|paracrine	0.829361668772239
LAMB2	ITGA3	autocrine|paracrine	0.829117992591732
THBS1	ITGB3	autocrine|paracrine	0.827763770085004
COL4A1	ITGB8	autocrine|paracrine	0.827739730098149
TNFSF10	TNFRSF10B	autocrine|paracrine	0.827165887672212
TGM2	ITGB3	autocrine|paracrine	0.826708796247701
LAMB1	ITGA3	autocrine|paracrine	0.826064148105509
LAMA5	ITGB1	autocrine|paracrine	0.825750808628369
HSPA8	LDLR	autocrine|paracrine	0.825194568751126
HLA-A	ERBB2	autocrine|paracrine	0.824848429606144
MDK	SDC3	autocrine|paracrine	0.824394296595508
LAMA4	ITGA3	autocrine|paracrine	0.822719542070417
PRSS23	TMEM222	autocrine|paracrine	0.822104260365353
HSPG2	PTPRS	autocrine|paracrine	0.820313911497704
UBC	TGFBR2	autocrine|paracrine	0.819508859192394
JAG1	CD46	autocrine|paracrine	0.819264175981984
BGN	LY96	autocrine|paracrine	0.818021420106293
CYR61	ITGB3	autocrine|paracrine	0.816860357788838
APP	LRP1	autocrine|paracrine	0.816326760822655
MDK	SDC4	autocrine|paracrine	0.815571817402874
VCAN	CD44	autocrine|paracrine	0.814219055973286
RPS27A	TGFBR2	autocrine|paracrine	0.81355349038299
TNC	ITGB1	autocrine|paracrine	0.813340566278102
FN1	ITGB8	autocrine|paracrine	0.812965244455074
UBC	ERBB2	autocrine|paracrine	0.812923202505377
PSAP	LRP1	autocrine|paracrine	0.812821451926344
FN1	IL17RC	autocrine|paracrine	0.811139758957372
UBB	TGFBR2	autocrine|paracrine	0.809844380804484
COL4A2	ITGB5	autocrine|paracrine	0.809342608157497
CALR	LRP1	autocrine|paracrine	0.809321503223421
CALR	ITGAV	autocrine|paracrine	0.808905919376375
FN1	ITGA6	autocrine|paracrine	0.807368291276501
ADAM15	ITGB3	autocrine|paracrine	0.807348096056705
RPS27A	ERBB2	autocrine|paracrine	0.806801764919873
GNAI2	IGF1R	autocrine|paracrine	0.806435178369051
RELN	ITGB1	autocrine|paracrine	0.806207988444538
LAMB1	ITGA7	autocrine|paracrine	0.805842604459941
DUSP18	ITGB1	autocrine|paracrine	0.805701754270201
HBEGF	CD9	autocrine|paracrine	0.80514354747664
ADAM9	ITGB1	autocrine|paracrine	0.805076678275428
PTGS2	CAV1	autocrine|paracrine	0.805059717166304
THBS1	ITGA6	autocrine|paracrine	0.80410997867514
TFPI	LRP1	autocrine|paracrine	0.80325226908833
UBB	ERBB2	autocrine|paracrine	0.802990864572625
ADAM17	ITGB1	autocrine|paracrine	0.80244392891304
HSP90B1	LRP1	autocrine|paracrine	0.801763214630269
FBN1	ITGB1	autocrine|paracrine	0.800909026479026
GNAI2	F2R	autocrine|paracrine	0.800737334392123
NID1	ITGA3	autocrine|paracrine	0.799984715546183
SEMA3A	NRP2	autocrine|paracrine	0.79902540701027
CXCL12	ITGB1	autocrine|paracrine	0.798669671538764
