Macro	B_cell	interaction.type	LRscore
B2M	HLA-F	autocrine|paracrine	0.922686593353242
CALM2	SELL	autocrine|paracrine	0.913488896482598
LGALS1	PTPRC	autocrine|paracrine	0.91283496644998
LGALS1	CD69	autocrine|paracrine	0.911158996985504
B2M	KLRD1	autocrine|paracrine	0.910926160302664
HLA-B	KLRD1	autocrine|paracrine	0.903971497992065
VIM	CD44	autocrine|paracrine	0.90161867933703
CALM1	SELL	autocrine|paracrine	0.894418565143521
IL8	CD79A	autocrine|paracrine	0.892815897495987
CALR	HLA-F	autocrine|paracrine	0.892673483053961
HLA-E	KLRD1	autocrine|paracrine	0.891923038029618
B2M	LILRB1	autocrine|paracrine	0.889945333362549
APP	CD74	autocrine|paracrine	0.888373874526517
HLA-B	CANX	autocrine|paracrine	0.888018374539031
PKM	CD44	autocrine|paracrine	0.882087787522671
HLA-B	LILRB1	autocrine|paracrine	0.881565522900744
CD14	ITGB2	autocrine|paracrine	0.877649348532271
HLA-C	LILRB1	autocrine|paracrine	0.877606013856713
CD14	ITGA4	autocrine|paracrine	0.87653564884748
SPP1	CD44	autocrine|paracrine	0.876527440826226
HLA-A	LILRB1	autocrine|paracrine	0.875435228558217
FN1	CD79A	autocrine|paracrine	0.875028935547313
CXCL12	CXCR4	autocrine|paracrine	0.874258841349745
HLA-A	APLP2	autocrine|paracrine	0.870800613740211
LYZ	ITGAL	autocrine|paracrine	0.868508906324514
VCAN	SELL	autocrine|paracrine	0.868499557948
SELPLG	SELL	autocrine|paracrine	0.867425592034569
ICAM1	IL2RG	autocrine|paracrine	0.865138251753918
LILRB4	LAIR1	autocrine|paracrine	0.863643608946588
ARF1	CHRM3	autocrine|paracrine	0.860671594569232
CALM3	SELL	autocrine|paracrine	0.857974811750724
C3	CD19	autocrine|paracrine	0.856773202913612
B2M	CD3G	autocrine|paracrine	0.856002654337357
MRC1	PTPRC	autocrine|paracrine	0.855217231214896
CD14	ITGB1	autocrine|paracrine	0.854302180120122
B2M	TFRC	autocrine|paracrine	0.848590881244775
ALOX5AP	ALOX5	autocrine|paracrine	0.847259747253309
PSAP	GPR37L1	autocrine|paracrine	0.847258270650484
HLA-B	CD3G	autocrine|paracrine	0.845487089558337
SPP1	ITGA4	autocrine|paracrine	0.844299922959368
HLA-C	CD3G	autocrine|paracrine	0.840539581114768
VCAN	CD44	autocrine|paracrine	0.840218335598969
TNFSF13	TNFRSF14	autocrine|paracrine	0.840071575777647
UBC	TGFBR2	autocrine|paracrine	0.840051772709292
HLA-A	CD3G	autocrine|paracrine	0.837832862779302
LGALS1	ITGB1	autocrine|paracrine	0.837426703038438
ICAM1	SPN	autocrine|paracrine	0.837278506702758
HLA-E	SLC16A4	autocrine|paracrine	0.835899189457144
UBC	LDLR	autocrine|paracrine	0.835183957516103
IL18	CD48	autocrine|paracrine	0.834292475074609
RPS27A	TGFBR2	autocrine|paracrine	0.830192468710656
C1QA	CR1	autocrine|paracrine	0.829999406861118
SPP1	S1PR1	autocrine|paracrine	0.829248847088721
ICAM1	ITGB2	autocrine|paracrine	0.828965811012922
HBEGF	CD82	autocrine|paracrine	0.828085555733796
LY86	CD180	autocrine|paracrine	0.828075005877441
CALM2	AQP6	autocrine|paracrine	0.827398352296896
HLA-F	LILRB1	autocrine|paracrine	0.826847699251067
UBB	TGFBR2	autocrine|paracrine	0.825944146736055
RPS27A	LDLR	autocrine|paracrine	0.825087074999124
CD14	TLR6	autocrine|paracrine	0.823966962385676
FN1	CD44	autocrine|paracrine	0.822107583024323
UBB	LDLR	autocrine|paracrine	0.820738604183171
THBS1	CD47	autocrine|paracrine	0.818456265780937
HSPA8	LDLR	autocrine|paracrine	0.818316842094223
ST6GAL1	CD22	autocrine|paracrine	0.817826788295389
SPP1	ITGB1	autocrine|paracrine	0.817470277759635
HLA-G	KLRD1	autocrine|paracrine	0.814569499195235
HBEGF	CD44	autocrine|paracrine	0.814447234545438
DUSP18	RPSA	autocrine|paracrine	0.813583683656959
CD52	SIGLEC10	autocrine|paracrine	0.808730625247734
UBA52	TGFBR2	autocrine|paracrine	0.805790366916238
F13A1	ITGA4	autocrine|paracrine	0.80498751373428
CALM1	KCNN4	autocrine|paracrine	0.802746660481873
ICAM1	ITGAL	autocrine|paracrine	0.802534282354447
ARPC5	LDLR	autocrine|paracrine	0.802117263064488
GNAI2	TBXA2R	autocrine|paracrine	0.80189436332065
SELPLG	ITGB2	autocrine|paracrine	0.800822121187368
VCAN	ITGA4	autocrine|paracrine	0.800668963449371
UBA52	LDLR	autocrine|paracrine	0.80012793869152
UBC	FGFR2	autocrine|paracrine	0.799836760581996
LGALS9	HAVCR2	autocrine|paracrine	0.799834036903213
C3	IFITM1	autocrine|paracrine	0.799721520231987
LGALS3BP	ITGB1	autocrine|paracrine	0.795842881881731
PSEN1	CD44	autocrine|paracrine	0.79522932718394
CALM1	AQP6	autocrine|paracrine	0.793637552373886
TNFSF13	TNFRSF13B	autocrine|paracrine	0.79158601759954
HSP90B1	TLR7	autocrine|paracrine	0.79147865668788
TIMP1	CD63	autocrine|paracrine	0.788822929194339
CALR	SCARF1	autocrine|paracrine	0.788668838316792
RPS27A	FGFR2	autocrine|paracrine	0.788123796832144
APOE	LDLR	autocrine|paracrine	0.786170990067137
UBC	SMAD3	autocrine|paracrine	0.78526626520513
C3	ITGB2	autocrine|paracrine	0.783256671005012
UBB	FGFR2	autocrine|paracrine	0.783097963615069
ADAM28	ITGA4	autocrine|paracrine	0.782511766730284
TNFSF13B	TNFRSF13B	autocrine|paracrine	0.780934962633567
PSAP	CELSR1	autocrine|paracrine	0.780356297249136
GNAI2	S1PR1	autocrine|paracrine	0.780218423474335
FN1	ITGA4	autocrine|paracrine	0.77925315868364
B2M	LILRB2	autocrine|paracrine	0.77924590523064
UBC	ADRB2	autocrine|paracrine	0.777931800137863
HLA-G	LILRB1	autocrine|paracrine	0.776461997826689
ACTR2	LDLR	autocrine|paracrine	0.775867293995108
APOE	SORL1	autocrine|paracrine	0.775155040424581
THBS1	ITGA4	autocrine|paracrine	0.774805387344855
GPI	AMFR	autocrine|paracrine	0.774177143719279
F13A1	ITGB1	autocrine|paracrine	0.773203386002694
RPS27A	SMAD3	autocrine|paracrine	0.772942721015669
VCAN	ITGB1	autocrine|paracrine	0.768383495615388
UBB	SMAD3	autocrine|paracrine	0.767662941329563
PRND	RPSA	autocrine|paracrine	0.766254861381562
PLAU	ITGB2	autocrine|paracrine	0.765575253772397
RPS27A	ADRB2	autocrine|paracrine	0.765313130399755
HLA-B	LILRB2	autocrine|paracrine	0.764666099383087
SEMA4D	CD72	autocrine|paracrine	0.764322362543638
CALM2	GP6	autocrine|paracrine	0.761013479157578
IL15	IL2RG	autocrine|paracrine	0.759962983303851
UBB	ADRB2	autocrine|paracrine	0.75991104624194
UBA52	FGFR2	autocrine|paracrine	0.759428081906338
HSP90B1	TLR9	autocrine|paracrine	0.758038482333522
HLA-C	LILRB2	autocrine|paracrine	0.757871812980848
