Macro	CAF	interaction.type	LRscore
TIMP1	CD63	autocrine|paracrine	0.927582461329641
HLA-B	CANX	autocrine|paracrine	0.923499846528002
CD14	ITGB1	autocrine|paracrine	0.921535827977913
PSAP	LRP1	autocrine|paracrine	0.918725215276367
ITGB2	THY1	autocrine|paracrine	0.917256241794962
VIM	CD44	autocrine|paracrine	0.914217920788996
HLA-A	APLP2	autocrine|paracrine	0.912948305474588
LGALS1	ITGB1	autocrine|paracrine	0.911642280186008
C1QB	LRP1	autocrine|paracrine	0.904268538331637
B2M	HLA-F	autocrine|paracrine	0.90247970426481
SPP1	ITGB1	autocrine|paracrine	0.89970497796761
CALR	LRP1	autocrine|paracrine	0.897259761326915
PKM	CD44	autocrine|paracrine	0.896902250834354
B2M	KLRD1	autocrine|paracrine	0.894497827680328
SERPINA1	LRP1	autocrine|paracrine	0.893587213658355
SPP1	CD44	autocrine|paracrine	0.891954934702248
LGALS3BP	ITGB1	autocrine|paracrine	0.886468093224112
HLA-B	KLRD1	autocrine|paracrine	0.886420414708616
B2M	TFRC	autocrine|paracrine	0.8850202169965
HSP90B1	LRP1	autocrine|paracrine	0.884810373698493
APOE	LRP1	autocrine|paracrine	0.88113902540074
SERPING1	LRP1	autocrine|paracrine	0.879206237251131
HLA-E	KLRD1	autocrine|paracrine	0.872480503341203
F13A1	ITGB1	autocrine|paracrine	0.8722652600388
A2M	LRP1	autocrine|paracrine	0.870216286177682
VCAN	ITGB1	autocrine|paracrine	0.869194481082624
TNFSF13	TNFRSF1A	autocrine|paracrine	0.868786923225787
ICAM1	CAV1	autocrine|paracrine	0.868079820988816
SPP1	ITGA5	autocrine|paracrine	0.867533879023363
CALR	HLA-F	autocrine|paracrine	0.865763494748081
C3	IFITM1	autocrine|paracrine	0.865041913171158
UBC	TGFBR2	autocrine|paracrine	0.861334671723381
VCAN	CD44	autocrine|paracrine	0.859455105806335
CALM2	ABCA1	autocrine|paracrine	0.858229003762687
HLA-E	SLC16A4	autocrine|paracrine	0.857152001478265
UBC	LDLR	autocrine|paracrine	0.855900610717366
FN1	ITGB1	autocrine|paracrine	0.853796585014587
CALM2	EGFR	autocrine|paracrine	0.853313124186148
RPS27A	TGFBR2	autocrine|paracrine	0.852556999771785
CALM2	MYLK	autocrine|paracrine	0.852540932562172
TNFSF13	SDC2	autocrine|paracrine	0.850964545488136
THBS1	ITGB1	autocrine|paracrine	0.850562740066549
UBB	TGFBR2	autocrine|paracrine	0.848766276589351
ADAM9	ITGB1	autocrine|paracrine	0.848503648137715
RPS27A	LDLR	autocrine|paracrine	0.846840122419641
GNAI2	CAV1	autocrine|paracrine	0.844658327999344
LRPAP1	LRP1	autocrine|paracrine	0.843404666935829
FN1	CD44	autocrine|paracrine	0.843117659941724
UBB	LDLR	autocrine|paracrine	0.842929498441388
PLAU	ITGB1	autocrine|paracrine	0.842445349972972
CXCL12	ITGB1	autocrine|paracrine	0.841866570573157
ARF1	CHRM3	autocrine|paracrine	0.84133733328643
ADAM10	AXL	autocrine|paracrine	0.84112720316353
HSPA8	LDLR	autocrine|paracrine	0.840749358416942
