Macro	Endo	interaction.type	LRscore
B2M	HLA-F	autocrine|paracrine	0.933456115563884
HLA-A	APLP2	autocrine|paracrine	0.925710235200134
HLA-B	CANX	autocrine|paracrine	0.923433893848193
TIMP1	CD63	autocrine|paracrine	0.920935931357571
CD14	ITGB1	autocrine|paracrine	0.919308000815972
UBC	TGFBR2	autocrine|paracrine	0.91290133758341
LGALS1	ITGB1	autocrine|paracrine	0.909161236172081
CALR	HLA-F	autocrine|paracrine	0.907203273987142
RPS27A	TGFBR2	autocrine|paracrine	0.907035583550249
UBB	TGFBR2	autocrine|paracrine	0.904488579525967
SPP1	S1PR1	autocrine|paracrine	0.901725523497653
B2M	KLRD1	autocrine|paracrine	0.901657079539201
SPP1	ITGB1	autocrine|paracrine	0.896926638175294
SPP1	ITGA5	autocrine|paracrine	0.895932687906754
HLA-C	NOTCH4	autocrine|paracrine	0.894963148235665
HLA-B	KLRD1	autocrine|paracrine	0.894062874846619
C1QA	CD93	autocrine|paracrine	0.893997665586402
UBA52	TGFBR2	autocrine|paracrine	0.892242863255468
ITGB2	THY1	autocrine|paracrine	0.88650700908445
LGALS3BP	ITGB1	autocrine|paracrine	0.883370603080826
CALR	SCARF1	autocrine|paracrine	0.882655190271661
ICAM1	CAV1	autocrine|paracrine	0.882105119599082
HMGB1	THBD	autocrine|paracrine	0.88121023911897
HLA-E	KLRD1	autocrine|paracrine	0.880934951647577
TNFSF13	TNFRSF1A	autocrine|paracrine	0.873448276834559
TNFSF13	TNFRSF14	autocrine|paracrine	0.872331549168576
UBC	LDLR	autocrine|paracrine	0.870507823405184
GNAI2	S1PR1	autocrine|paracrine	0.870250167265584
ANXA1	DYSF	autocrine|paracrine	0.869529315628811
F13A1	ITGB1	autocrine|paracrine	0.868837608233751
ADM	RAMP2	autocrine|paracrine	0.868658692217621
VCAN	ITGB1	autocrine|paracrine	0.865697114977817
APP	CD74	autocrine|paracrine	0.864860813870698
CALM2	INSR	autocrine|paracrine	0.863981191382304
HBEGF	CD9	autocrine|paracrine	0.862806089287459
ARF1	CHRM3	autocrine|paracrine	0.86254671134628
RPS27A	LDLR	autocrine|paracrine	0.86221793620565
