Macro	Macro.1	interaction.type	LRscore
CD14	ITGB2	autocrine	0.930803224551448
B2M	HLA-F	autocrine	0.928876150609131
HLA-A	APLP2	autocrine	0.924405416450365
TIMP1	CD63	autocrine	0.92314108088799
B2M	LILRB2	autocrine	0.922250908225574
HLA-B	CANX	autocrine	0.922124632027933
B2M	LILRB1	autocrine	0.921836626275352
HLA-B	LILRB2	autocrine	0.91609901376704
HLA-B	LILRB1	autocrine	0.915654949690681
VIM	CD44	autocrine	0.913258867315657
HLA-C	LILRB2	autocrine	0.913180328840395
HLA-C	LILRB1	autocrine	0.912722288719372
HLA-A	LILRB2	autocrine	0.911576920158428
HLA-A	LILRB1	autocrine	0.911111244248257
LGALS1	PTPRC	autocrine	0.910413122464006
CALR	HLA-F	autocrine	0.901008042829147
ICAM1	ITGB2	autocrine	0.900881091403203
TYROBP	TREM1	autocrine	0.899774626766166
RPS19	C5AR1	autocrine	0.897582293759594
PSAP	LRP1	autocrine	0.89638707090483
PKM	CD44	autocrine	0.895771677164855
CD14	ITGB1	autocrine	0.894516277628193
LILRB4	LAIR1	autocrine	0.891412105632533
SPP1	CD44	autocrine	0.890776715358194
B2M	KLRD1	autocrine	0.890410831582031
APP	CD74	autocrine	0.888622454749963
CD14	TLR4	autocrine	0.887534334226796
UBC	TLR4	autocrine	0.887275596798354
ANXA1	FPR1	autocrine	0.885527687350822
CCL3	CCR1	autocrine	0.884279756921762
LYZ	ITGAL	autocrine	0.883775845204657
SELPLG	ITGB2	autocrine	0.882899431050714
HLA-B	KLRD1	autocrine	0.882061768047626
LGALS1	ITGB1	autocrine	0.881653359226309
SYK	FCGR2A	autocrine	0.881037244867666
CALM2	ABCA1	autocrine	0.880917188578845
RPS27A	TLR4	autocrine	0.879911071401166
HSP90B1	TLR2	autocrine	0.879299741523087
B2M	TFRC	autocrine	0.879157688281339
C1QB	LRP1	autocrine	0.87848256562479
UBB	TLR4	autocrine	0.876721923703267
LGALS9	HAVCR2	autocrine	0.876283305359548
CD99	PILRA	autocrine	0.876179567447123
HLA-F	LILRB2	autocrine	0.875075059600548
CD14	ITGA4	autocrine	0.874626180426833
HLA-F	LILRB1	autocrine	0.874443625989748
ANXA1	FPR3	autocrine	0.874118106107659
ICAM1	ITGAX	autocrine	0.874016850688435
C3	ITGB2	autocrine	0.871410075703825
ALOX5AP	ALOX5	autocrine	0.870728203555381
S100A9	TLR4	autocrine	0.869968288067136
CALR	LRP1	autocrine	0.869857624742682
TNFSF13	TNFRSF14	autocrine	0.86944519288226
CALM2	SELL	autocrine	0.868694625520796
HLA-E	KLRD1	autocrine	0.867666770959357
SPP1	ITGB1	autocrine	0.866258873078791
