Macro	NK	interaction.type	LRscore
B2M	CD247	autocrine|paracrine	0.941289436316672
B2M	KLRD1	autocrine|paracrine	0.940927272225222
B2M	HLA-F	autocrine|paracrine	0.938170040251122
HLA-B	KLRD1	autocrine|paracrine	0.936150835916992
HLA-E	KLRD1	autocrine|paracrine	0.927817445042477
CD14	ITGB2	autocrine|paracrine	0.926080719572115
LYZ	ITGAL	autocrine|paracrine	0.923641214063615
LGALS1	PTPRC	autocrine|paracrine	0.922767215073315
LGALS1	CD69	autocrine|paracrine	0.918638258632459
CALR	HLA-F	autocrine|paracrine	0.913604806575555
HLA-B	CANX	autocrine|paracrine	0.911485235135703
VIM	CD44	autocrine|paracrine	0.905713451862998
TIMP1	CD63	autocrine|paracrine	0.904004014417891
CD14	ITGB1	autocrine|paracrine	0.901657492608246
B2M	KLRC2	autocrine|paracrine	0.899370787860176
ICAM1	ITGB2	autocrine|paracrine	0.894348268175312
ICAM1	IL2RG	autocrine|paracrine	0.892944349193467
LGALS1	ITGB1	autocrine|paracrine	0.889557873857294
PKM	CD44	autocrine|paracrine	0.886893486551359
C3	IFITM1	autocrine|paracrine	0.885583342436664
CD14	ITGA4	autocrine|paracrine	0.88294594459251
ICAM1	ITGAL	autocrine|paracrine	0.881556335521149
SPP1	CD44	autocrine|paracrine	0.881529323813545
UBC	ADRB2	autocrine|paracrine	0.880279365792041
HLA-E	KLRC2	autocrine|paracrine	0.878231968787572
SELPLG	ITGB2	autocrine|paracrine	0.875345444519934
SPP1	ITGB1	autocrine|paracrine	0.875045877925974
LGALS9	HAVCR2	autocrine|paracrine	0.87312181163577
RPS27A	ADRB2	autocrine|paracrine	0.872523431079993
HLA-G	KLRD1	autocrine|paracrine	0.872481492778293
MRC1	PTPRC	autocrine|paracrine	0.870785531749238
UBB	ADRB2	autocrine|paracrine	0.869167264389211
HSPA8	ADRB2	autocrine|paracrine	0.867293970302387
LILRB4	LAIR1	autocrine|paracrine	0.864112266704765
C3	ITGB2	autocrine|paracrine	0.863229741243565
ICAM1	SPN	autocrine|paracrine	0.86256893833127
CALM2	SELL	autocrine|paracrine	0.862482078063567
ARF1	CHRM3	autocrine|paracrine	0.861428177869452
CXCL12	CXCR4	autocrine|paracrine	0.860123644968642
LGALS3BP	ITGB1	autocrine|paracrine	0.859064303506613
B2M	CD3G	autocrine|paracrine	0.856579018830468
UBC	TGFBR1	autocrine|paracrine	0.85637423789808
APOE	SORL1	autocrine|paracrine	0.855021000179466
ARPC5	ADRB2	autocrine|paracrine	0.854685906597008
CD48	CD2	autocrine|paracrine	0.853347557153929
UBA52	ADRB2	autocrine|paracrine	0.853128290809182
SPP1	ITGA4	autocrine|paracrine	0.852101502316605
PLAU	ITGB2	autocrine|paracrine	0.850829851225476
RPS27A	TGFBR1	autocrine|paracrine	0.847338218001232
APP	CD74	autocrine|paracrine	0.847191470895198
ICAM1	ITGAX	autocrine|paracrine	0.84706070122164
UBC	LDLR	autocrine|paracrine	0.846769597314733
PSAP	GPR37L1	autocrine|paracrine	0.846646316656903
VCAN	CD44	autocrine|paracrine	0.846433405971476
HLA-B	CD3G	autocrine|paracrine	0.846097976340653
B2M	LILRB1	autocrine|paracrine	0.845795333213535
CLEC2B	KLRF1	autocrine|paracrine	0.845364763988619
