Macro	T_cell	interaction.type	LRscore
B2M	CD3D	autocrine|paracrine	0.945061545085851
HLA-B	CD3D	autocrine|paracrine	0.940598289452454
HLA-C	CD3D	autocrine|paracrine	0.938474628952698
HLA-A	CD3D	autocrine|paracrine	0.937306290833112
B2M	HLA-F	autocrine|paracrine	0.934889166536718
B2M	CD3G	autocrine|paracrine	0.932457986837111
HLA-B	CD3G	autocrine|paracrine	0.927049843147796
HLA-C	CD3G	autocrine|paracrine	0.924480703670766
HLA-A	CD3G	autocrine|paracrine	0.92306841135191
B2M	KLRD1	autocrine|paracrine	0.922451564005536
LGALS1	PTPRC	autocrine|paracrine	0.921809663429481
B2M	CD247	autocrine|paracrine	0.91992392647596
HLA-B	KLRD1	autocrine|paracrine	0.916314105746445
CD14	ITGB2	autocrine|paracrine	0.914622821723027
VIM	CD44	autocrine|paracrine	0.912592301383751
LYZ	ITGAL	autocrine|paracrine	0.912098316167236
LGALS1	CD69	autocrine|paracrine	0.909803989874252
CALR	HLA-F	autocrine|paracrine	0.909146663996517
HLA-E	KLRD1	autocrine|paracrine	0.9056526155979
CD48	CD2	autocrine|paracrine	0.900151485873644
HLA-B	CANX	autocrine|paracrine	0.898711403208621
PKM	CD44	autocrine|paracrine	0.8949861823849
ICAM1	IL2RG	autocrine|paracrine	0.894249516842215
SPP1	CD44	autocrine|paracrine	0.889958201445122
CD14	ITGA4	autocrine|paracrine	0.889577093069385
CALM2	SELL	autocrine|paracrine	0.883874472186868
CD14	ITGB1	autocrine|paracrine	0.882511230327194
ICAM1	ITGB2	autocrine|paracrine	0.878616371213217
C3	IFITM1	autocrine|paracrine	0.876628680632314
CD58	CD2	autocrine|paracrine	0.874221795983808
B2M	TFRC	autocrine|paracrine	0.869676096554808
MRC1	PTPRC	autocrine|paracrine	0.869274799540226
TIMP1	CD63	autocrine|paracrine	0.868612825866974
LGALS1	ITGB1	autocrine|paracrine	0.868399760484828
LGALS9	HAVCR2	autocrine|paracrine	0.866874702907698
CXCL12	CXCR4	autocrine|paracrine	0.86566069502474
ICAM1	ITGAL	autocrine|paracrine	0.864584321707065
ARF1	CHRM3	autocrine|paracrine	0.861856372258136
SPP1	ITGA4	autocrine|paracrine	0.860203340855469
APP	CD74	autocrine|paracrine	0.859795750123073
CALM1	SELL	autocrine|paracrine	0.85928162519473
ICAM1	SPN	autocrine|paracrine	0.858127880627172
SELPLG	ITGB2	autocrine|paracrine	0.857235648478689
VCAN	CD44	autocrine|paracrine	0.856954080250852
LILRB4	LAIR1	autocrine|paracrine	0.85431784979904
SPP1	ITGB1	autocrine|paracrine	0.851571494756191
TNFSF13	TNFRSF14	autocrine|paracrine	0.851094433378338
PSAP	GPR37L1	autocrine|paracrine	0.849773374728063
UBC	LDLR	autocrine|paracrine	0.847527295478606
B2M	KLRC2	autocrine|paracrine	0.844517259072839
UBC	TGFBR2	autocrine|paracrine	0.8443351602672
CXCL16	CXCR6	autocrine|paracrine	0.843863169619212
C3	ITGB2	autocrine|paracrine	0.843674121746155
FN1	CD44	autocrine|paracrine	0.840379900904918
RPS27A	LDLR	autocrine|paracrine	0.83803994680759
IL18	CD48	autocrine|paracrine	0.837156915755869
HLA-G	KLRD1	autocrine|paracrine	0.836322406272674
CD59	CD2	autocrine|paracrine	0.836313081552476
CALM2	AQP6	autocrine|paracrine	0.836177187986931
HLA-E	SLC16A4	autocrine|paracrine	0.836069303515981
RPS27A	TGFBR2	autocrine|paracrine	0.83468792879464
CCL3	CCR5	autocrine|paracrine	0.834404804181912
UBB	LDLR	autocrine|paracrine	0.833948687219622
HLA-A	APLP2	autocrine|paracrine	0.833509476350531
HBEGF	CD44	autocrine|paracrine	0.833346886110935
LGALS3BP	ITGB1	autocrine|paracrine	0.833160000942091
CCL5	CXCR3	autocrine|paracrine	0.83313720293439
CD47	SIRPG	autocrine|paracrine	0.832475069522916
HSPA8	LDLR	autocrine|paracrine	0.831668786537057
UBB	TGFBR2	autocrine|paracrine	0.830529117391136
PLAU	ITGB2	autocrine|paracrine	0.829850739775571
VCAN	SELL	autocrine|paracrine	0.826410990078315
SELPLG	SELL	autocrine|paracrine	0.825062523644021
F13A1	ITGA4	autocrine|paracrine	0.824069643918237
IL10	SIRPG	autocrine|paracrine	0.822795126572434
VCAN	ITGA4	autocrine|paracrine	0.820079218887691
CD86	CTLA4	autocrine|paracrine	0.816984118345969
HBEGF	CD82	autocrine|paracrine	0.81653866460943
