Macro	malignant_cell	interaction.type	LRscore
TIMP1	CD63	autocrine|paracrine	0.929599615272031
HLA-B	CANX	autocrine|paracrine	0.928774533190415
B2M	HLA-F	autocrine|paracrine	0.922913569769869
VIM	CD44	autocrine|paracrine	0.922538367458014
CD14	ITGB1	autocrine|paracrine	0.910571044909799
HLA-A	APLP2	autocrine|paracrine	0.908384366556555
PKM	CD44	autocrine|paracrine	0.906730886326398
SPP1	CD44	autocrine|paracrine	0.902203786601851
PSAP	SORT1	autocrine|paracrine	0.900121833525286
LGALS1	ITGB1	autocrine|paracrine	0.899445805685557
C1QA	CSPG4	autocrine|paracrine	0.893019946028793
CALR	HLA-F	autocrine|paracrine	0.892978351768703
B2M	TFRC	autocrine|paracrine	0.887742165060497
SPP1	ITGB1	autocrine|paracrine	0.886066666998961
B2M	KLRD1	autocrine|paracrine	0.881439573562173
ICAM1	CAV1	autocrine|paracrine	0.877778648605938
HLA-C	DDR1	autocrine|paracrine	0.876825398076201
HLA-E	SLC16A4	autocrine|paracrine	0.87364764485961
HLA-B	KLRD1	autocrine|paracrine	0.872504898500311
VCAN	CD44	autocrine|paracrine	0.87234559143812
LGALS3BP	ITGB1	autocrine|paracrine	0.871287311604488
TNFSF13	TNFRSF14	autocrine|paracrine	0.870138499209961
FN1	CD44	autocrine|paracrine	0.857257714868736
HLA-E	KLRD1	autocrine|paracrine	0.857132366807684
GNAI2	CAV1	autocrine|paracrine	0.855793059033723
F13A1	ITGB1	autocrine|paracrine	0.855494942493526
ARF1	CHRM3	autocrine|paracrine	0.854830129326499
CALR	ITGA3	autocrine|paracrine	0.8523849163223
VCAN	ITGB1	autocrine|paracrine	0.852089365059343
HBEGF	CD44	autocrine|paracrine	0.850836357762224
HSP90AA1	ITGB3	autocrine|paracrine	0.842521553484901
GNAI2	EDNRB	autocrine|paracrine	0.841818130507332
PSAP	LRP1	autocrine|paracrine	0.841272634928887
UBC	LDLR	autocrine|paracrine	0.840594840618071
CCL5	SDC4	autocrine|paracrine	0.838478165903609
UBC	TGFBR1	autocrine|paracrine	0.838049584910563
FN1	ITGB1	autocrine|paracrine	0.835060018082106
SPP1	ITGB3	autocrine|paracrine	0.834908030681895
PSEN1	CD44	autocrine|paracrine	0.834622024450188
APOE	SCARB1	autocrine|paracrine	0.834438585771682
THBS1	ITGB1	autocrine|paracrine	0.83149353521712
TNFSF13	TNFRSF1A	autocrine|paracrine	0.830897051551313
RPS27A	LDLR	autocrine|paracrine	0.830762267733431
IL8	SDC3	autocrine|paracrine	0.829985373654496
C3	CD46	autocrine|paracrine	0.829496572110445
ADAM9	ITGB1	autocrine|paracrine	0.829224444860237
RPS27A	TGFBR1	autocrine|paracrine	0.828092120677282
HBEGF	CD9	autocrine|paracrine	0.828022355582147
UBB	LDLR	autocrine|paracrine	0.826525222460793
HSPA8	LDLR	autocrine|paracrine	0.824164887385764
UBB	TGFBR1	autocrine|paracrine	0.823802403759164
APP	CAV1	autocrine|paracrine	0.823524779689523
PLAU	ITGB1	autocrine|paracrine	0.822556405939363
CALM1	KCNN4	autocrine|paracrine	0.822540033998702
HLA-A	ERBB2	autocrine|paracrine	0.822242653113005
CXCL12	ITGB1	autocrine|paracrine	0.821920008456236
UBC	TGFBR2	autocrine|paracrine	0.819309508296952
ADAM17	ITGB1	autocrine|paracrine	0.818653496152483
AREG	ERBB3	autocrine|paracrine	0.816641476806657
C1QB	LRP1	autocrine|paracrine	0.815801315879975
SYK	FCGR2A	autocrine|paracrine	0.815461298326261
GSTP1	TRAF2	autocrine|paracrine	0.814305156101259
TGM2	ITGB1	autocrine|paracrine	0.812892189927233
UBC	ERBB2	autocrine|paracrine	0.812718240085709
PSAP	GPR37	autocrine|paracrine	0.811125395119505
LRPAP1	SORT1	autocrine|paracrine	0.811105527596101
C3	IFITM1	autocrine|paracrine	0.811070091844506
THBS1	CD47	autocrine|paracrine	0.810565882413129
RPS27A	TGFBR2	autocrine|paracrine	0.808463159372439
ARPC5	LDLR	autocrine|paracrine	0.808364632117352
UBA52	LDLR	autocrine|paracrine	0.806422955920376
DUSP18	RPSA	autocrine|paracrine	0.806136073355922
IL1B	IL1RAP	autocrine|paracrine	0.804758646523005
UBB	TGFBR2	autocrine|paracrine	0.803799681234648
CALR	LRP1	autocrine|paracrine	0.803721468339488
UBA52	TGFBR1	autocrine|paracrine	0.803459644784061
CALR	ITGAV	autocrine|paracrine	0.803296645673608
APP	NCSTN	autocrine|paracrine	0.803191784416824
B2M	CD3G	autocrine|paracrine	0.802994607337938
CALM2	INSR	autocrine|paracrine	0.801737305505039
RPS27A	ERBB2	autocrine|paracrine	0.801572059129321
TIMP2	ITGB1	autocrine|paracrine	0.800450845895309
HGF	CD44	autocrine|paracrine	0.799207972570062
PSAP	CELSR1	autocrine|paracrine	0.798459121174554
SPP1	ITGB5	autocrine|paracrine	0.797487023042235
SERPINA1	LRP1	autocrine|paracrine	0.79746006515671
CALM2	ABCA1	autocrine|paracrine	0.796915031106778
UBB	ERBB2	autocrine|paracrine	0.796782972794603
EREG	ERBB3	autocrine|paracrine	0.795925779508419
PSEN1	NCSTN	autocrine|paracrine	0.795254424673365
UBA52	BMPR1B	autocrine|paracrine	0.79310730218198
APOE	LDLR	autocrine|paracrine	0.792791747786881
CD14	RIPK1	autocrine|paracrine	0.790936121718193
PTGS2	CAV1	autocrine|paracrine	0.790806188158358
UBC	RIPK1	autocrine|paracrine	0.79050760692633
THBS1	SDC4	autocrine|paracrine	0.790247003554336
HLA-B	CD3G	autocrine|paracrine	0.78955971373928
CXCL10	SDC4	autocrine|paracrine	0.787425875381291
SEMA4A	PLXNB2	autocrine|paracrine	0.785767106584215
ADAM15	ITGB1	autocrine|paracrine	0.785497545419542
SPP1	ITGAV	autocrine|paracrine	0.785348510238833
B2M	KLRC2	autocrine|paracrine	0.784863708560044
