NK	CAF	interaction.type	LRscore
HLA-B	CANX	autocrine|paracrine	0.923846815842844
HLA-A	APLP2	autocrine|paracrine	0.913459931256654
GZMB	PGRMC1	autocrine|paracrine	0.904486386009064
B2M	HLA-F	autocrine|paracrine	0.902992929506331
VIM	CD44	autocrine|paracrine	0.899886471212132
B2M	KLRD1	autocrine|paracrine	0.895048174500425
HLA-B	KLRD1	autocrine|paracrine	0.886914965678132
CALR	LRP1	autocrine|paracrine	0.886551442547863
B2M	TFRC	autocrine|paracrine	0.88561368109294
PSAP	LRP1	autocrine|paracrine	0.88024484275868
HSP90B1	LRP1	autocrine|paracrine	0.876959579291706
HLA-E	KLRD1	autocrine|paracrine	0.876464136116194
CCL5	SDC4	autocrine|paracrine	0.874496549295228
LGALS1	ITGB1	autocrine|paracrine	0.863561401055779
RPS27A	TGFBR2	autocrine|paracrine	0.862635534580873
HLA-E	SLC16A4	autocrine|paracrine	0.861538494103842
CALM1	FAS	autocrine|paracrine	0.860975605985941
GZMB	CHRM3	autocrine|paracrine	0.859147925816651
CALM1	ABCA1	autocrine|paracrine	0.858155316393547
RPS27A	LDLR	autocrine|paracrine	0.857244003100085
UBB	TGFBR2	autocrine|paracrine	0.855266384599461
PKM	CD44	autocrine|paracrine	0.853877209043428
CALM1	EGFR	autocrine|paracrine	0.853237318660456
CALR	HLA-F	autocrine|paracrine	0.852312747825127
UBB	LDLR	autocrine|paracrine	0.849636031628279
UBC	TGFBR2	autocrine|paracrine	0.849563381198646
TIMP1	CD63	autocrine|paracrine	0.847295453250698
UBC	LDLR	autocrine|paracrine	0.843751703575384
CALM2	ABCA1	autocrine|paracrine	0.843677012418971
ARF1	CHRM3	autocrine|paracrine	0.842735902447903
FASLG	TNFRSF1A	autocrine|paracrine	0.841697148387208
CALM2	EGFR	autocrine|paracrine	0.838351585178743
HSPA8	LDLR	autocrine|paracrine	0.836004887146526
LRPAP1	LRP1	autocrine|paracrine	0.831462705344782
RPS27A	TGFBR1	autocrine|paracrine	0.831355364278888
HLA-A	ERBB2	autocrine|paracrine	0.830657084538524
UBA52	EGFR	autocrine|paracrine	0.830431295101664
RPS27A	SMAD3	autocrine|paracrine	0.83022070175971
UBA52	TGFBR2	autocrine|paracrine	0.82586023148075
CALM1	INSR	autocrine|paracrine	0.824953048533693
UBB	TGFBR1	autocrine|paracrine	0.822653127869625
RPS27A	ERBB2	autocrine|paracrine	0.822141657605876
UBB	SMAD3	autocrine|paracrine	0.821472488731897
NCAM1	FGFR1	autocrine|paracrine	0.819941159518295
CALR	ITGAV	autocrine|paracrine	0.819925678069001
UBA52	LDLR	autocrine|paracrine	0.819327589888687
B2M	CD3G	autocrine|paracrine	0.818813404172945
UBC	TGFBR1	autocrine|paracrine	0.815941605423992
HSP90AA1	EGFR	autocrine|paracrine	0.814846952128936
UBC	SMAD3	autocrine|paracrine	0.814726348761504
ADAM10	AXL	autocrine|paracrine	0.814492411199927
UBB	ERBB2	autocrine|paracrine	0.813070885765876
GNAI2	CAV1	autocrine|paracrine	0.812885925058904
UBA52	ACVR1	autocrine|paracrine	0.810462959667929
ARF1	INSR	autocrine|paracrine	0.809456247035224
CALM2	INSR	autocrine|paracrine	0.807844593757905
SEMA4D	PLXNB2	autocrine|paracrine	0.807582454327179
CALM1	PTPRA	autocrine|paracrine	0.807439695590134
ANXA1	EGFR	autocrine|paracrine	0.807002421354065
GZMB	IGF2R	autocrine|paracrine	0.80657146043746
UBC	ERBB2	autocrine|paracrine	0.806082212752715
HLA-B	CD3G	autocrine|paracrine	0.806052561023659
ACTR2	LDLR	autocrine|paracrine	0.805629614763356
PDAP1	PDGFRB	autocrine|paracrine	0.803890365303694
TNFSF14	LTBR	autocrine|paracrine	0.803784862226196
HLA-C	CD3G	autocrine|paracrine	0.801056648398751
ADAM17	ITGB1	autocrine|paracrine	0.798936615056106
ARPC5	LDLR	autocrine|paracrine	0.79731850264036
HLA-A	CD3G	autocrine|paracrine	0.797162114884998
HLA-G	KLRD1	autocrine|paracrine	0.796823439904342
ARF1	PLD2	autocrine|paracrine	0.79458584660152
RPS27A	RIPK1	autocrine|paracrine	0.793062939034087
FASLG	FAS	autocrine|paracrine	0.791910947251632
ICAM1	CAV1	autocrine|paracrine	0.788335744837946
UBA52	TGFBR1	autocrine|paracrine	0.788261244616207
GNAI2	F2R	autocrine|paracrine	0.78790184049164
