NK	Endo	interaction.type	LRscore
B2M	HLA-F	autocrine|paracrine	0.933818274466742
HLA-A	APLP2	autocrine|paracrine	0.926152922818511
HLA-B	CANX	autocrine|paracrine	0.923781137605834
RPS27A	TGFBR2	autocrine|paracrine	0.913766869682968
UBB	TGFBR2	autocrine|paracrine	0.908850909122773
UBC	TGFBR2	autocrine|paracrine	0.905024853475585
B2M	KLRD1	autocrine|paracrine	0.902174164772833
CALR	HLA-F	autocrine|paracrine	0.89741284513286
HLA-B	KLRD1	autocrine|paracrine	0.894528108337353
UBA52	TGFBR2	autocrine|paracrine	0.888917748386855
GZMB	PGRMC1	autocrine|paracrine	0.887048585429451
HLA-E	KLRD1	autocrine|paracrine	0.884689378634882
GZMB	CHRM3	autocrine|paracrine	0.878320788831894
RPS27A	LDLR	autocrine|paracrine	0.871735445005369
CALR	SCARF1	autocrine|paracrine	0.870644130125893
UBB	LDLR	autocrine|paracrine	0.864777950708149
CALM1	INSR	autocrine|paracrine	0.863910019698569
ARF1	CHRM3	autocrine|paracrine	0.863788593259072
LGALS1	ITGB1	autocrine|paracrine	0.859937692222446
UBC	LDLR	autocrine|paracrine	0.859388117905559
RPS27A	TLR4	autocrine|paracrine	0.855103696175943
HSPA8	LDLR	autocrine|paracrine	0.85228083014984
CALM1	ABCA1	autocrine|paracrine	0.851861030392329
ARF1	INSR	autocrine|paracrine	0.85124014305454
UBA52	NOTCH1	autocrine|paracrine	0.851070587866341
CALM2	INSR	autocrine|paracrine	0.849916377647054
UBB	TLR4	autocrine|paracrine	0.847401964814764
FASLG	TNFRSF1A	autocrine|paracrine	0.847151555987257
GNAI2	S1PR1	autocrine|paracrine	0.8427375667015
UBC	TLR4	autocrine|paracrine	0.841446524209932
UBA52	LDLR	autocrine|paracrine	0.836935854065878
CALM2	ABCA1	autocrine|paracrine	0.836862393772461
TIMP1	CD63	autocrine|paracrine	0.834594126690072
CCL5	SDC4	autocrine|paracrine	0.831818010327296
GNAI2	CAV1	autocrine|paracrine	0.831641180565929
ARF1	PLD2	autocrine|paracrine	0.829068568199396
CALM1	PTPRA	autocrine|paracrine	0.827019923717683
RPS27A	RIPK1	autocrine|paracrine	0.825766875457602
ACTR2	LDLR	autocrine|paracrine	0.824286573690704
HLA-E	SLC16A4	autocrine|paracrine	0.824147873996849
UBB	RIPK1	autocrine|paracrine	0.816839799960031
UBA52	TLR4	autocrine|paracrine	0.816740337747998
ARPC5	LDLR	autocrine|paracrine	0.81659160141172
CALR	ITGAV	autocrine|paracrine	0.81633236631006
HMGB1	TLR4	autocrine|paracrine	0.813520088431181
B2M	CD3G	autocrine|paracrine	0.812746774849224
TNFSF14	TNFRSF14	autocrine|paracrine	0.810193635672953
UBC	RIPK1	autocrine|paracrine	0.809959099796153
HLA-G	KLRD1	autocrine|paracrine	0.809196943210291
ICAM1	CAV1	autocrine|paracrine	0.808973495324137
BMP7	ENG	autocrine|paracrine	0.808419808225141
