NK	Macro	interaction.type	LRscore
B2M	HLA-F	autocrine|paracrine	0.929261346614517
HLA-A	APLP2	autocrine|paracrine	0.924855248230344
B2M	LILRB2	autocrine|paracrine	0.922668998342406
HLA-B	CANX	autocrine|paracrine	0.922477315089904
B2M	LILRB1	autocrine|paracrine	0.922256756368348
HLA-B	LILRB2	autocrine|paracrine	0.916476513980616
HLA-B	LILRB1	autocrine|paracrine	0.916034264777309
HLA-C	LILRB2	autocrine|paracrine	0.914021620589046
HLA-C	LILRB1	autocrine|paracrine	0.913567598825606
HLA-A	LILRB2	autocrine|paracrine	0.912095829869124
HLA-A	LILRB1	autocrine|paracrine	0.911632621855824
CCL5	CCR1	autocrine|paracrine	0.910094543860924
SELPLG	ITGB2	autocrine|paracrine	0.909075505664726
CCL4	CCR1	autocrine|paracrine	0.90565677789436
RPS19	C5AR1	autocrine|paracrine	0.899767958352376
VIM	CD44	autocrine|paracrine	0.898784929600556
SPON2	ITGB2	autocrine|paracrine	0.891444611104048
B2M	KLRD1	autocrine|paracrine	0.890979899610075
CALR	HLA-F	autocrine|paracrine	0.890642781797225
HLA-F	LILRB2	autocrine|paracrine	0.890571016709532
HLA-F	LILRB1	autocrine|paracrine	0.890008062549003
ICAM3	ITGB2	autocrine|paracrine	0.889093142982403
RPS27A	TLR4	autocrine|paracrine	0.888364640968557
CD99	PILRA	autocrine|paracrine	0.887865876201339
HLA-B	KLRD1	autocrine|paracrine	0.882572783389961
UBB	TLR4	autocrine|paracrine	0.882187263364561
CCL3	CCR1	autocrine|paracrine	0.881508574981069
CALM1	ABCA1	autocrine|paracrine	0.88085365656769
B2M	TFRC	autocrine|paracrine	0.879777301145458
UBC	TLR4	autocrine|paracrine	0.877392967535437
HLA-E	KLRD1	autocrine|paracrine	0.871778682012389
CALM1	SELL	autocrine|paracrine	0.868625545117794
CALM2	ABCA1	autocrine|paracrine	0.86833674144017
CCL5	CCR5	autocrine|paracrine	0.866750230102708
ANXA1	FPR1	autocrine|paracrine	0.861802396337616
LGALS1	PTPRC	autocrine|paracrine	0.861764804308019
CCL4	CCR5	autocrine|paracrine	0.860500913775423
ICAM2	ITGB2	autocrine|paracrine	0.859946426844921
UBA52	TLR4	autocrine|paracrine	0.857338386532728
CALR	LRP1	autocrine|paracrine	0.85674923830078
CALM2	SELL	autocrine|paracrine	0.855035420332206
HMGB1	TLR4	autocrine|paracrine	0.854704618539406
PKM	CD44	autocrine|paracrine	0.852352490965337
SELPLG	ITGAM	autocrine|paracrine	0.851211075615841
PSAP	LRP1	autocrine|paracrine	0.849067982837602
HSP90B1	TLR4	autocrine|paracrine	0.845935580167047
HLA-G	LILRB2	autocrine|paracrine	0.845842359674318
GZMB	CHRM3	autocrine|paracrine	0.8455164070366
HLA-G	LILRB1	autocrine|paracrine	0.84508932599851
HSP90B1	LRP1	autocrine|paracrine	0.845077967565556
SELPLG	SELL	autocrine|paracrine	0.844627956901588
TIMP1	CD63	autocrine|paracrine	0.838785852144768
RPS27A	TGFBR1	autocrine|paracrine	0.838426697142441
SYK	FCGR2A	autocrine|paracrine	0.837951144970263
ICAM1	ITGB2	autocrine|paracrine	0.837247511437006
RPS27A	LDLR	autocrine|paracrine	0.836743421065826
RPS27A	TGFBR2	autocrine|paracrine	0.833340232045979
HSP90B1	TLR1	autocrine|paracrine	0.833211991185572
CCL5	SDC4	autocrine|paracrine	0.832167294809867
CD52	SIGLEC10	autocrine|paracrine	0.831956332783778
UBB	TGFBR1	autocrine|paracrine	0.830014740979993
UBB	LDLR	autocrine|paracrine	0.828261779695626
ARF1	CHRM3	autocrine|paracrine	0.827834334008167
CCL3	CCR5	autocrine|paracrine	0.827002387835037
UBB	TGFBR2	autocrine|paracrine	0.824718822583236
SPON2	ITGAM	autocrine|paracrine	0.824525666032186
UBC	TGFBR1	autocrine|paracrine	0.82352204710262
FASLG	TNFRSF1A	autocrine|paracrine	0.82230060932881
UBC	LDLR	autocrine|paracrine	0.821716512095311
B2M	CD3G	autocrine|paracrine	0.821424807763599
LYZ	ITGAL	autocrine|paracrine	0.821352437159405
LGALS1	ITGB1	autocrine|paracrine	0.820467377749259
UBC	TGFBR2	autocrine|paracrine	0.818068185945028
HSPA8	LDLR	autocrine|paracrine	0.813119164677487
GNAI2	FPR1	autocrine|paracrine	0.81054672354511
HLA-B	CD3G	autocrine|paracrine	0.808804938277839
IL10	IL10RA	autocrine|paracrine	0.807661168794732
SEMA4D	CD72	autocrine|paracrine	0.80693123857003
TNFSF14	TNFRSF14	autocrine|paracrine	0.80621452947129
GNAI2	C5AR1	autocrine|paracrine	0.805701240465394
CALM1	KCNN4	autocrine|paracrine	0.805614316386553
ICAM3	ITGAL	autocrine|paracrine	0.80494805872773
GZMB	PGRMC1	autocrine|paracrine	0.804817353996782
FYN	SPN	autocrine|paracrine	0.804239991496229
HLA-C	CD3G	autocrine|paracrine	0.80386267258165
ANXA1	FPR2	autocrine|paracrine	0.803654352759071
HLA-E	SLC16A4	autocrine|paracrine	0.801846416747032
IRAK4	TLR4	autocrine|paracrine	0.801308042110511
HLA-A	CD3G	autocrine|paracrine	0.800009356066265
HSP90B1	TLR7	autocrine|paracrine	0.798701635985005
RPS27A	ADRB2	autocrine|paracrine	0.798357944034294
ICAM1	ITGAX	autocrine|paracrine	0.797022473855447
UBA52	TGFBR1	autocrine|paracrine	0.796697652014025
LGALS9	HAVCR2	autocrine|paracrine	0.795255613661742
UBA52	LDLR	autocrine|paracrine	0.794686099139883
GZMB	IGF2R	autocrine|paracrine	0.794077425816229
IL10	IL10RB	autocrine|paracrine	0.793422684566388
B2M	HFE	autocrine|paracrine	0.792430103480618
SEMA4D	PLXNB2	autocrine|paracrine	0.791961961280697
ARF1	PLD2	autocrine|paracrine	0.791152952883968
UBA52	TGFBR2	autocrine|paracrine	0.790625573632666
LRPAP1	LRP1	autocrine|paracrine	0.790607031957304
TNFSF14	LTBR	autocrine|paracrine	0.789849203951533
HLA-G	KLRD1	autocrine|paracrine	0.789841662027287
UBB	ADRB2	autocrine|paracrine	0.788386413109456
ADAM10	AXL	autocrine|paracrine	0.783434090481463
UBC	ADRB2	autocrine|paracrine	0.78072375624491
ACTR2	LDLR	autocrine|paracrine	0.779622395137564
PSEN1	CD44	autocrine|paracrine	0.77845632549885
ICAM2	ITGAM	autocrine|paracrine	0.778436431910445
CCL16	CCR1	autocrine|paracrine	0.77810928628133
CALR	SCARF1	autocrine|paracrine	0.778002852128914
CALM3	ABCA1	autocrine|paracrine	0.777227641654326
CALM1	PTPRA	autocrine|paracrine	0.775631189110094
LRPAP1	SORL1	autocrine|paracrine	0.774811170583717
IFNG	IFNGR1	autocrine|paracrine	0.773216285742459
HSPA8	ADRB2	autocrine|paracrine	0.770701239324602
ARPC5	LDLR	autocrine|paracrine	0.770516003470197
IFNG	IFNGR2	autocrine|paracrine	0.769696137118523
DUSP18	RPSA	autocrine|paracrine	0.767713670405087
IL16	CCR5	autocrine|paracrine	0.766068495256062
CALR	ITGAV	autocrine|paracrine	0.763102794540096
CALM1	INSR	autocrine|paracrine	0.760956799586064
ICAM2	ITGAL	autocrine|paracrine	0.759665346640802
PSAP	SORT1	autocrine|paracrine	0.75903032199336
CALM1	AQP6	autocrine|paracrine	0.758062599270412
CALM3	SELL	autocrine|paracrine	0.757294659890344
ICAM4	ITGB2	autocrine|paracrine	0.756925263246823
CALM1	FAS	autocrine|paracrine	0.756330200793459
RPS27A	FGFR2	autocrine|paracrine	0.755113185629713
PRND	RPSA	autocrine|paracrine	0.754530307519509
UBA52	NOTCH1	autocrine|paracrine	0.753709108426621
HSPA1A	TLR4	autocrine|paracrine	0.752714716594856
ICAM1	IL2RG	autocrine|paracrine	0.751783227414649
GNAS	ADCY7	autocrine|paracrine	0.750215431555837
UBA52	ADRB2	autocrine|paracrine	0.749373862952422
ICAM1	ITGAM	autocrine|paracrine	0.746422422006033
IRAK4	TLR7	autocrine|paracrine	0.744524003357747
UBB	FGFR2	autocrine|paracrine	0.743689696864198
LGALS1	CD69	autocrine|paracrine	0.743410939120035
ARF1	INSR	autocrine|paracrine	0.741569279347362
ADAM17	ITGB1	autocrine|paracrine	0.741540028861261
CD48	CD244	autocrine|paracrine	0.741369106720162
KLRB1	CLEC2D	autocrine|paracrine	0.74028200546265
CALM2	INSR	autocrine|paracrine	0.739568167209034
CALM2	AQP6	autocrine|paracrine	0.736504675585904
TNF	TNFRSF1B	autocrine|paracrine	0.736095379117575
UBC	FGFR2	autocrine|paracrine	0.734952666018707
GNAI2	CCR5	autocrine|paracrine	0.734920686216263
MFNG	NOTCH2	autocrine|paracrine	0.733871206667345
LTA	TNFRSF1B	autocrine|paracrine	0.732584642669597
