NK	NK.1	interaction.type	LRscore
B2M	CD247	autocrine	0.941611629770398
B2M	KLRD1	autocrine	0.941251329127643
B2M	HLA-F	autocrine	0.938508234096197
HLA-B	KLRD1	autocrine	0.936444375043067
B2M	KLRC1	autocrine	0.930723129561918
HLA-E	KLRD1	autocrine	0.930210662269796
HLA-E	KLRC1	autocrine	0.917876521677826
HLA-B	CANX	autocrine	0.911881497585008
CALR	HLA-F	autocrine	0.904418607549654
SELPLG	ITGB2	autocrine	0.90302463018895
B2M	KLRC2	autocrine	0.899898559777304
VIM	CD44	autocrine	0.890131927475581
SPON2	ITGB2	autocrine	0.884369668005041
KLRB1	CLEC2D	autocrine	0.883580057264438
HLA-E	KLRC2	autocrine	0.882060216891278
ICAM3	ITGB2	autocrine	0.881885252107381
RPS27A	ADRB2	autocrine	0.881426968669969
HLA-G	KLRD1	autocrine	0.880494714767717
LGALS1	PTPRC	autocrine	0.879942858729932
LYZ	ITGAL	autocrine	0.879715118773343
GZMB	CHRM3	autocrine	0.8773123596349
UBB	ADRB2	autocrine	0.874919745027882
LGALS1	CD69	autocrine	0.873837478126191
CCL5	CXCR3	autocrine	0.872078734677645
CLEC2B	KLRF1	autocrine	0.871724946176069
UBC	ADRB2	autocrine	0.869873327184307
ICAM3	ITGAL	autocrine	0.867807382423541
HSPA8	ADRB2	autocrine	0.863211662288464
ARF1	CHRM3	autocrine	0.862678556759527
CALM1	SELL	autocrine	0.862410246888389
CD48	CD2	autocrine	0.862170585453851
HLA-G	KLRC1	autocrine	0.860689962818552
B2M	KIR2DL3	autocrine	0.860376960742959
B2M	KIR2DL1	autocrine	0.859520985881945
RPS27A	TGFBR1	autocrine	0.857713948840813
B2M	CD3G	autocrine	0.857295610801485
FYN	SPN	autocrine	0.853926000890335
ICAM2	ITGB2	autocrine	0.851161385070098
CD48	CD244	autocrine	0.851103391385514
UBB	TGFBR1	autocrine	0.850126643768045
HLA-B	KIR2DL3	autocrine	0.850007178806031
UBA52	ADRB2	autocrine	0.848800732512961
CALM2	SELL	autocrine	0.848289470391492
RPS27A	LDLR	autocrine	0.848183015908798
HLA-B	CD3G	autocrine	0.846737743650553
B2M	LILRB1	autocrine	0.846556153241169
HLA-C	KIR2DL3	autocrine	0.845927077408624
HLA-C	KIR2DL1	autocrine	0.844998475260342
B2M	KIR3DL1	autocrine	0.844735870458583
UBC	TGFBR1	autocrine	0.844257995915795
HLA-A	KIR2DL3	autocrine	0.842738488623653
HLA-C	CD3G	autocrine	0.842585177250729
HLA-A	KIR2DL1	autocrine	0.841794262863126
PKM	CD44	autocrine	0.840434657083464
UBB	LDLR	autocrine	0.840182179000366
HLA-A	CD3G	autocrine	0.83934056203432
SELPLG	SELL	autocrine	0.837489743767175
HLA-A	APLP2	autocrine	0.837428389485784
ACTR2	ADRB2	autocrine	0.836892468367853
HLA-E	SLC16A4	autocrine	0.836773116135413
HLA-B	LILRB1	autocrine	0.835356329497983
ICAM2	ITGAL	autocrine	0.834110432512302
UBC	LDLR	autocrine	0.834000167932834
HLA-B	KIR3DL1	autocrine	0.833429327053574
