NK	malignant_cell	interaction.type	LRscore
HLA-B	CANX	autocrine|paracrine	0.929099415666897
B2M	HLA-F	autocrine|paracrine	0.923328392717722
VIM	CD44	autocrine|paracrine	0.909459330786874
HLA-A	APLP2	autocrine|paracrine	0.908920139780816
GZMB	PGRMC1	autocrine|paracrine	0.89219050852257
CCL5	SDC4	autocrine|paracrine	0.890545967266329
B2M	TFRC	autocrine|paracrine	0.888323352727077
B2M	KLRD1	autocrine|paracrine	0.882049055922183
CALR	HLA-F	autocrine|paracrine	0.881882538004581
HLA-C	DDR1	autocrine|paracrine	0.877971897409239
HLA-E	SLC16A4	autocrine|paracrine	0.877599931908661
HLA-B	KLRD1	autocrine|paracrine	0.873051363170772
GZMB	CHRM3	autocrine|paracrine	0.871357684986877
PKM	CD44	autocrine|paracrine	0.867200238338595
HLA-E	KLRD1	autocrine|paracrine	0.861519364954447
ARF1	CHRM3	autocrine|paracrine	0.856130101209376
PSAP	SORT1	autocrine|paracrine	0.85423101066471
CALM1	KCNN4	autocrine|paracrine	0.852375310561608
TIMP1	CD63	autocrine|paracrine	0.8511901883578
LGALS1	ITGB1	autocrine|paracrine	0.845850299636073
AREG	ERBB3	autocrine|paracrine	0.843848841639255
RPS27A	LDLR	autocrine|paracrine	0.842054592043502
RPS27A	TGFBR1	autocrine|paracrine	0.839528194904274
UBB	LDLR	autocrine|paracrine	0.83379407180889
UBB	TGFBR1	autocrine|paracrine	0.831162037537366
UBC	LDLR	autocrine|paracrine	0.827415716457842
GNAI2	CAV1	autocrine|paracrine	0.825828458550484
UBC	TGFBR1	autocrine|paracrine	0.824703910387306
HLA-A	ERBB2	autocrine|paracrine	0.823184131250825
RPS27A	TGFBR2	autocrine|paracrine	0.820922654856617
HSPA8	LDLR	autocrine|paracrine	0.819032674696799
RPS27A	ERBB2	autocrine|paracrine	0.814376899482373
GSTP1	TRAF2	autocrine|paracrine	0.811936142969963
UBB	TGFBR2	autocrine|paracrine	0.811803945003802
CALM1	PTPRA	autocrine|paracrine	0.810831987399965
GNAI2	EDNRB	autocrine|paracrine	0.80959576539324
TNFSF14	TNFRSF14	autocrine|paracrine	0.807169147599563
SEMA4D	PLXNB2	autocrine|paracrine	0.805651788744339
UBB	ERBB2	autocrine|paracrine	0.805004049199649
UBC	TGFBR2	autocrine|paracrine	0.804779278096238
B2M	CD3G	autocrine|paracrine	0.80391764266386
ICAM1	CAV1	autocrine|paracrine	0.802563951586357
CALM1	INSR	autocrine|paracrine	0.801641042212759
UBA52	LDLR	autocrine|paracrine	0.801040169091547
TNFSF14	LTBR	autocrine|paracrine	0.800720839454773
GZMB	IGF2R	autocrine|paracrine	0.800249176948085
PSEN1	CD44	autocrine|paracrine	0.798982677630566
UBA52	TGFBR1	autocrine|paracrine	0.7980150962191
FASLG	TNFRSF1A	autocrine|paracrine	0.797805244230566
UBC	ERBB2	autocrine|paracrine	0.797788789661935
LRPAP1	SORT1	autocrine|paracrine	0.79729243341156
CALM1	ABCA1	autocrine|paracrine	0.796817019807742
RPS27A	RIPK1	autocrine|paracrine	0.792312706502561
HLA-B	CD3G	autocrine|paracrine	0.79037628027528
ACTR2	LDLR	autocrine|paracrine	0.786317303451642
B2M	KLRC2	autocrine|paracrine	0.785849037984474
CALR	LRP1	autocrine|paracrine	0.785593568213612
CALR	ITGAV	autocrine|paracrine	0.785139998718642
HLA-C	CD3G	autocrine|paracrine	0.785084226715644
ARF1	INSR	autocrine|paracrine	0.784619264142903
DUSP18	RPSA	autocrine|paracrine	0.784110234090723
CALM2	INSR	autocrine|paracrine	0.782853890458607
UBB	RIPK1	autocrine|paracrine	0.782123812878777
KLRB1	CLEC2D	autocrine|paracrine	0.78195657653259
HLA-A	CD3G	autocrine|paracrine	0.780962512814351
CALM2	ABCA1	autocrine|paracrine	0.777699671490982
ARPC5	LDLR	autocrine|paracrine	0.777408571667265
NCAM1	FGFR1	autocrine|paracrine	0.776840418343001
UBA52	TGFBR2	autocrine|paracrine	0.775881320267611
PSAP	LRP1	autocrine|paracrine	0.775098446480602
