T_cell	B_cell	interaction.type	LRscore
B2M	HLA-F	autocrine|paracrine	0.923339541010195
B2M	KLRD1	autocrine|paracrine	0.911668921910753
HLA-B	KLRD1	autocrine|paracrine	0.903217436320164
CALM1	SELL	autocrine|paracrine	0.902302251592689
CALM2	SELL	autocrine|paracrine	0.901793253617815
HLA-E	KLRD1	autocrine|paracrine	0.894522697887999
B2M	LILRB1	autocrine|paracrine	0.890842083209384
HLA-B	CANX	autocrine|paracrine	0.887154679322452
HLA-B	LILRB1	autocrine|paracrine	0.880658746520053
VIM	CD44	autocrine|paracrine	0.87960799260946
SELPLG	SELL	autocrine|paracrine	0.878728864640709
HLA-A	LILRB1	autocrine|paracrine	0.877028310349449
HLA-C	LILRB1	autocrine|paracrine	0.876780576056011
CALR	HLA-F	autocrine|paracrine	0.874751836277595
CD52	SIGLEC10	autocrine|paracrine	0.874697570842564
HLA-A	APLP2	autocrine|paracrine	0.872444332083861
PKM	CD44	autocrine|paracrine	0.86112954921315
CALM3	SELL	autocrine|paracrine	0.858063658139947
B2M	CD3G	autocrine|paracrine	0.857131576776059
B2M	TFRC	autocrine|paracrine	0.849767713007403
HLA-B	CD3G	autocrine|paracrine	0.844352854286845
ARF1	CHRM3	autocrine|paracrine	0.843874186769607
LGALS1	PTPRC	autocrine|paracrine	0.843639915165645
RPS27A	TGFBR2	autocrine|paracrine	0.841869004721376
LGALS1	CD69	autocrine|paracrine	0.840865432416987
HLA-F	LILRB1	autocrine|paracrine	0.840000701325381
HLA-A	CD3G	autocrine|paracrine	0.8398188557041
HLA-E	SLC16A4	autocrine|paracrine	0.839604096450462
HLA-C	CD3G	autocrine|paracrine	0.839509877907775
UBC	TGFBR2	autocrine|paracrine	0.838317333653766
RPS27A	LDLR	autocrine|paracrine	0.837045766464011
UBC	LDLR	autocrine|paracrine	0.833407201079092
BTLA	CD79A	autocrine|paracrine	0.830243395924362
LTB	CD40	autocrine|paracrine	0.828884517223621
UBB	TGFBR2	autocrine|paracrine	0.828276848953819
HSPA8	LDLR	autocrine|paracrine	0.827959713616619
FYN	SPN	autocrine|paracrine	0.826524243725742
UBB	LDLR	autocrine|paracrine	0.823126131283917
ST6GAL1	CD22	autocrine|paracrine	0.821557451634638
ALOX5AP	ALOX5	autocrine|paracrine	0.818054158838485
SELPLG	ITGB2	autocrine|paracrine	0.816603389145483
CALM1	KCNN4	autocrine|paracrine	0.816067767944329
CXCL13	CXCR5	autocrine|paracrine	0.81516266672051
SEMA4D	CD72	autocrine|paracrine	0.812041184642575
PRND	RPSA	autocrine|paracrine	0.811933595460597
CALM1	AQP6	autocrine|paracrine	0.807426250939559
VCAM1	EZR	autocrine|paracrine	0.807295266737989
CALM2	AQP6	autocrine|paracrine	0.806528942897755
HLA-G	KLRD1	autocrine|paracrine	0.805870299918139
ICAM3	ITGB2	autocrine|paracrine	0.805331027278869
UBA52	TGFBR2	autocrine|paracrine	0.804462164373072
LYZ	ITGAL	autocrine|paracrine	0.802169119845467
RPS27A	FGFR2	autocrine|paracrine	0.802003201502259
UBA52	LDLR	autocrine|paracrine	0.798770681585803
UBC	FGFR2	autocrine|paracrine	0.797771219426615
RPS27A	SMAD3	autocrine|paracrine	0.787548519454281
UBB	FGFR2	autocrine|paracrine	0.785856011207225
UBC	SMAD3	autocrine|paracrine	0.78309114252656
B2M	LILRB2	autocrine|paracrine	0.780822511384799
GZMB	CHRM3	autocrine|paracrine	0.780569878519345
RPS27A	ADRB2	autocrine|paracrine	0.780270194833134
IFNG	IFNGR1	autocrine|paracrine	0.776340579450323
ICAM3	ITGAL	autocrine|paracrine	0.776232932361782
GPI	AMFR	autocrine|paracrine	0.775756375712476
UBC	ADRB2	autocrine|paracrine	0.775703604351669
IFNG	IFNGR2	autocrine|paracrine	0.773693398428147
APP	CD74	autocrine|paracrine	0.771951241168971
DUSP18	RPSA	autocrine|paracrine	0.771385531051937
UBB	SMAD3	autocrine|paracrine	0.77055975095294
HSPA8	ADRB2	autocrine|paracrine	0.768892481435263
KLRB1	CLEC2D	autocrine|paracrine	0.767260483455707
HLA-G	LILRB1	autocrine|paracrine	0.766487537184552
