T_cell	CAF	interaction.type	LRscore
HLA-B	CANX	autocrine|paracrine	0.922886049491642
HLA-A	APLP2	autocrine|paracrine	0.914108696324722
B2M	HLA-F	autocrine|paracrine	0.903285420535502
ITGB2	THY1	autocrine|paracrine	0.898254385566426
B2M	KLRD1	autocrine|paracrine	0.89536184432462
VIM	CD44	autocrine|paracrine	0.894696822812446
B2M	TFRC	autocrine|paracrine	0.885951954934429
HLA-B	KLRD1	autocrine|paracrine	0.885545983205243
FYN	THY1	autocrine|paracrine	0.883990850482058
CALR	LRP1	autocrine|paracrine	0.880000995004304
PKM	CD44	autocrine|paracrine	0.878213646945102
HLA-E	KLRD1	autocrine|paracrine	0.875482540852335
CCL5	SDC4	autocrine|paracrine	0.867642583261098
PSAP	LRP1	autocrine|paracrine	0.863454502683981
RPS27A	TGFBR2	autocrine|paracrine	0.86294954972262
HLA-E	SLC16A4	autocrine|paracrine	0.860457184093333
UBC	TGFBR2	autocrine|paracrine	0.859792500114024
HSP90B1	LRP1	autocrine|paracrine	0.858538462396781
RPS27A	LDLR	autocrine|paracrine	0.857568308266726
UBC	LDLR	autocrine|paracrine	0.854308226385913
CCL5	SDC1	autocrine|paracrine	0.852910753801667
UBB	TGFBR2	autocrine|paracrine	0.850848349590328
HSPA8	LDLR	autocrine|paracrine	0.849420704872247
UBB	LDLR	autocrine|paracrine	0.845077260635267
CALM1	FAS	autocrine|paracrine	0.84423663188343
CALR	HLA-F	autocrine|paracrine	0.844132947660463
LGALS1	ITGB1	autocrine|paracrine	0.841664654370378
HSP90AA1	EGFR	autocrine|paracrine	0.841346965482819
CALM1	ABCA1	autocrine|paracrine	0.841139425713326
LTB	TNFRSF1A	autocrine|paracrine	0.840554817275095
CALM2	ABCA1	autocrine|paracrine	0.840368148981634
LTB	LTBR	autocrine|paracrine	0.839251665607969
CALM1	EGFR	autocrine|paracrine	0.835744381441545
CALM2	EGFR	autocrine|paracrine	0.83495205109928
CALM1	MYLK	autocrine|paracrine	0.83489759863013
CALM2	MYLK	autocrine|paracrine	0.834101994429901
UBA52	EGFR	autocrine|paracrine	0.834013928256458
HLA-A	ERBB2	autocrine|paracrine	0.831812304685156
RPS27A	TGFBR1	autocrine|paracrine	0.831726937221869
RPS27A	SMAD3	autocrine|paracrine	0.830594265268316
UBA52	TGFBR2	autocrine|paracrine	0.829519615244211
UBC	TGFBR1	autocrine|paracrine	0.827994013776941
UBC	SMAD3	autocrine|paracrine	0.826841446145508
GZMB	PGRMC1	autocrine|paracrine	0.825806121923632
LRPAP1	LRP1	autocrine|paracrine	0.824685343864182
UBA52	LDLR	autocrine|paracrine	0.823094845198947
ARF1	CHRM3	autocrine|paracrine	0.822689196744786
RPS27A	ERBB2	autocrine|paracrine	0.822529197438106
B2M	CD3G	autocrine|paracrine	0.819308920432033
UBC	ERBB2	autocrine|paracrine	0.818636726088872
UBB	TGFBR1	autocrine|paracrine	0.817452049453863
UBB	SMAD3	autocrine|paracrine	0.816244519648809
HMGB1	SDC1	autocrine|paracrine	0.81578297995777
UBA52	ACVR1	autocrine|paracrine	0.814373176938004
CALR	ITGAV	autocrine|paracrine	0.810351226344423
ADAM10	AXL	autocrine|paracrine	0.809166157836746
HMGB1	THBD	autocrine|paracrine	0.808939113667041
VCAM1	ITGB1	autocrine|paracrine	0.808476642110408
UBB	ERBB2	autocrine|paracrine	0.80765449308062
IFNG	IFNGR2	autocrine|paracrine	0.807290249674929
CALM1	INSR	autocrine|paracrine	0.80485987826003
CD52	SIGLEC10	autocrine|paracrine	0.804276272671948
CALM2	INSR	autocrine|paracrine	0.80395351555307
HLA-B	CD3G	autocrine|paracrine	0.803921091593054
TIMP1	CD63	autocrine|paracrine	0.803756073302743
PRND	RPSA	autocrine|paracrine	0.802100691171902
IFNG	IFNGR1	autocrine|paracrine	0.800998899459869
SEMA4D	PLXNB2	autocrine|paracrine	0.800288393962526
HLA-A	CD3G	autocrine|paracrine	0.798490399535303
HLA-C	CD3G	autocrine|paracrine	0.798120865473394
PDAP1	PDGFRB	autocrine|paracrine	0.796067216760326
ADAM17	ITGB1	autocrine|paracrine	0.795571152358425
HSP90AA1	ITGB3	autocrine|paracrine	0.794083849325488
RPS27A	RIPK1	autocrine|paracrine	0.793497924609229
UBA52	TGFBR1	autocrine|paracrine	0.792512230502836
UBA52	SMAD3	autocrine|paracrine	0.791181869677606
HSP90AA1	ERBB2	autocrine|paracrine	0.790796886184887
TNFSF14	LTBR	autocrine|paracrine	0.789553530411367
UBC	RIPK1	autocrine|paracrine	0.789131948706733
ARF1	INSR	autocrine|paracrine	0.786243350604965
CALM1	PTPRA	autocrine|paracrine	0.785858052517518
B2M	HFE	autocrine|paracrine	0.785463132584838
ARPC5	LDLR	autocrine|paracrine	0.785402490653542
VCAM1	MSN	autocrine|paracrine	0.784684059601299
HLA-C	DDR1	autocrine|paracrine	0.783893994731575
UBA52	ERBB2	autocrine|paracrine	0.781733529183772
LGALS3BP	ITGB1	autocrine|paracrine	0.780171612284026
GNAI2	CAV1	autocrine|paracrine	0.780154338332232
FGF5	FGFR1	autocrine|paracrine	0.779436117747282
ACTR2	LDLR	autocrine|paracrine	0.778565004328975
CCL5	ADRA2A	autocrine|paracrine	0.777443509740939
UBB	RIPK1	autocrine|paracrine	0.776850101092397
MFNG	NOTCH2	autocrine|paracrine	0.776160763080182
CALM3	ABCA1	autocrine|paracrine	0.776078667387691
RPS27A	TLR4	autocrine|paracrine	0.775203831826585
HLA-G	KLRD1	autocrine|paracrine	0.774854968303275
FASLG	TNFRSF1A	autocrine|paracrine	0.774371521511282
IL10	IL10RB	autocrine|paracrine	0.774092635646932
ANXA1	EGFR	autocrine|paracrine	0.773693544849786
UBC	TLR4	autocrine|paracrine	0.770562909585204
CD6	ALCAM	autocrine|paracrine	0.770436880639359
ARF1	PLD2	autocrine|paracrine	0.770075945712675
CALM3	EGFR	autocrine|paracrine	0.769080685823323
CALM3	MYLK	autocrine|paracrine	0.767985640872819
ICAM4	ITGB1	autocrine|paracrine	0.767947220090584
LTB	CD40	autocrine|paracrine	0.767790378349442
GNAS	PTGIR	autocrine|paracrine	0.76620490407073
FYN	SPN	autocrine|paracrine	0.764750576065878
DUSP18	RPSA	autocrine|paracrine	0.760059107959242
BMP7	ENG	autocrine|paracrine	0.759717000750249
UBB	TLR4	autocrine|paracrine	0.757531835646306
PSEN1	CD44	autocrine|paracrine	0.756579443826251
RPS27A	FGFR2	autocrine|paracrine	0.755531685826113
GZMB	CHRM3	autocrine|paracrine	0.753306134009411
IL11	IL6ST	autocrine|paracrine	0.752860212085434
GPI	AMFR	autocrine|paracrine	0.752440370195321
GNAI2	F2R	autocrine|paracrine	0.752132468817341
UBA52	NOTCH1	autocrine|paracrine	0.750866220546147
UBC	FGFR2	autocrine|paracrine	0.750615285162149
UBA52	RIPK1	autocrine|paracrine	0.748072745165032
CALM1	CACNA1C	autocrine|paracrine	0.745748683381137
CALM2	CACNA1C	autocrine|paracrine	0.744654871181378
FBLN1	ITGB1	autocrine|paracrine	0.739942484110735
ADAM17	ITGA5	autocrine|paracrine	0.739662879174823
RPS27A	ADRB2	autocrine|paracrine	0.736871523434526
UBB	FGFR2	autocrine|paracrine	0.736838190196122
ICAM1	CAV1	autocrine|paracrine	0.736277863981636
LRPAP1	LDLR	autocrine|paracrine	0.732233713870771
UBC	ADRB2	autocrine|paracrine	0.731713112031358
HSP90B1	ERBB2	autocrine|paracrine	0.730883338473827
B2M	LILRB1	autocrine|paracrine	0.730872112056703
CALM3	INSR	autocrine|paracrine	0.729715359710462
CALM1	PDE1C	autocrine|paracrine	0.729606743300089
CALM1	AQP6	autocrine|paracrine	0.729455426414267
CALM2	PDE1C	autocrine|paracrine	0.728468771989122
CALM2	AQP6	autocrine|paracrine	0.728317055409669
UBA52	TLR4	autocrine|paracrine	0.7271382407005
HSPA8	ADRB2	autocrine|paracrine	0.72404137616491
TLN1	ITGB5	autocrine|paracrine	0.720529659692971
DUSP18	ITGB1	autocrine|paracrine	0.720173266499273
VCAM1	EZR	autocrine|paracrine	0.719777705498593
HMGB1	TLR4	autocrine|paracrine	0.719472894658985
PSEN1	NCSTN	autocrine|paracrine	0.718208995262536
NUCB2	ERAP1	autocrine|paracrine	0.717476599893789
UBB	ADRB2	autocrine|paracrine	0.717285085184912
TNF	TNFRSF1A	autocrine|paracrine	0.711088277448466
FASLG	FAS	autocrine|paracrine	0.710689381945243
HLA-B	LILRB1	autocrine|paracrine	0.710613060950332
TNFSF14	TNFRSF14	autocrine|paracrine	0.707591952243608
UBA52	FGFR2	autocrine|paracrine	0.704861253017978
CALM1	PDE1A	autocrine|paracrine	0.703931505383876
HLA-A	LILRB1	autocrine|paracrine	0.703551037878751
HLA-C	LILRB1	autocrine|paracrine	0.703072143329262
CALM1	HMMR	autocrine|paracrine	0.702846067656462
CALM2	PDE1A	autocrine|paracrine	0.702729504184809
RPS19	C5AR1	autocrine|paracrine	0.702470121282917
PSEN1	NOTCH2	autocrine|paracrine	0.70160045439311
GNAI2	EGFR	autocrine|paracrine	0.700895926216786
A2M	LRP1	autocrine|paracrine	0.700541637601434
TNFSF14	TNFRSF6B	autocrine|paracrine	0.700198632190356
SEMA4D	ERBB2	autocrine|paracrine	0.698576802620545
IAPP	RAMP2	autocrine|paracrine	0.698381712528738
CALR	SCARF1	autocrine|paracrine	0.695374835488269
PTDSS1	JMJD6	autocrine|paracrine	0.694021286665663
PSAP	SORT1	autocrine|paracrine	0.691708860061334
SEMA4A	PLXNB2	autocrine|paracrine	0.687877728559959
IAPP	RAMP3	autocrine|paracrine	0.686760277972175
GNAS	ADCY7	autocrine|paracrine	0.685985376246737
UBA52	ADRB2	autocrine|paracrine	0.683951327130938
LAMC2	ITGB1	autocrine|paracrine	0.68343723583489
HSPA1A	TLR4	autocrine|paracrine	0.682843434264968
UBA52	BMPR1B	autocrine|paracrine	0.681273702896793
SPTAN1	PTPRA	autocrine|paracrine	0.680447064195116
LTA	TNFRSF1A	autocrine|paracrine	0.680414813816731
CALM1	GP6	autocrine|paracrine	0.680367847360616
LIN7C	ABCA1	autocrine|paracrine	0.680169459773913
BTLA	TNFRSF14	autocrine|paracrine	0.679835317503894
CALM2	GP6	autocrine|paracrine	0.679113789639889
FASLG	TNFRSF6B	autocrine|paracrine	0.679064998790819
LTA	LTBR	autocrine|paracrine	0.678303745901896
GNAI2	TBXA2R	autocrine|paracrine	0.677969094425493
GZMB	IGF2R	autocrine|paracrine	0.676115512223307
SEMA7A	ITGB1	autocrine|paracrine	0.670777126228389
TNFSF10	TNFRSF10B	autocrine|paracrine	0.669373444353932
HSP90B1	TLR4	autocrine|paracrine	0.668955102274406
EPGN	EGFR	autocrine|paracrine	0.668882516397459
GNAI2	IGF1R	autocrine|paracrine	0.667698686784809
PSAP	GPR37L1	autocrine|paracrine	0.666524612383159
CALM1	KCNN4	autocrine|paracrine	0.666184674685823
CD40LG	CD40	autocrine|paracrine	0.664158322669559
SERPINE2	LRP1	autocrine|paracrine	0.662035739141735
LGALS1	PTPRC	autocrine|paracrine	0.658267864303241
GNAI2	S1PR3	autocrine|paracrine	0.657490591197606
APP	LRP1	autocrine|paracrine	0.656697402468054
B2M	CD3D	autocrine|paracrine	0.656006120559252
CALR	TSHR	autocrine|paracrine	0.655511338701245
ANXA1	ADRA2A	autocrine|paracrine	0.653507051058363
CALM1	SELL	autocrine|paracrine	0.651910882559225
CALM2	SELL	autocrine|paracrine	0.650602512192225
CCL5	GPR75	autocrine|paracrine	0.650139078639032
ADAM15	ITGB1	autocrine|paracrine	0.64999580202863
TGFB1	ITGB1	autocrine|paracrine	0.649035661302716
TLN1	ITGB3	autocrine|paracrine	0.648565754483043
ICAM1	EGFR	autocrine|paracrine	0.648331544522352
AREG	EGFR	autocrine|paracrine	0.645698646335648
APP	CAV1	autocrine|paracrine	0.645213134308994
GSTP1	TRAF2	autocrine|paracrine	0.644440412275878
