T_cell	Endo	interaction.type	LRscore
B2M	HLA-F	autocrine|paracrine	0.934024613108497
HLA-A	APLP2	autocrine|paracrine	0.926714166538237
HLA-B	CANX	autocrine|paracrine	0.9228196118669
RPS27A	TGFBR2	autocrine|paracrine	0.91397565481218
UBC	TGFBR2	autocrine|paracrine	0.91187398981771
UBB	TGFBR2	autocrine|paracrine	0.905888570485861
B2M	KLRD1	autocrine|paracrine	0.902468857860648
HLA-C	NOTCH4	autocrine|paracrine	0.894240662188364
HLA-B	KLRD1	autocrine|paracrine	0.893240195033992
UBA52	TGFBR2	autocrine|paracrine	0.891426244452169
CALR	HLA-F	autocrine|paracrine	0.891412715382015
HMGB1	THBD	autocrine|paracrine	0.886957524709294
HLA-E	KLRD1	autocrine|paracrine	0.88376447228907
RPS27A	LDLR	autocrine|paracrine	0.872031743698862
UBC	LDLR	autocrine|paracrine	0.86905216141504
HSPA8	LDLR	autocrine|paracrine	0.864580851671333
IAPP	RAMP2	autocrine|paracrine	0.863782628178036
CALR	SCARF1	autocrine|paracrine	0.863316809932558
ITGB2	THY1	autocrine|paracrine	0.861509845892975
UBB	LDLR	autocrine|paracrine	0.86060293687676
RPS27A	TLR4	autocrine|paracrine	0.855432043593513
UBA52	NOTCH1	autocrine|paracrine	0.854293667205111
UBC	TLR4	autocrine|paracrine	0.852131496400385
IAPP	RAMP3	autocrine|paracrine	0.849815265155638
CALM1	INSR	autocrine|paracrine	0.847461762164989
CALM2	INSR	autocrine|paracrine	0.846715586988053
SELPLG	ESAM	autocrine|paracrine	0.846153510528013
LTB	TNFRSF1A	autocrine|paracrine	0.846041385046824
ARF1	CHRM3	autocrine|paracrine	0.845934900598827
FYN	THY1	autocrine|paracrine	0.842995521373453
UBB	TLR4	autocrine|paracrine	0.842787993785732
UBA52	LDLR	autocrine|paracrine	0.840407470361562
CD52	SIGLEC10	autocrine|paracrine	0.83757841805408
LGALS1	ITGB1	autocrine|paracrine	0.837568772619908
LTB	LTBR	autocrine|paracrine	0.837018262342892
CALM1	ABCA1	autocrine|paracrine	0.834235920260136
CALM2	ABCA1	autocrine|paracrine	0.833437763641641
ARF1	INSR	autocrine|paracrine	0.832061459579284
RPS27A	RIPK1	autocrine|paracrine	0.826148186570237
CCL5	SDC4	autocrine|paracrine	0.823104763368537
HLA-E	SLC16A4	autocrine|paracrine	0.822834609868276
UBC	RIPK1	autocrine|paracrine	0.822317943995186
UBA52	TLR4	autocrine|paracrine	0.820549724964102
IFNG	IFNGR1	autocrine|paracrine	0.818383481725413
