T_cell	NK	interaction.type	LRscore
B2M	CD247	autocrine|paracrine	0.941795185091748
B2M	KLRD1	autocrine|paracrine	0.941435946677499
B2M	HLA-F	autocrine|paracrine	0.938700910425857
HLA-B	KLRD1	autocrine|paracrine	0.935631468816334
B2M	KLRC1	autocrine|paracrine	0.93093840444778
HLA-E	KLRD1	autocrine|paracrine	0.929621835831765
HLA-E	KLRC1	autocrine|paracrine	0.917192893548009
HLA-B	CANX	autocrine|paracrine	0.910784351887537
B2M	KLRC2	autocrine|paracrine	0.900199349630207
CALR	HLA-F	autocrine|paracrine	0.898782016080837
SELPLG	ITGB2	autocrine|paracrine	0.886062166412182
VIM	CD44	autocrine|paracrine	0.884501526009261
RPS27A	ADRB2	autocrine|paracrine	0.881703917462833
LYZ	ITGAL	autocrine|paracrine	0.881315693274277
HLA-E	KLRC2	autocrine|paracrine	0.88111705587704
UBC	ADRB2	autocrine|paracrine	0.878918270072699
ICAM3	ITGB2	autocrine|paracrine	0.878423438209632
HSPA8	ADRB2	autocrine|paracrine	0.874735287331643
UBB	ADRB2	autocrine|paracrine	0.871011155567756
PKM	CD44	autocrine|paracrine	0.866660312468179
HLA-G	KLRD1	autocrine|paracrine	0.866052390381825
CCL5	CXCR3	autocrine|paracrine	0.86511309421339
ICAM3	ITGAL	autocrine|paracrine	0.863996593388086
B2M	KIR2DL3	autocrine|paracrine	0.860778134461735
LGALS1	PTPRC	autocrine|paracrine	0.86024968226123
B2M	KIR2DL1	autocrine|paracrine	0.859924218626342
RPS27A	TGFBR1	autocrine|paracrine	0.858037363208537
B2M	CD3G	autocrine|paracrine	0.857704173783777
CD48	CD2	autocrine|paracrine	0.857371023788104
UBC	TGFBR1	autocrine|paracrine	0.854786199442245
CD52	SIGLEC10	autocrine|paracrine	0.853863959216401
LGALS1	CD69	autocrine|paracrine	0.853309776029296
FYN	SPN	autocrine|paracrine	0.853193051738556
UBA52	ADRB2	autocrine|paracrine	0.85206439650391
RPS27A	LDLR	autocrine|paracrine	0.848524268070287
HLA-B	KIR2DL3	autocrine|paracrine	0.848267836300497
B2M	LILRB1	autocrine|paracrine	0.846989975576926
CD48	CD244	autocrine|paracrine	0.845987285727943
CALM1	SELL	autocrine|paracrine	0.845813073942667
UBB	TGFBR1	autocrine|paracrine	0.845580043856557
B2M	KIR3DL1	autocrine|paracrine	0.845173897950855
UBC	LDLR	autocrine|paracrine	0.845094571817915
CALM2	SELL	autocrine|paracrine	0.845060308330218
HLA-B	CD3G	autocrine|paracrine	0.844967403143729
GNAS	PTGDR	autocrine|paracrine	0.844748396646841
ARF1	CHRM3	autocrine|paracrine	0.844705525586768
HLA-G	KLRC1	autocrine|paracrine	0.844277511631503
HLA-A	KIR2DL3	autocrine|paracrine	0.843826787384115
