T_cell	malignant_cell	interaction.type	LRscore
HLA-B	CANX	autocrine|paracrine	0.928199767072354
B2M	HLA-F	autocrine|paracrine	0.923564759303
HLA-A	APLP2	autocrine|paracrine	0.909599570194087
VIM	CD44	autocrine|paracrine	0.904713371809042
PKM	CD44	autocrine|paracrine	0.889604632388078
B2M	TFRC	autocrine|paracrine	0.888654620761724
CCL5	SDC4	autocrine|paracrine	0.884452678068387
B2M	KLRD1	autocrine|paracrine	0.88239647154534
HLA-E	SLC16A4	autocrine|paracrine	0.876626091121854
HLA-C	DDR1	autocrine|paracrine	0.875995439595798
CALR	HLA-F	autocrine|paracrine	0.875100489905159
HLA-B	KLRD1	autocrine|paracrine	0.871538859511911
HLA-E	KLRD1	autocrine|paracrine	0.860437929755229
HSP90AA1	ITGB3	autocrine|paracrine	0.845197867140617
RPS27A	LDLR	autocrine|paracrine	0.842407060117363
RPS27A	TGFBR1	autocrine|paracrine	0.839885228813049
UBC	LDLR	autocrine|paracrine	0.838865160876357
ARF1	CHRM3	autocrine|paracrine	0.837461472944399
LTB	LTBR	autocrine|paracrine	0.836628910768077
UBC	TGFBR1	autocrine|paracrine	0.836297665529969
CALM1	KCNN4	autocrine|paracrine	0.834799521857757
PSAP	SORT1	autocrine|paracrine	0.834479219841086
HSPA8	LDLR	autocrine|paracrine	0.833560502909723
CALR	ITGA3	autocrine|paracrine	0.829024314848347
UBB	LDLR	autocrine|paracrine	0.828851750791616
UBB	TGFBR1	autocrine|paracrine	0.826157768216006
HLA-A	ERBB2	autocrine|paracrine	0.824379552115191
LGALS1	ITGB1	autocrine|paracrine	0.821698017257285
IFNG	IFNGR2	autocrine|paracrine	0.821445719346898
RPS27A	TGFBR2	autocrine|paracrine	0.821312273512242
UBC	TGFBR2	autocrine|paracrine	0.817399036687042
RPS27A	ERBB2	autocrine|paracrine	0.814777546448246
UBC	ERBB2	autocrine|paracrine	0.810754175147879
TIMP1	CD63	autocrine|paracrine	0.808510313696711
UBB	TGFBR2	autocrine|paracrine	0.806359584817766
GZMB	PGRMC1	autocrine|paracrine	0.805558836526578
UBA52	LDLR	autocrine|paracrine	0.805098033234789
B2M	CD3G	autocrine|paracrine	0.804444167167011
PRND	RPSA	autocrine|paracrine	0.804435907941774
UBA52	TGFBR1	autocrine|paracrine	0.802119416797407
UBB	ERBB2	autocrine|paracrine	0.799411579890291
SEMA4D	PLXNB2	autocrine|paracrine	0.798302820425854
LTB	TNFRSF1A	autocrine|paracrine	0.79642278990428
CD52	SIGLEC10	autocrine|paracrine	0.795517319508149
GNAI2	CAV1	autocrine|paracrine	0.794789345250607
TNFSF14	TNFRSF14	autocrine|paracrine	0.793120098453073
RPS27A	RIPK1	autocrine|paracrine	0.792748856962367
UBA52	BMPR1B	autocrine|paracrine	0.791714780928293
CALM1	PTPRA	autocrine|paracrine	0.789531440014365
LRPAP1	SORT1	autocrine|paracrine	0.789488881327255
UBC	RIPK1	autocrine|paracrine	0.788371267709688
HLA-B	CD3G	autocrine|paracrine	0.78811781610692
B2M	KLRC2	autocrine|paracrine	0.786411190132886
TNFSF14	LTBR	autocrine|paracrine	0.786326353135115
VCAM1	ITGB1	autocrine|paracrine	0.785392005879892
HLA-A	CD3G	autocrine|paracrine	0.782367919010155
VCAM1	MSN	autocrine|paracrine	0.782103988401569
HSP90AA1	ERBB2	autocrine|paracrine	0.782026517122937
HLA-C	CD3G	autocrine|paracrine	0.781976891868561
UBA52	TGFBR2	autocrine|paracrine	0.780311582595922
HMGB1	THBD	autocrine|paracrine	0.780160418492811
CALM1	INSR	autocrine|paracrine	0.779586909186435
CALM2	INSR	autocrine|paracrine	0.778595452456614
GPI	AMFR	autocrine|paracrine	0.776562916477473
PSEN1	CD44	autocrine|paracrine	0.776451237647962
GNAI2	EDNRB	autocrine|paracrine	0.776446916877191
UBB	RIPK1	autocrine|paracrine	0.776057687905021
CALR	LRP1	autocrine|paracrine	0.774695298259805
CALM1	ABCA1	autocrine|paracrine	0.774377493620793
CALR	ITGAV	autocrine|paracrine	0.774225299686408
CALM2	ABCA1	autocrine|paracrine	0.773369416100439
UBA52	ERBB2	autocrine|paracrine	0.772692415688326
GZMB	CHRM3	autocrine|paracrine	0.772258723636087
ADAM17	ITGB1	autocrine|paracrine	0.771370881187146
BTLA	TNFRSF14	autocrine|paracrine	0.770852999745138
VCAM1	EZR	autocrine|paracrine	0.766240504952755
ARPC5	LDLR	autocrine|paracrine	0.764667509724464
