malignant_cell	B_cell	interaction.type	LRscore
LGALS1	PTPRC	autocrine|paracrine	0.922681459793161
LGALS1	CD69	autocrine|paracrine	0.921178466456027
CALM2	SELL	autocrine|paracrine	0.913869021111098
VIM	CD44	autocrine|paracrine	0.910717474967083
B2M	HLA-F	autocrine|paracrine	0.910514043716913
LAMB2	RPSA	autocrine|paracrine	0.90427247996087
APP	CD74	autocrine|paracrine	0.903901645273864
FN1	CD79A	autocrine|paracrine	0.899057974287401
B2M	KLRD1	autocrine|paracrine	0.897108477150059
CALM1	SELL	autocrine|paracrine	0.895802394938574
PKM	CD44	autocrine|paracrine	0.8905002132084
CALR	HLA-F	autocrine|paracrine	0.889126524532626
HLA-B	KLRD1	autocrine|paracrine	0.887822004098338
HLA-E	KLRD1	autocrine|paracrine	0.874174835485675
B2M	LILRB1	autocrine|paracrine	0.873325573820411
ARF1	CHRM3	autocrine|paracrine	0.87234785324817
HLA-B	CANX	autocrine|paracrine	0.869573075131559
HLA-A	LILRB1	autocrine|paracrine	0.865219874171319
HLA-B	LILRB1	autocrine|paracrine	0.862222238167054
SPP1	CD44	autocrine|paracrine	0.861457158989496
HLA-A	APLP2	autocrine|paracrine	0.860265848829623
HLA-C	LILRB1	autocrine|paracrine	0.858305702472468
FN1	CD44	autocrine|paracrine	0.854621592527566
LGALS1	ITGB1	autocrine|paracrine	0.854433198336838
ICAM1	IL2RG	autocrine|paracrine	0.848364007768686
LGALS3BP	ITGB1	autocrine|paracrine	0.846600399231205
CALM3	SELL	autocrine|paracrine	0.844226716670806
UBC	TGFBR2	autocrine|paracrine	0.839736071691465
UBB	TGFBR2	autocrine|paracrine	0.837350282442428
RPS27A	TGFBR2	autocrine|paracrine	0.83711712179675
B2M	CD3G	autocrine|paracrine	0.835206246957659
UBC	LDLR	autocrine|paracrine	0.834860537304742
UBB	LDLR	autocrine|paracrine	0.832416652398202
RPS27A	LDLR	autocrine|paracrine	0.832177836784334
HSPA8	LDLR	autocrine|paracrine	0.831654225264855
PSAP	GPR37L1	autocrine|paracrine	0.828985876283356
CALM2	AQP6	autocrine|paracrine	0.828085563691813
B2M	TFRC	autocrine|paracrine	0.826940459131168
SPP1	ITGA4	autocrine|paracrine	0.826076648613759
HLA-A	CD3G	autocrine|paracrine	0.825149707326507
HLA-B	CD3G	autocrine|paracrine	0.821444789654023
FN1	ITGA4	autocrine|paracrine	0.817864518482238
ICAM1	SPN	autocrine|paracrine	0.817768946853308
HLA-C	CD3G	autocrine|paracrine	0.816615634225768
HLA-F	LILRB1	autocrine|paracrine	0.814044038405296
DUSP18	RPSA	autocrine|paracrine	0.811916214898018
HSP90B1	TLR7	autocrine|paracrine	0.811541877453777
HLA-E	SLC16A4	autocrine|paracrine	0.81090139340817
SPP1	S1PR1	autocrine|paracrine	0.809661114481125
ICAM1	ITGB2	autocrine|paracrine	0.808687326064726
APOD	LEPR	autocrine|paracrine	0.805917517300525
CALM1	KCNN4	autocrine|paracrine	0.805070151445928
ST6GAL1	CD22	autocrine|paracrine	0.804032824846455
UBC	FGFR2	autocrine|paracrine	0.799460633031329
TIMP1	CD63	autocrine|paracrine	0.798621565892124
SPP1	ITGB1	autocrine|paracrine	0.796862358434898
UBA52	TGFBR2	autocrine|paracrine	0.796783881903195
UBB	FGFR2	autocrine|paracrine	0.796620489851035
RPS27A	FGFR2	autocrine|paracrine	0.796343143055144
CALM1	AQP6	autocrine|paracrine	0.796041079613703
SPON2	ITGB2	autocrine|paracrine	0.795763286762669
APOE	LDLR	autocrine|paracrine	0.791313092355089
TIMP3	ADAM17	autocrine|paracrine	0.791214583936146
UBA52	LDLR	autocrine|paracrine	0.790926992069929
PLAT	ITGB2	autocrine|paracrine	0.787965721760201
FN1	ITGB1	autocrine|paracrine	0.787625448570829
UBC	SMAD3	autocrine|paracrine	0.784870122359802
CALR	SCARF1	autocrine|paracrine	0.782522086861108
LAMB2	ITGB1	autocrine|paracrine	0.782474554542397
UBB	SMAD3	autocrine|paracrine	0.781879718802694
RPS27A	SMAD3	autocrine|paracrine	0.781587781546807
TIMP2	ITGB1	autocrine|paracrine	0.780564145075374
APOE	SORL1	autocrine|paracrine	0.780488084446499
HSP90B1	TLR9	autocrine|paracrine	0.780426599209547
ICAM1	ITGAL	autocrine|paracrine	0.779953835035271
GPI	AMFR	autocrine|paracrine	0.779629741762113
