malignant_cell	CAF	interaction.type	LRscore
TIMP1	CD63	autocrine|paracrine	0.931501732268583
VIM	CD44	autocrine|paracrine	0.922251956279795
LGALS1	ITGB1	autocrine|paracrine	0.921611934171707
LGALS3BP	ITGB1	autocrine|paracrine	0.917042990295887
SERPINE2	LRP1	autocrine|paracrine	0.911306400251148
HLA-B	CANX	autocrine|paracrine	0.910308660683423
PSAP	LRP1	autocrine|paracrine	0.90807476279879
HLA-A	APLP2	autocrine|paracrine	0.905477172762397
PKM	CD44	autocrine|paracrine	0.904372324281783
LAMB2	RPSA	autocrine|paracrine	0.89866488958287
HSP90B1	LRP1	autocrine|paracrine	0.897061464901792
CALR	LRP1	autocrine|paracrine	0.89384634746324
A2M	LRP1	autocrine|paracrine	0.889412818018027
B2M	HLA-F	autocrine|paracrine	0.887513554066091
SPP1	ITGB1	autocrine|paracrine	0.88709922425586
APOE	LRP1	autocrine|paracrine	0.88433336461296
FN1	ITGB1	autocrine|paracrine	0.881354566703169
SPP1	CD44	autocrine|paracrine	0.87850663977826
B2M	KLRD1	autocrine|paracrine	0.878471675563975
LAMB2	ITGB1	autocrine|paracrine	0.878125199843983
MFGE8	PDGFRB	autocrine|paracrine	0.877179108676025
TIMP2	ITGB1	autocrine|paracrine	0.87692270553872
FN1	CD44	autocrine|paracrine	0.872387665604767
LRPAP1	LRP1	autocrine|paracrine	0.867913660879097
B2M	TFRC	autocrine|paracrine	0.867767209324716
HLA-B	KLRD1	autocrine|paracrine	0.867751102830405
CALR	HLA-F	autocrine|paracrine	0.861465222747666
UBC	TGFBR2	autocrine|paracrine	0.861054030135011
APOC2	LRP1	autocrine|paracrine	0.860005242731001
PROS1	AXL	autocrine|paracrine	0.858944344659678
UBB	TGFBR2	autocrine|paracrine	0.858932281155466
CALM2	ABCA1	autocrine|paracrine	0.858814409419893
RPS27A	TGFBR2	autocrine|paracrine	0.858724838826413
HSP90AA1	EGFR	autocrine|paracrine	0.85641469700286
UBC	LDLR	autocrine|paracrine	0.855610814877053
ADAM15	ITGB1	autocrine|paracrine	0.855009602045124
ARF1	CHRM3	autocrine|paracrine	0.854359697789024
CALM2	EGFR	autocrine|paracrine	0.853915373470592
UBB	LDLR	autocrine|paracrine	0.853420095987571
RPS27A	LDLR	autocrine|paracrine	0.853205933200065
CALM2	MYLK	autocrine|paracrine	0.853145806600667
MDK	ITGB1	autocrine|paracrine	0.85309720173172
LAMA4	ITGB1	autocrine|paracrine	0.853072634601727
HSPA8	LDLR	autocrine|paracrine	0.852736319949213
HLA-E	KLRD1	autocrine|paracrine	0.852069031667427
ICAM1	CAV1	autocrine|paracrine	0.851608696299073
SPP1	ITGA5	autocrine|paracrine	0.851551805175163
ADAM10	AXL	autocrine|paracrine	0.8509008979464
FN1	ITGA5	autocrine|paracrine	0.844315840833141
SEMA3B	NRP1	autocrine|paracrine	0.842622979919553
FN1	NT5E	autocrine|paracrine	0.84197953368293
APP	LRP1	autocrine|paracrine	0.841655467458181
PLAT	LRP1	autocrine|paracrine	0.841445842409986
FN1	PLAUR	autocrine|paracrine	0.839614241865466
FN1	SDC2	autocrine|paracrine	0.839240014374134
ADAM17	ITGB1	autocrine|paracrine	0.839101581199167
APOD	LEPR	autocrine|paracrine	0.838837388515713
MDK	LRP1	autocrine|paracrine	0.835122773861835
APP	CAV1	autocrine|paracrine	0.834802011990565
HLA-E	SLC16A4	autocrine|paracrine	0.834751672065867
CALM1	FAS	autocrine|paracrine	0.834581876300949
ADAM9	ITGB1	autocrine|paracrine	0.833112492508225
CALM1	ABCA1	autocrine|paracrine	0.831331049076184
CALR	ITGAV	autocrine|paracrine	0.83068653222035
LAMB1	ITGB1	autocrine|paracrine	0.830188755910672
PDAP1	PDGFRB	autocrine|paracrine	0.830130036807536
ANXA1	EGFR	autocrine|paracrine	0.829580359096461
UBC	TGFBR1	autocrine|paracrine	0.82948491198731
UBC	SMAD3	autocrine|paracrine	0.82834026332664
TNC	ITGB1	autocrine|paracrine	0.82808017193004
UBA52	EGFR	autocrine|paracrine	0.827246876099343
UBB	TGFBR1	autocrine|paracrine	0.826977960836967
RPS27A	TGFBR1	autocrine|paracrine	0.826733008033235
UBB	SMAD3	autocrine|paracrine	0.825820017119214
CALM2	INSR	autocrine|paracrine	0.825735089715197
CALM1	EGFR	autocrine|paracrine	0.825671939694666
RPS27A	SMAD3	autocrine|paracrine	0.825573770746926
APP	CD74	autocrine|paracrine	0.825280693614928
CALM1	MYLK	autocrine|paracrine	0.824784117137782
NID1	ITGB1	autocrine|paracrine	0.82473632151365
ARF1	INSR	autocrine|paracrine	0.823023266299474
UBA52	TGFBR2	autocrine|paracrine	0.822608307223576
APP	NCSTN	autocrine|paracrine	0.821393408028429
COL16A1	ITGB1	autocrine|paracrine	0.820782953627867
UBC	ERBB2	autocrine|paracrine	0.820191117362629
MFGE8	ITGAV	autocrine|paracrine	0.817610753109362
UBB	ERBB2	autocrine|paracrine	0.817577576850406
RPS27A	ERBB2	autocrine|paracrine	0.81732225542749
HLA-A	ERBB2	autocrine|paracrine	0.816570077150094
APOE	LDLR	autocrine|paracrine	0.816331432971537
UBA52	LDLR	autocrine|paracrine	0.815980856045139
