malignant_cell	Endo	interaction.type	LRscore
TIMP1	CD63	autocrine|paracrine	0.925185902945419
B2M	HLA-F	autocrine|paracrine	0.922837365108781
LGALS1	ITGB1	autocrine|paracrine	0.919386078858258
HLA-A	APLP2	autocrine|paracrine	0.919237491247395
LGALS3BP	ITGB1	autocrine|paracrine	0.91469940618681
UBC	TGFBR2	autocrine|paracrine	0.912714484542517
UBB	TGFBR2	autocrine|paracrine	0.911300343141421
RPS27A	TGFBR2	autocrine|paracrine	0.911161944054993
HLA-B	CANX	autocrine|paracrine	0.910232440998648
CALR	HLA-F	autocrine|paracrine	0.904084905876845
LAMB2	RPSA	autocrine|paracrine	0.891131629205894
SPP1	S1PR1	autocrine|paracrine	0.889342490745066
UBA52	TGFBR2	autocrine|paracrine	0.886681799682199
B2M	KLRD1	autocrine|paracrine	0.886580549548137
SPP1	ITGB1	autocrine|paracrine	0.884016700345452
APP	CD74	autocrine|paracrine	0.883229450533717
SPP1	ITGA5	autocrine|paracrine	0.882914509128473
HMGB1	THBD	autocrine|paracrine	0.881965160599122
CALR	SCARF1	autocrine|paracrine	0.878822088439878
FN1	ITGB1	autocrine|paracrine	0.878136743088344
HLA-C	NOTCH4	autocrine|paracrine	0.878019455226373
FN1	ITGA5	autocrine|paracrine	0.87698645003682
HLA-B	KLRD1	autocrine|paracrine	0.876474713849524
LAMB2	ITGB1	autocrine|paracrine	0.874832230029348
ARF1	CHRM3	autocrine|paracrine	0.874088816947833
TIMP2	ITGB1	autocrine|paracrine	0.87360192190403
APOD	LEPR	autocrine|paracrine	0.871704802548503
UBC	LDLR	autocrine|paracrine	0.870242950346625
UBB	LDLR	autocrine|paracrine	0.86824004743321
RPS27A	LDLR	autocrine|paracrine	0.86804418958659
HSPA8	LDLR	autocrine|paracrine	0.867614680368107
ICAM1	CAV1	autocrine|paracrine	0.86711708710814
CALM2	INSR	autocrine|paracrine	0.864546593683663
ARF1	INSR	autocrine|paracrine	0.862338045772807
ANXA1	DYSF	autocrine|paracrine	0.862154531990361
HLA-E	KLRD1	autocrine|paracrine	0.861662175838187
FN1	FLT4	autocrine|paracrine	0.857594316042959
FN1	ROBO4	autocrine|paracrine	0.85513826236251
UBC	TLR4	autocrine|paracrine	0.853450207942665
TIMP3	KDR	autocrine|paracrine	0.852951308944789
CALM2	ABCA1	autocrine|paracrine	0.852544344879774
ADM	RAMP2	autocrine|paracrine	0.85204242839657
APP	CAV1	autocrine|paracrine	0.851761124044728
UBB	TLR4	autocrine|paracrine	0.851232407436557
ADAM15	ITGB1	autocrine|paracrine	0.851197900885266
RPS27A	TLR4	autocrine|paracrine	0.851015606292019
ADAM15	ITGA5	autocrine|paracrine	0.84983680905334
MDK	ITGB1	autocrine|paracrine	0.849244089492654
LAMA4	ITGB1	autocrine|paracrine	0.849218991881238
UBA52	NOTCH1	autocrine|paracrine	0.84820291502254
QDPR	DYSF	autocrine|paracrine	0.844015407548491
ARF1	PLD2	autocrine|paracrine	0.841512572530739
CALM1	INSR	autocrine|paracrine	0.837968544334581
ADM	RAMP3	autocrine|paracrine	0.837098284429325
ADAM17	ITGB1	autocrine|paracrine	0.834952398567383
APOE	LDLR	autocrine|paracrine	0.834172601392431
UBA52	LDLR	autocrine|paracrine	0.8338491475619
ADAM17	ITGA5	autocrine|paracrine	0.833471780823065
HSP90B1	TLR4	autocrine|paracrine	0.832740654109803
PSAP	CELSR1	autocrine|paracrine	0.830038748003808
CTHRC1	FZD6	autocrine|paracrine	0.82931930492917
ADAM9	ITGB1	autocrine|paracrine	0.828840369171082
CALR	ITGAV	autocrine|paracrine	0.827262711244149
BSG	SELE	autocrine|paracrine	0.826293433507707
LAMB1	ITGB1	autocrine|paracrine	0.825857432786341
FN1	ITGA6	autocrine|paracrine	0.825003459124967
