malignant_cell	Macro	interaction.type	LRscore
TIMP1	CD63	autocrine|paracrine	0.927281877556385
VIM	CD44	autocrine|paracrine	0.921374999378086
LGALS1	PTPRC	autocrine|paracrine	0.920509372810442
HLA-A	APLP2	autocrine|paracrine	0.917829077235237
B2M	HLA-F	autocrine|paracrine	0.917591073544257
B2M	LILRB2	autocrine|paracrine	0.910016452207385
B2M	LILRB1	autocrine|paracrine	0.909543373660227
HLA-B	CANX	autocrine|paracrine	0.908719751810211
APP	CD74	autocrine|paracrine	0.904119378732003
HLA-A	LILRB2	autocrine|paracrine	0.904000465869126
HLA-A	LILRB1	autocrine|paracrine	0.903499112908384
PKM	CD44	autocrine|paracrine	0.903314837128666
HLA-B	LILRB2	autocrine|paracrine	0.901767420814978
HLA-B	LILRB1	autocrine|paracrine	0.901255679725148
CD99	PILRA	autocrine|paracrine	0.90040401035839
HLA-C	LILRB2	autocrine|paracrine	0.898843130967833
HLA-C	LILRB1	autocrine|paracrine	0.89831787360652
CALR	HLA-F	autocrine|paracrine	0.897704963189136
RPS19	C5AR1	autocrine|paracrine	0.896694494155922
LGALS1	ITGB1	autocrine|paracrine	0.894615594361791
HSP90B1	TLR2	autocrine|paracrine	0.892065426129754
LAMB2	RPSA	autocrine|paracrine	0.891186563502079
LGALS3BP	ITGB1	autocrine|paracrine	0.888663226833336
ICAM1	ITGB2	autocrine|paracrine	0.887976919956277
SERPINE2	LRP1	autocrine|paracrine	0.887179611799951
UBC	TLR4	autocrine|paracrine	0.887040571198181
UBB	TLR4	autocrine|paracrine	0.885262767485045
RPS27A	TLR4	autocrine|paracrine	0.885088864531395
PSAP	LRP1	autocrine|paracrine	0.883181579145
CALM2	ABCA1	autocrine|paracrine	0.881421853472411
SPON2	ITGB2	autocrine|paracrine	0.879611857001507
ANXA1	FPR1	autocrine|paracrine	0.878931292992628
FN1	PLAUR	autocrine|paracrine	0.877922669798462
SPP1	CD44	autocrine|paracrine	0.87720195831333
PLAT	ITGB2	autocrine|paracrine	0.874510723137092
B2M	KLRD1	autocrine|paracrine	0.873851404184943
FN1	CD44	autocrine|paracrine	0.871026921104921
HSP90B1	TLR4	autocrine|paracrine	0.870356748819089
HSP90B1	LRP1	autocrine|paracrine	0.869614125604774
CALM2	SELL	autocrine|paracrine	0.869243400252243
ANXA1	FPR3	autocrine|paracrine	0.866963016659706
CALR	LRP1	autocrine|paracrine	0.865670107023712
HLA-F	LILRB2	autocrine|paracrine	0.865256405314006
HLA-F	LILRB1	autocrine|paracrine	0.864583023224584
HLA-B	KLRD1	autocrine|paracrine	0.862786917383945
B2M	TFRC	autocrine|paracrine	0.861162993732143
HSPA1A	TLR4	autocrine|paracrine	0.86079612928939
A2M	LRP1	autocrine|paracrine	0.860243785990876
HSP90B1	TLR1	autocrine|paracrine	0.859314593086916
ICAM1	ITGAX	autocrine|paracrine	0.858165888014769
CALM1	ABCA1	autocrine|paracrine	0.857609639965608
CCL5	CCR1	autocrine|paracrine	0.856585286230991
FN1	C5AR1	autocrine|paracrine	0.854643103979069
UBA52	TLR4	autocrine|paracrine	0.854570778784964
APOE	LRP1	autocrine|paracrine	0.854044413070607
SPP1	ITGB1	autocrine|paracrine	0.850149540674051
HMGB1	TLR4	autocrine|paracrine	0.849649267606245
HLA-E	KLRD1	autocrine|paracrine	0.846620240866024
CALM1	SELL	autocrine|paracrine	0.843420026357459
LGALS1	CD69	autocrine|paracrine	0.843306047781606
FN1	ITGB1	autocrine|paracrine	0.84285783772562
HLA-C	LILRA3	autocrine|paracrine	0.842495655392644
APOE	SORL1	autocrine|paracrine	0.842078152082079
CTGF	ITGB2	autocrine|paracrine	0.840544912901519
ARF1	CHRM3	autocrine|paracrine	0.840350889385389
LAMB2	ITGB1	autocrine|paracrine	0.838772323439184
TIMP2	ITGB1	autocrine|paracrine	0.837253510217578
UBC	TGFBR1	autocrine|paracrine	0.836619260533613
UBC	LDLR	autocrine|paracrine	0.834920861977158
UBB	TGFBR1	autocrine|paracrine	0.834196233807454
LRPAP1	LRP1	autocrine|paracrine	0.834131449042074
RPS27A	TGFBR1	autocrine|paracrine	0.833959448344718
PROS1	AXL	autocrine|paracrine	0.833809783120075
UBB	LDLR	autocrine|paracrine	0.832477690674042
RPS27A	LDLR	autocrine|paracrine	0.832238944513015
HSPA8	LDLR	autocrine|paracrine	0.831715485096675
UBC	TGFBR2	autocrine|paracrine	0.83148733186936
PLTP	ABCA1	autocrine|paracrine	0.829566693151863
HSP90B1	TLR7	autocrine|paracrine	0.829097365362724
UBB	TGFBR2	autocrine|paracrine	0.829003751757938
RPS27A	TGFBR2	autocrine|paracrine	0.828761073070709
ANXA1	FPR2	autocrine|paracrine	0.826539778003325
JAM3	ITGB2	autocrine|paracrine	0.825296812959896
ADAM10	AXL	autocrine|paracrine	0.82462571633892
APOC2	LRP1	autocrine|paracrine	0.82460912819936
SPP1	ITGA4	autocrine|paracrine	0.823543894228983
ICAM1	IL2RG	autocrine|paracrine	0.823536997024907
HLA-G	CD4	autocrine|paracrine	0.823122595593524
LRPAP1	SORL1	autocrine|paracrine	0.820875023411639
ICAM1	ITGAM	autocrine|paracrine	0.819353502337027
HEBP1	FPR3	autocrine|paracrine	0.818148597847246
FN1	ITGA4	autocrine|paracrine	0.815238922534699
TIMP3	ADAM17	autocrine|paracrine	0.8113717178609
HSP90B1	ASGR1	autocrine|paracrine	0.810614789309856
ADAM15	ITGB1	autocrine|paracrine	0.809809384963548
PSAP	SORT1	autocrine|paracrine	0.80891429491711
APP	NCSTN	autocrine|paracrine	0.808236825819309
S100A1	TLR4	autocrine|paracrine	0.808212801361271
MDK	ITGB1	autocrine|paracrine	0.807435073222831
LAMA4	ITGB1	autocrine|paracrine	0.807404593799242
SPON2	ITGAM	autocrine|paracrine	0.806978027109576
ARF1	PLD2	autocrine|paracrine	0.805710389819989
CYR61	ITGB2	autocrine|paracrine	0.803613507724775
SPP1	ITGA5	autocrine|paracrine	0.803296406110627
ICAM1	ITGAL	autocrine|paracrine	0.803172438943181
APP	LRP1	autocrine|paracrine	0.802684290889524
PLAT	LRP1	autocrine|paracrine	0.802435184102835
APOE	SCARB1	autocrine|paracrine	0.800592843658269
GNAS	ADCY7	autocrine|paracrine	0.800404195688059
PLAT	ITGAM	autocrine|paracrine	0.799500749732925
PSEN1	CD44	autocrine|paracrine	0.799144378076765
SERPINE1	PLAUR	autocrine|paracrine	0.79869263483865
HMGB1	THBD	autocrine|paracrine	0.798497374359029
APOD	LEPR	autocrine|paracrine	0.796647097510708
UBC	ADRB2	autocrine|paracrine	0.796211225893161
B2M	CD3G	autocrine|paracrine	0.795871955854618
MDK	LRP1	autocrine|paracrine	0.794935526450903
FN1	ITGA5	autocrine|paracrine	0.794276529755676
ICAM1	SPN	autocrine|paracrine	0.793680899551536
SEMA3B	NRP1	autocrine|paracrine	0.793509511492151
UBB	ADRB2	autocrine|paracrine	0.793336959173322
CCL5	CCR5	autocrine|paracrine	0.793302627083673
RPS27A	ADRB2	autocrine|paracrine	0.793056297865444
UBA52	TGFBR1	autocrine|paracrine	0.793037614397368
HSPA8	ADRB2	autocrine|paracrine	0.792441069615632
CALM3	ABCA1	autocrine|paracrine	0.791528817693864
APOE	LDLR	autocrine|paracrine	0.791385349700446
UBA52	LDLR	autocrine|paracrine	0.790999347792527
CALR	SCARF1	autocrine|paracrine	0.790629208330484
ADAM17	ITGB1	autocrine|paracrine	0.790159225989256
DUSP18	RPSA	autocrine|paracrine	0.789149042532322
HLA-G	LILRB2	autocrine|paracrine	0.788992734904296
HLA-G	LILRB1	autocrine|paracrine	0.788031592439637
COL1A2	CD44	autocrine|paracrine	0.787847231010146
UBA52	TGFBR2	autocrine|paracrine	0.786885462351586
C4A	C3AR1	autocrine|paracrine	0.786174182444985
HLA-A	CD3G	autocrine|paracrine	0.784035720322651
ADAM9	ITGB1	autocrine|paracrine	0.782819885262134
LYZ	ITGAL	autocrine|paracrine	0.782651533032875
GNAI2	FPR1	autocrine|paracrine	0.780764790601494
HLA-B	CD3G	autocrine|paracrine	0.77969222908277
LAMB1	ITGB1	autocrine|paracrine	0.779248525378687
TNC	ITGB1	autocrine|paracrine	0.776677558726615
CALR	ITGAV	autocrine|paracrine	0.776332974710093
SEMA6D	TYROBP	autocrine|paracrine	0.776213735432991
SAA1	FPR1	autocrine|paracrine	0.775817961421182
GNAI2	C5AR1	autocrine|paracrine	0.775368696734282
MDK	ITGA4	autocrine|paracrine	0.775250466228655
PSAP	GPR37L1	autocrine|paracrine	0.774111508247671
HLA-C	CD3G	autocrine|paracrine	0.774044463138769
ARPC5	LDLR	autocrine|paracrine	0.77292463334337
NID1	ITGB1	autocrine|paracrine	0.772608466049304
CALM3	SELL	autocrine|paracrine	0.772500907188187
CALM1	KCNN4	autocrine|paracrine	0.771499673664898
LPL	CD44	autocrine|paracrine	0.771170064698193
COL16A1	ITGB1	autocrine|paracrine	0.767810300758011
ICAM3	ITGB2	autocrine|paracrine	0.767727582122625
HLA-E	SLC16A4	autocrine|paracrine	0.766639502103353
APP	FPR2	autocrine|paracrine	0.765611586993783
LRPAP1	LDLR	autocrine|paracrine	0.765273236526264
B2M	HFE	autocrine|paracrine	0.763920727422523
UCN2	IL10RB	autocrine|paracrine	0.763420772793753
IL16	CD4	autocrine|paracrine	0.7628590923716
CALM2	INSR	autocrine|paracrine	0.761942245468606
MFGE8	ITGAV	autocrine|paracrine	0.760270966496587
CALM2	AQP6	autocrine|paracrine	0.759056198560827
ARF1	INSR	autocrine|paracrine	0.758528011311425
SEMA3C	NRP1	autocrine|paracrine	0.758004371250717
HSPG2	ITGB1	autocrine|paracrine	0.757734921335034
ANXA1	DYSF	autocrine|paracrine	0.756726534327207
FN1	SDC2	autocrine|paracrine	0.756602582109414
CTGF	LRP1	autocrine|paracrine	0.754438848040674
LIN7C	ABCA1	autocrine|paracrine	0.754279611904065
ADAM15	ITGA5	autocrine|paracrine	0.753993066969225
MFI2	TFRC	autocrine|paracrine	0.753589747402836
APOC2	LDLR	autocrine|paracrine	0.752968563516482
UBC	FGFR2	autocrine|paracrine	0.752648716740007
LAMC1	ITGB1	autocrine|paracrine	0.752447404710195
SERPINA1	LRP1	autocrine|paracrine	0.7524462310822
PSEN1	NCSTN	autocrine|paracrine	0.751658697328966
CTGF	ITGAM	autocrine|paracrine	0.751012725600867
LAMA1	RPSA	autocrine|paracrine	0.750173677389714
UBA52	NOTCH1	autocrine|paracrine	0.749518471275374
MDK	SDC3	autocrine|paracrine	0.749391808211009
UBB	FGFR2	autocrine|paracrine	0.749353454333595
RPS27A	FGFR2	autocrine|paracrine	0.749031956699276
JAM3	ITGB1	autocrine|paracrine	0.748624079834784
NUCB2	ERAP1	autocrine|paracrine	0.748274666928535
PTDSS1	JMJD6	autocrine|paracrine	0.748205553020274
IRAK4	TLR4	autocrine|paracrine	0.746939639187996
COL1A2	ITGB1	autocrine|paracrine	0.746792073542829
COL6A1	ITGB1	autocrine|paracrine	0.74620352615867
CCL5	SDC4	autocrine|paracrine	0.745259920783736
UBA52	ADRB2	autocrine|paracrine	0.745134404880289
IL10	IL10RA	autocrine|paracrine	0.743893889144855
HSPG2	LRP1	autocrine|paracrine	0.743035987455256
FABP5	RXRA	autocrine|paracrine	0.742560977507957
GPI	AMFR	autocrine|paracrine	0.741849470539264
SPP1	ITGAV	autocrine|paracrine	0.738560388989533
CALM1	PTPRA	autocrine|paracrine	0.737966041952047
LRPAP1	SORT1	autocrine|paracrine	0.737933663439116
ACTR2	LDLR	autocrine|paracrine	0.736932002776088
GSTP1	TRAF2	autocrine|paracrine	0.736148196317234
HBEGF	CD44	autocrine|paracrine	0.733896693622684
CEACAM1	CD209	autocrine|paracrine	0.732710509676419
SERPINE1	LRP1	autocrine|paracrine	0.732313890823478
TGM2	ITGB1	autocrine|paracrine	0.731838644011325
COL1A2	CD36	autocrine|paracrine	0.730641672255088
ADAM17	ITGA5	autocrine|paracrine	0.730495271155894
AGRN	ITGB1	autocrine|paracrine	0.729302175242271
CALM2	GP6	autocrine|paracrine	0.729143473256019
QDPR	DYSF	autocrine|paracrine	0.729073701484112
FN1	ITGAV	autocrine|paracrine	0.727578730266116
ADM	GPR84	autocrine|paracrine	0.727479014981669
ICAM1	IL2RA	autocrine|paracrine	0.726634118068127
IL10	IL10RB	autocrine|paracrine	0.726533175875898
FBLN1	ITGB1	autocrine|paracrine	0.724652798609702
ARPC5	ADRB2	autocrine|paracrine	0.724474839762572
PTDSS1	SCARB1	autocrine|paracrine	0.723329793660741
SEMA7A	ITGB1	autocrine|paracrine	0.723196759234033
SEMA3B	NRP2	autocrine|paracrine	0.723176194281787
CALM1	INSR	autocrine|paracrine	0.721712084853366
ICAM4	ITGB2	autocrine|paracrine	0.720348736429495
HLA-G	KLRD1	autocrine|paracrine	0.719196306087934
CALM1	AQP6	autocrine|paracrine	0.71851849294603
UBC	RIPK1	autocrine|paracrine	0.718416764580625
CALM1	FAS	autocrine|paracrine	0.716608792101431
PRSS23	TMEM222	autocrine|paracrine	0.716429943898261
UBB	RIPK1	autocrine|paracrine	0.714838242548096
TNC	ITGA5	autocrine|paracrine	0.714565074277896
RPS27A	RIPK1	autocrine|paracrine	0.714489341119269
AGRN	LRP1	autocrine|paracrine	0.713530334691281
HBEGF	CD9	autocrine|paracrine	0.712296773908212
LPL	LRP1	autocrine|paracrine	0.712184093276522
SEMA3C	PLXND1	autocrine|paracrine	0.711894431811532
SERPING1	LRP1	autocrine|paracrine	0.711361867055271
PSEN1	NOTCH2	autocrine|paracrine	0.706945498272636
TF	TFRC	autocrine|paracrine	0.705358894674114
CTGF	ITGA5	autocrine|paracrine	0.705197502342698
CCL16	CCR1	autocrine|paracrine	0.704503137294293
DUSP18	ITGB1	autocrine|paracrine	0.703914057141313
HRAS	TLR2	autocrine|paracrine	0.702099598991639
COL9A3	ITGB1	autocrine|paracrine	0.701088752029547
MDK	SDC4	autocrine|paracrine	0.700825416909562
HAS2	CD44	autocrine|paracrine	0.700823985991758
CYR61	ITGAM	autocrine|paracrine	0.70072791756423
APP	TNFRSF21	autocrine|paracrine	0.70049392606312
PRND	RPSA	autocrine|paracrine	0.700222271244864
SPP1	ITGB5	autocrine|paracrine	0.699509356687949
FGF1	CD44	autocrine|paracrine	0.699499108196119
HBEGF	CD82	autocrine|paracrine	0.699318940625768
COL1A2	CD93	autocrine|paracrine	0.698547974755602
GNAI2	CCR5	autocrine|paracrine	0.697684478869125
UBA52	FGFR2	autocrine|paracrine	0.694838201344923
SAA1	FPR2	autocrine|paracrine	0.694323520452586
CSF1	CSF1R	autocrine|paracrine	0.692910479110866
TGM2	ITGA4	autocrine|paracrine	0.691841255678075
CD55	CR1	autocrine|paracrine	0.68886886949095
UBC	SMAD3	autocrine|paracrine	0.68870676730199
C1QB	LRP1	autocrine|paracrine	0.68840736811797
CALM1	GP6	autocrine|paracrine	0.685657236573753
HSPG2	CHRM3	autocrine|paracrine	0.685169118035381
UBB	SMAD3	autocrine|paracrine	0.684916269193883
RPS27A	SMAD3	autocrine|paracrine	0.684546913407751
COL6A2	ITGB1	autocrine|paracrine	0.684218931546257
ACTR2	ADRB2	autocrine|paracrine	0.68394291161176
GNAI2	ADCY7	autocrine|paracrine	0.682359245495572
NAMPT	INSR	autocrine|paracrine	0.681675381024327
IRAK4	TLR7	autocrine|paracrine	0.680807060244417
SEMA3C	NRP2	autocrine|paracrine	0.680447693791858
ADAM15	ITGAV	autocrine|paracrine	0.679504850231313
GNAS	PTGIR	autocrine|paracrine	0.679395975821475
PIGF	FLT1	autocrine|paracrine	0.678692980222719
