malignant_cell	NK	interaction.type	LRscore
B2M	CD247	autocrine|paracrine	0.931829401064564
LGALS1	PTPRC	autocrine|paracrine	0.931575825461088
B2M	KLRD1	autocrine|paracrine	0.931413133522737
B2M	HLA-F	autocrine|paracrine	0.928245691861927
LGALS1	CD69	autocrine|paracrine	0.92788098306578
HLA-B	KLRD1	autocrine|paracrine	0.924963856564267
B2M	KLRC1	autocrine|paracrine	0.919273067339617
HLA-E	KLRD1	autocrine|paracrine	0.9154046858837
VIM	CD44	autocrine|paracrine	0.914469467699896
CALR	HLA-F	autocrine|paracrine	0.910680377667877
TIMP1	CD63	autocrine|paracrine	0.909074275239978
LGALS1	ITGB1	autocrine|paracrine	0.901750824128809
LAMB2	RPSA	autocrine|paracrine	0.900994054457325
HLA-E	KLRC1	autocrine|paracrine	0.900733069226743
HLA-B	CANX	autocrine|paracrine	0.896454615472969
LGALS3BP	ITGB1	autocrine|paracrine	0.89615469048608
PKM	CD44	autocrine|paracrine	0.89500386181056
B2M	KLRC2	autocrine|paracrine	0.883988853391493
ICAM1	ITGB2	autocrine|paracrine	0.880706218752298
UBC	ADRB2	autocrine|paracrine	0.880031725629967
ICAM1	IL2RG	autocrine|paracrine	0.879145518130413
UBB	ADRB2	autocrine|paracrine	0.87815876531748
RPS27A	ADRB2	autocrine|paracrine	0.877975579250416
HSPA8	ADRB2	autocrine|paracrine	0.877573837006218
ARF1	CHRM3	autocrine|paracrine	0.8730503841647
SPON2	ITGB2	autocrine|paracrine	0.871876569725049
APP	CD74	autocrine|paracrine	0.867594106423091
SPP1	CD44	autocrine|paracrine	0.866976890137746
ICAM1	ITGAL	autocrine|paracrine	0.866509093869076
PLAT	ITGB2	autocrine|paracrine	0.866497419203595
GNAS	PTGDR	autocrine|paracrine	0.863631950669015
CD59	CD2	autocrine|paracrine	0.863433279217892
CALM2	SELL	autocrine|paracrine	0.863052724132705
FN1	CD44	autocrine|paracrine	0.860369519446401
SPP1	ITGB1	autocrine|paracrine	0.859823684657429
APOE	SORL1	autocrine|paracrine	0.858804775018542
HLA-E	KLRC2	autocrine|paracrine	0.858591899366692
UBC	TGFBR1	autocrine|paracrine	0.856085234403363
UBB	TGFBR1	autocrine|paracrine	0.853900484459111
RPS27A	TGFBR1	autocrine|paracrine	0.853686903218077
FN1	ITGB1	autocrine|paracrine	0.85292128420508
LYZ	ITGAL	autocrine|paracrine	0.851369578041915
LAMB2	ITGB1	autocrine|paracrine	0.849050550501226
TIMP2	ITGB1	autocrine|paracrine	0.847610970187298
UBC	LDLR	autocrine|paracrine	0.846464732325489
UBA52	ADRB2	autocrine|paracrine	0.845897266967759
ICAM1	SPN	autocrine|paracrine	0.845532179428344
UBB	LDLR	autocrine|paracrine	0.844160520981664
RPS27A	LDLR	autocrine|paracrine	0.843935303367566
HSPA8	LDLR	autocrine|paracrine	0.843441474237648
CD58	CD2	autocrine|paracrine	0.843114223434936
LRPAP1	SORL1	autocrine|paracrine	0.839419160270334
B2M	KIR2DL3	autocrine|paracrine	0.839307508474254
B2M	KIR2DL1	autocrine|paracrine	0.838346634019778
CALM1	SELL	autocrine|paracrine	0.836237077529264
B2M	CD3G	autocrine|paracrine	0.835849888893955
MICA	KLRK1	autocrine|paracrine	0.835074013240432
SPP1	ITGA4	autocrine|paracrine	0.83461246638265
HLA-G	KLRD1	autocrine|paracrine	0.833914835638313
ARPC5	ADRB2	autocrine|paracrine	0.831559214143056
CTGF	ITGB2	autocrine|paracrine	0.830782360656098
HLA-A	KIR2DL3	autocrine|paracrine	0.829450141050633
UBA52	NOTCH1	autocrine|paracrine	0.829156855817758
ICAM1	ITGAX	autocrine|paracrine	0.828483725579479
HLA-A	KIR2DL1	autocrine|paracrine	0.828442371792892
PSAP	GPR37L1	autocrine|paracrine	0.828315549086794
FN1	ITGA4	autocrine|paracrine	0.826718829223186
SPP1	S1PR1	autocrine|paracrine	0.826103894392694
HLA-A	CD3G	autocrine|paracrine	0.825824436350785
HLA-B	KIR2DL3	autocrine|paracrine	0.825817110411062
B2M	LILRB1	autocrine|paracrine	0.823828156496692
HLA-A	APLP2	autocrine|paracrine	0.82378516814089
