malignant_cell	T_cell	interaction.type	LRscore
B2M	CD3D	autocrine|paracrine	0.936168092954204
HLA-A	CD3D	autocrine|paracrine	0.931769423279152
LGALS1	PTPRC	autocrine|paracrine	0.930719285687554
HLA-B	CD3D	autocrine|paracrine	0.930132389544515
HLA-C	CD3D	autocrine|paracrine	0.927985064238989
B2M	HLA-F	autocrine|paracrine	0.924480594563184
B2M	CD3G	autocrine|paracrine	0.92169332138525
VIM	CD44	autocrine|paracrine	0.920765391076733
LGALS1	CD69	autocrine|paracrine	0.919962853119845
HLA-A	CD3G	autocrine|paracrine	0.916386280210813
HLA-B	CD3G	autocrine|paracrine	0.914414065193864
HLA-C	CD3G	autocrine|paracrine	0.911829443555512
B2M	KLRD1	autocrine|paracrine	0.910245609922521
CD59	CD2	autocrine|paracrine	0.907367774049509
B2M	CD247	autocrine|paracrine	0.907360082496602
CALR	HLA-F	autocrine|paracrine	0.906086841663669
PKM	CD44	autocrine|paracrine	0.902580007318821
HLA-B	KLRD1	autocrine|paracrine	0.902015324076688
LAMB2	RPSA	autocrine|paracrine	0.900913093891308
CD58	CD2	autocrine|paracrine	0.892773727505725
HLA-E	KLRD1	autocrine|paracrine	0.889880694443233
CALM2	SELL	autocrine|paracrine	0.884368249400215
LGALS1	ITGB1	autocrine|paracrine	0.882620367027067
HLA-B	CANX	autocrine|paracrine	0.88179297368843
ICAM1	IL2RG	autocrine|paracrine	0.880596418749258
APP	CD74	autocrine|paracrine	0.878756335003389
SPP1	CD44	autocrine|paracrine	0.876295843112816
LGALS3BP	ITGB1	autocrine|paracrine	0.87608432499741
TIMP1	CD63	autocrine|paracrine	0.875294495981741
ARF1	CHRM3	autocrine|paracrine	0.873447941310124
FN1	CD44	autocrine|paracrine	0.870081989293477
ICAM1	ITGB2	autocrine|paracrine	0.863253569166418
CALM1	SELL	autocrine|paracrine	0.861054443883249
SPON2	ITGB2	autocrine|paracrine	0.853347247600255
B2M	TFRC	autocrine|paracrine	0.850509571534665
CD47	SIRPG	autocrine|paracrine	0.848631829322561
ICAM1	ITGAL	autocrine|paracrine	0.847753304041313
PLAT	ITGB2	autocrine|paracrine	0.847326383652211
UBC	LDLR	autocrine|paracrine	0.847223666006696
UBB	LDLR	autocrine|paracrine	0.844928757906732
RPS27A	LDLR	autocrine|paracrine	0.844704446294526
HSPA8	LDLR	autocrine|paracrine	0.844212601667427
UBC	TGFBR2	autocrine|paracrine	0.844026343926327
SPP1	ITGA4	autocrine|paracrine	0.843496387508155
UBB	TGFBR2	autocrine|paracrine	0.841692381979045
RPS27A	TGFBR2	autocrine|paracrine	0.841464267315192
ICAM1	SPN	autocrine|paracrine	0.840642293172972
CALM2	AQP6	autocrine|paracrine	0.836836339280336
FN1	ITGA4	autocrine|paracrine	0.835943416663673
SPP1	ITGB1	autocrine|paracrine	0.834031992522595
PSAP	GPR37L1	autocrine|paracrine	0.831742108512886
LYZ	ITGAL	autocrine|paracrine	0.830901758732277
FN1	ITGB1	autocrine|paracrine	0.826116422492112
B2M	KLRC2	autocrine|paracrine	0.822406243908736
CCL5	CXCR3	autocrine|paracrine	0.82198170011182
LAMB2	ITGB1	autocrine|paracrine	0.821687732437344
APOD	LEPR	autocrine|paracrine	0.821175769766141
HLA-A	APLP2	autocrine|paracrine	0.820560605548052
TIMP2	ITGB1	autocrine|paracrine	0.820042507118872
GSTP1	TRAF2	autocrine|paracrine	0.817792138876577
HLA-E	SLC16A4	autocrine|paracrine	0.811091564900991
CTGF	ITGB2	autocrine|paracrine	0.807621293032598
APOE	LDLR	autocrine|paracrine	0.80617951260158
CALM1	AQP6	autocrine|paracrine	0.806040929198275
DUSP18	RPSA	autocrine|paracrine	0.806011042813321
UBA52	LDLR	autocrine|paracrine	0.805814167657316
UBC	FGFR2	autocrine|paracrine	0.802418021434497
UBA52	TGFBR2	autocrine|paracrine	0.801952804472309
CALM1	FAS	autocrine|paracrine	0.801605480217896
APOE	SORL1	autocrine|paracrine	0.800495026753611
UBB	FGFR2	autocrine|paracrine	0.799609263777514
RPS27A	FGFR2	autocrine|paracrine	0.799334966079385
MDK	ITGA4	autocrine|paracrine	0.799333092633775
PSEN1	CD44	autocrine|paracrine	0.797795053115168
CCL5	CCR5	autocrine|paracrine	0.797507419268122
CALM3	SELL	autocrine|paracrine	0.796192375340675
ADAM15	ITGB1	autocrine|paracrine	0.790422563977123
JAM3	ITGB2	autocrine|paracrine	0.790011367299183
HLA-G	KLRD1	autocrine|paracrine	0.789458792566951
MICA	KLRK1	autocrine|paracrine	0.788877708116342
ARPC5	LDLR	autocrine|paracrine	0.788678377696028
MDK	ITGB1	autocrine|paracrine	0.787869627970093
LAMA4	ITGB1	autocrine|paracrine	0.787836865435137
HLA-E	KLRC2	autocrine|paracrine	0.786779521731141
COL1A2	CD44	autocrine|paracrine	0.786442294206554
GNAS	ADCY7	autocrine|paracrine	0.783804638260472
FN1	ITGB7	autocrine|paracrine	0.783274929169654
CALR	SCARF1	autocrine|paracrine	0.782406953996154
LRPAP1	LDLR	autocrine|paracrine	0.781407684971996
UBC	RIPK1	autocrine|paracrine	0.777139014510187
LRPAP1	SORL1	autocrine|paracrine	0.775199264650843
UBB	RIPK1	autocrine|paracrine	0.77407207950929
RPS27A	RIPK1	autocrine|paracrine	0.773772715885043
B2M	KLRC1	autocrine|paracrine	0.771973828951601
PROS1	AXL	autocrine|paracrine	0.77196939777908
APOC2	LDLR	autocrine|paracrine	0.769694263745995
LPL	CD44	autocrine|paracrine	0.769686972340382
UBA52	NOTCH1	autocrine|paracrine	0.769443615570475
