malignant_cell	malignant_cell.1	interaction.type	LRscore
TIMP1	CD63	autocrine	0.933417553140799
VIM	CD44	autocrine	0.92985293244767
HLA-B	CANX	autocrine	0.916410554592309
PKM	CD44	autocrine	0.913557449880693
B2M	HLA-F	autocrine	0.910773300464263
LGALS1	ITGB1	autocrine	0.910656755283051
LGALS3BP	ITGB1	autocrine	0.905514739281763
HLA-A	APLP2	autocrine	0.900564200360907
LAMB2	RPSA	autocrine	0.900002702033784
MIA	CDH19	autocrine	0.895324010415826
SPP1	CD44	autocrine	0.889873657316282
CALR	HLA-F	autocrine	0.889440220777232
PSAP	SORT1	autocrine	0.887332509824014
FN1	CD44	autocrine	0.884251749707566
SPP1	ITGB1	autocrine	0.871990647189798
B2M	TFRC	autocrine	0.870837984557707
ARF1	CHRM3	autocrine	0.866920231544827
FN1	ITGB1	autocrine	0.865593706095504
B2M	KLRD1	autocrine	0.863732007853831
ICAM1	CAV1	autocrine	0.862326434530605
LAMB2	ITGB1	autocrine	0.862002518784465
TIMP2	ITGB1	autocrine	0.860666188845742
HSP90AA1	ITGB3	autocrine	0.859960742204075
HLA-C	DDR1	autocrine	0.857421989732323
HLA-E	SLC16A4	autocrine	0.853391599884383
HLA-B	KLRD1	autocrine	0.851930343820006
CDH1	ERBB3	autocrine	0.848407966588403
CALR	ITGA3	autocrine	0.847733602490418
APP	CAV1	autocrine	0.846514855293607
UBC	LDLR	autocrine	0.840280007691531
LRPAP1	SORT1	autocrine	0.839708962092757
APOE	SCARB1	autocrine	0.838658171800596
UBB	LDLR	autocrine	0.837900752730705
UBC	TGFBR1	autocrine	0.837730695398475
RPS27A	LDLR	autocrine	0.83766822821276
GSTP1	TRAF2	autocrine	0.837468952358479
HSPA8	LDLR	autocrine	0.837158394858072
ADAM15	ITGB1	autocrine	0.836398700876539
UBB	TGFBR1	autocrine	0.835320907334741
RPS27A	TGFBR1	autocrine	0.835085410500725
HLA-E	KLRD1	autocrine	0.834729552101276
MDK	ITGB1	autocrine	0.834288401838228
LAMA4	ITGB1	autocrine	0.834261300336988
MFGE8	ITGB3	autocrine	0.832574136129793
APP	NCSTN	autocrine	0.828278374241083
SERPINE2	LRP1	autocrine	0.828106679242018
CCL5	SDC4	autocrine	0.827605844838296
CALM1	KCNN4	autocrine	0.8246812941549
PSAP	LRP1	autocrine	0.822434251977015
UBC	TGFBR2	autocrine	0.818961689836939
ADAM17	ITGB1	autocrine	0.818881284083657
PSEN1	CD44	autocrine	0.818201590198149
UBB	TGFBR2	autocrine	0.816334281073428
RPS27A	TGFBR2	autocrine	0.816077610974858
SPP1	ITGB3	autocrine	0.815825307019319
UBC	ERBB2	autocrine	0.812360639602901
ADAM9	ITGB1	autocrine	0.812307895194254
TIMP3	ADAM17	autocrine	0.811606547510078
FN1	ITGA3	autocrine	0.810748998916217
UBB	ERBB2	autocrine	0.809659695557818
SEMA3B	NRP2	autocrine	0.809632494247813
RPS27A	ERBB2	autocrine	0.809395875714665
LAMB1	ITGB1	autocrine	0.809103194392685
HLA-A	ERBB2	autocrine	0.808618702614313
COL1A2	CD44	autocrine	0.807718415048497
FN1	ITGB3	autocrine	0.807242085716583
TNC	ITGB1	autocrine	0.806793719510761
LAMB2	ITGA3	autocrine	0.806020815017047
DUSP18	RPSA	autocrine	0.804418001376513
TIMP2	ITGA3	autocrine	0.804265470566793
HSP90B1	LRP1	autocrine	0.803382197043768
MDK	SDC3	autocrine	0.803177617546957
NID1	ITGB1	autocrine	0.803134275117378
CALM2	INSR	autocrine	0.802502298556596
HSP90AA1	ERBB2	autocrine	0.801398202461162
ARF1	INSR	autocrine	0.799516716987407
COL16A1	ITGB1	autocrine	0.798812502206899
CALR	LRP1	autocrine	0.797900342872512
GNAI2	CAV1	autocrine	0.797849676229968
APOE	LDLR	autocrine	0.797815581972336
CALM2	ABCA1	autocrine	0.797693935713654
CALR	ITGAV	autocrine	0.797466095968331
UBA52	LDLR	autocrine	0.797438432619632
UBA52	TGFBR1	autocrine	0.794372654887602
MDK	SDC4	autocrine	0.793556135934706
LPL	CD44	autocrine	0.792191286554141
A2M	LRP1	autocrine	0.790399270108798
UBC	RIPK1	autocrine	0.790118549009462
HSPG2	ITGB1	autocrine	0.78971395692212
PSAP	GPR37	autocrine	0.789603849842025
PRSS23	TMEM222	autocrine	0.788473907716535
FN1	ITGB8	autocrine	0.787664461460687
HSP90B1	ERBB2	autocrine	0.787291732360712
UBB	RIPK1	autocrine	0.787181318981986
RPS27A	RIPK1	autocrine	0.786894543517295
FN1	IL17RC	autocrine	0.785657143672944
LAMC1	ITGB1	autocrine	0.784926288076075
