gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B_cell	CAF	Endo	Macro	NK	T_cell	malignant_cell
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.001	0.0	0.0	0.0	0.0	0.0	0.001
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.001	0.0	0.0	0.0	0.0	0.0	0.001
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	2.263	0.385	0.751	2.163	0.625	0.999	0.259
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.151	0.455	0.619	0.163	0.234	0.153	0.284
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.001	0.0	0.0	0.0	0.0	0.0	0.001
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS072B19293	2.263	0.385	0.751	2.163	0.625	0.999	0.259
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.003	0.0	0.0	0.015	0.0	0.013	0.004
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.151	0.455	0.619	0.163	0.234	0.153	0.284
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.151	0.455	0.619	0.163	0.234	0.153	0.284
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.151	0.455	0.619	0.163	0.234	0.153	0.284
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0D03910A0	0.003	0.0	0.0	0.015	0.0	0.013	0.004
GALR1	P47211	False	GALR1_HUMAN		CPI-SS0B0E74BC0	0.006	0.0	0.0	0.0	0.0	0.003	0.002
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.001	0.222	0.062	0.01	0.0	0.006	0.021
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.03	0.065	0.115	0.301	0.085	0.256	0.447
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.324	0.142	0.233	0.291	0.424	0.613	0.126
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.001	0.222	0.062	0.01	0.0	0.006	0.021
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.001	0.222	0.062	0.01	0.0	0.006	0.021
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.253	0.19	0.164	0.134	0.249	0.242	0.791
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.03	0.166	0.022	0.009	0.013	0.033	0.034
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.028	0.039	0.052	1.054	0.163	0.044	0.938
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.588	0.118	0.983	1.342	0.42	0.305	0.078
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.011	0.279	0.0	0.309	0.0	0.011	0.002
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.03	0.166	0.022	0.009	0.013	0.033	0.034
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.003	0.186	0.0	0.0	0.022	0.011	0.145
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS044CF7EAE	0.389	0.074	0.2	0.142	0.139	0.273	0.077
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.0	0.0	0.0	0.0	0.0	0.0	0.001
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.0	0.038	0.014	0.0	0.0	0.002	0.007
FGF19	O95750	False	FGF19_HUMAN		CPI-SS07A03C20F	0.001	0.0	0.0	0.0	0.0	0.002	0.002
FGF4	P08620	False	FGF4_HUMAN		CPI-SS02896561C	0.0	0.0	0.0	0.0	0.0	0.0	0.001
FGF6	P10767	False	FGF6_HUMAN		CPI-SS0FA481114	0.0	0.0	0.013	0.0	0.0	0.0	0.001
FGF3	P11487	False	FGF3_HUMAN		CPI-SS05ECF1933	0.003	0.0	0.0	0.0	0.0	0.003	0.001
FGF5	P12034	False	FGF5_HUMAN		CPI-SS066347638	0.839	0.677	0.571	0.467	0.754	0.797	0.341
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	0.017	1.005	0.0	0.012	0.021	0.014	0.021
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.03	0.166	0.022	0.009	0.013	0.033	0.034
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.003	0.186	0.0	0.0	0.022	0.011	0.145
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.0	0.0	0.0	0.0	0.0	0.0	0.001
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.0	0.038	0.014	0.0	0.0	0.002	0.007
FGF19	O95750	False	FGF19_HUMAN		CPI-SS070A3A7E5	0.001	0.0	0.0	0.0	0.0	0.002	0.002
FGF4	P08620	False	FGF4_HUMAN		CPI-SS0FFB9E01B	0.0	0.0	0.0	0.0	0.0	0.0	0.001
FGF6	P10767	False	FGF6_HUMAN		CPI-SS014E486AB	0.0	0.0	0.013	0.0	0.0	0.0	0.001
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.002	0.018	0.0	0.0	0.0	0.003	0.001
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.03	0.166	0.022	0.009	0.013	0.033	0.034
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.003	0.186	0.0	0.0	0.022	0.011	0.145
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	1.096	1.249	0.093	1.358	1.12	1.333	1.485
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.0	0.0	0.0	0.0	0.0	0.0	0.001
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	0.0	0.038	0.014	0.0	0.0	0.002	0.007
FGF4	P08620	False	FGF4_HUMAN		CPI-SS0D67110B0	0.0	0.0	0.0	0.0	0.0	0.0	0.001
FGF6	P10767	False	FGF6_HUMAN		CPI-SS08883E9F6	0.0	0.0	0.013	0.0	0.0	0.0	0.001
FGF3	P11487	False	FGF3_HUMAN		CPI-SS06D341996	0.003	0.0	0.0	0.0	0.0	0.003	0.001
FGF5	P12034	False	FGF5_HUMAN		CPI-SS02FEAF02E	0.839	0.677	0.571	0.467	0.754	0.797	0.341
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.017	1.005	0.0	0.012	0.021	0.014	0.021
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	0.002	0.018	0.0	0.0	0.0	0.003	0.001
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	0.067	1.969	1.574	1.561	0.31	0.189	1.572
TFF1	P04155	False	TFF1_HUMAN		CPI-SS04640F9C3	0.004	0.0	0.0	0.009	0.05	0.001	0.001
ROS1	P08922	False	ROS1_HUMAN		CPI-SS0DC322B61	0.006	0.032	0.014	0.002	0.0	0.005	0.013
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.079	0.846	0.494	0.052	0.115	0.139	0.508
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.03	0.166	0.022	0.009	0.013	0.033	0.034
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.003	0.186	0.0	0.0	0.022	0.011	0.145
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0BC9F7E9E	0.0	0.0	0.0	0.0	0.0	0.0	0.001
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.0	0.038	0.014	0.0	0.0	0.002	0.007
FGF4	P08620	False	FGF4_HUMAN		CPI-SS013E86AFF	0.0	0.0	0.0	0.0	0.0	0.0	0.001
FGF6	P10767	False	FGF6_HUMAN		CPI-SS0F9EE20C3	0.0	0.0	0.013	0.0	0.0	0.0	0.001
FGF3	P11487	False	FGF3_HUMAN		CPI-SS0C2A73A10	0.003	0.0	0.0	0.0	0.0	0.003	0.001
FGF5	P12034	False	FGF5_HUMAN		CPI-SS076D8A297	0.839	0.677	0.571	0.467	0.754	0.797	0.341
FGF7	P21781	False	FGF7_HUMAN		CPI-SS00E68BB92	0.017	1.005	0.0	0.012	0.021	0.014	0.021
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0BF3ED143	0.359	0.169	0.202	0.219	0.272	0.353	0.119
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.03	0.166	0.022	0.009	0.013	0.033	0.034
SPP1	P10451	False	OSTP_HUMAN		CPI-SS04297753E	0.028	0.039	0.052	1.054	0.163	0.044	0.938
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0ADC886E5	0.084	0.029	0.046	0.872	1.873	0.989	0.023
CCL16	O15467	False	CCL16_HUMAN		CPI-SS03A875239	0.575	0.293	0.501	0.364	0.559	0.568	0.227
CCL1	P22362	False	CCL1_HUMAN		CPI-SS0B784A03E	0.0	0.0	0.0	0.0	0.0	0.001	0.001
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.028	0.039	0.052	1.054	0.163	0.044	0.938
FGF1	P05230	False	FGF1_HUMAN		CPI-SS068C742A1	0.003	0.186	0.0	0.0	0.022	0.011	0.145
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.089	0.128	0.096	0.142	0.127	0.085	0.008
INHA	P05111	False	INHA_HUMAN		CPI-SS0FB37E079	0.0	0.0	0.0	0.0	0.0	0.002	0.042
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.037	0.502	0.094	0.014	0.027	0.025	0.028
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	0.017	0.111	0.148	0.033	0.0	0.007	0.046
FCER2	P06734	False	FCER2_HUMAN		CPI-SS000568A0E	0.893	0.03	0.008	0.069	0.01	0.014	0.003
IFNA1	P01562	False	IFNA1_HUMAN		CPI-SS027556893	0.0	0.0	0.0	0.0	0.0	0.002	0.0
IFNA13	P01562	False	IFNA1_HUMAN		CPI-SS027556893	0.0	0.0	0.0	0.0	0.0	0.006	0.001
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.006	0.017	0.054	0.013	0.0	0.018	0.14
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.57	0.417	0.675	0.301	0.531	0.516	0.228
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.113	0.651	0.259	0.0	0.043	0.017	0.349
